Genus	2nd_element	3rd_element	4th_element	PAML_tag	Old_tag
Achelia	gracilis	IU.2016.851.888		Ach_gra_IU2016851888	Achelia_gracilis_IU.2016.851.888_concat
Achelia	sawayai	IU.2016.884.1073		Ach_saw_IU20168841073	Achelia_sawayai_IU.2016.884.1073_concat
Achelia	sp.	IU.2013.18597		Ach_sp_IU201318597	Achelia_sp._IU.2013.18597
Achelia	spicata	PYC108		Ach_spi_PYC108	Achelia_spicata_PYC108
Achelia	transfugoides	PYC008		Ach_tra_PYC008	Achelia_transfugoides_PYC008
Acheliana	sp.	IU.2011.659		Ach_sp_IU2011659	Acheliana_sp._IU.2011.659
Acheliana	sp.	IU.2011.764		Ach_sp_IU2011764	Acheliana_sp._IU.2011.764
Ammothea	adunca	IU.2007.231		Amm_adu_IU2007231	Ammothea_adunca_IU.2007.231
Ammothea	adunca	PYC099		Amm_adu_PYC099	Ammothea_adunca_PYC099
Ammothea	cf.	tibialis	IU.2007.247	Amm_cftib_IU2007247	Ammothea_cf._tibialis_IU.2007.247
Ammothea	gigantea	IU.2016.1421		Amm_gig_IU20161421	Ammothea_gigantea_IU.2016.1421
Ammothea	glacialis	PYC013		Amm_gla_PYC013	Ammothea_glacialis_PYC013
Ammothea	hilgendorfi	GNBK		Amm_hil_GNBK	Ammothea_hilgendorfi_GNBK
Ammothea	sp.	IU.2007.324		Amm_sp_IU2007324	Ammothea_sp._IU.2007.324
Ammothea	sp.	PYC009		Amm_sp_PYC009	Ammothea_sp._PYC009
Ammothea	sp.	PYC011		Amm_sp_PYC011	Ammothea_sp._PYC011
Ammothea	sp.	PYC015		Amm_sp_PYC015	Ammothea_sp._PYC015
Ammothea	sp.	PYC020		Amm_sp_PYC020	Ammothea_sp._PYC020
Ammothea	sp.	PYC107		Amm_sp_PYC107	Ammothea_sp._PYC107
Ammotheidae	IU.2016.1393			Amm_IU20161393	Ammotheidae_IU.2016.1393
Ammotheidae	PYC004			Amm_PYC004	Ammotheidae_PYC004
Ammotheidae	PYC005			Amm_PYC005	Ammotheidae_PYC005
Ammothella	dirbergi	IU.2016.833		Amm_dir_IU2016833	Ammothella_dirbergi_IU.2016.833
Ammothella	exornata	IU.2016.829		Amm_exo_IU2016829	Ammothella_exornata_IU.2016.829
Ammothella	spinifera	IU.2016.826		Amm_spi_IU2016826	Ammothella_spinifera_IU.2016.826
Anax	imperator		Hexapoda_	Ana_imp_Hexapoda	Anax_imperator__Hexapoda_
Anoplodactylus	cf.	californicus	IU.2016.811	Ano_cfcal_IU2016811	Anoplodactylus_cf._californicus_IU.2016.811
Anoplodactylus	digitatus	IU.2016.876		Ano_dig_IU2016876	Anoplodactylus_digitatus_IU.2016.876
Anoplodactylus	ganchiformis	IU.2016.854		Ano_gan_IU2016854	Anoplodactylus_ganchiformis_IU.2016.854
Anoplodactylus	glandulifer	IU.2016.877		Ano_gla_IU2016877	Anoplodactylus_glandulifer_IU.2016.877
Anoplodactylus	insignis	IU.2016.808		Ano_ins_IU2016808	Anoplodactylus_insignis_IU.2016.808
Anoplodactylus	massiliformis	IU.2016.1124		Ano_mas_IU20161124	Anoplodactylus_massiliformis_IU.2016.1124
Anoplodactylus	micros	IU.2016.804		Ano_mic_IU2016804	Anoplodactylus_micros_IU.2016.804
Anoplodactylus	pectinus	IU.2016.806		Ano_pec_IU2016806	Anoplodactylus_pectinus_IU.2016.806
Anoplodactylus	petiolatus	PYC067		Ano_pet_PYC067	Anoplodactylus_petiolatus_PYC067
Anoplodactylus	sp.	IU.2011.699		Ano_sp_IU2011699	Anoplodactylus_sp._IU.2011.699
Anoplodactylus	sp.	IU.2012.1279.1266		Ano_sp_IU201212791266	Anoplodactylus_sp._IU.2012.1279.1266
Anoplodactylus	sp.	IU.2013.18611		Ano_sp_IU201318611	Anoplodactylus_sp._IU.2013.18611
Anoplodactylus	sp.	IU.2016.1410		Ano_sp_IU20161410	Anoplodactylus_sp._IU.2016.1410
Anoropallene	valida	PYC043		Ano_val_PYC043	Anoropallene_valida_PYC043
Ascorhynchus	abyssi	PYC021		Asc_aby_PYC021	Ascorhynchus_abyssi_PYC021
Ascorhynchus	castelli	IU.2014.8275		Asc_cas_IU20148275	Ascorhynchus_castelli_IU.2014.8275
Ascorhynchus	castellioides	IU.2016.883		Asc_cas_IU2016883	Ascorhynchus_castellioides_IU.2016.883
Ascorhynchus	latipes	IU.2016.816		Asc_lat_IU2016816	Ascorhynchus_latipes_IU.2016.816
Ascorhynchus	quartogibbus	IU.2008.20493		Asc_qua_IU200820493	Ascorhynchus_quartogibbus_IU.2008.20493
Ascorhynchus	seticauda	IU.2016.6864		Asc_set_IU20166864	Ascorhynchus_seticauda_IU.2016.6864
Ascorhynchus	sp.	IU.2011.748		Asc_sp_IU2011748	Ascorhynchus_sp._IU.2011.748
Ascorhynchus	sp.	IU.2013.6582		Asc_sp_IU20136582	Ascorhynchus_sp._IU.2013.6582
Austrodecus	gordonae	PYC001		Aus_gor_PYC001	Austrodecus_gordonae_PYC001
Austrodecus	longispinum	PYC100		Aus_lon_PYC100	Austrodecus_longispinum_PYC100
Austropallene	cornigera	IU.2007.305		Aus_cor_IU2007305	Austropallene_cornigera_IU.2007.305
Austropallene	cristata	PYC109		Aus_cri_PYC109	Austropallene_cristata_PYC109
Austropallene	sp.	PYC030		Aus_sp_PYC030	Austropallene_sp._PYC030
Austroraptus	juvenilis	PYC115		Aus_juv_PYC115	Austroraptus_juvenilis_PYC115
Austroraptus	polaris	PYC114		Aus_pol_PYC114	Austroraptus_polaris_PYC114
Austroraptus	praecox	PYC127		Aus_pra_PYC127	Austroraptus_praecox_PYC127
Bathypallenopsis	mollissima	IU.2008.20672		Bat_mol_IU200820672	Bathypallenopsis_mollissima_IU.2008.20672
Bathypallenopsis	sp.	IU.2016.1417		Bat_sp_IU20161417	Bathypallenopsis_sp._IU.2016.1417
Bathypallenopsis	sp.	IU.2016.1469		Bat_sp_IU20161469	Bathypallenopsis_sp._IU.2016.1469
Bathyzetes	sp.	IU.2016.6865		Bat_sp_IU20166865	Bathyzetes_sp._IU.2016.6865
Boreonymphon	abyssorum	PYC045		Bor_aby_PYC045	Boreonymphon_abyssorum_PYC045
Boreonymphon	cf.	ossiansarsi	PYC046	Bor_cfoss_PYC046	Boreonymphon_cf._ossiansarsi_PYC046
Callipallene	cf.	brevirostris	PYC033	Cal_cfbre_PYC033	Callipallene_cf._brevirostris_PYC033
Callipallene	micracantha	PYC034		Cal_mic_PYC034	Callipallene_micracantha_PYC034
Callipallenidae	IU.2011.625			Cal_IU2011625	Callipallenidae_IU.2011.625
Carcinoscorpius	rotundicauda		Xiphosura_	Car_rot_Xiphosura	Carcinoscorpius_rotundicauda__Xiphosura_
Cilunculus	scaurus	IU.2016.6862		Cil_sca_IU20166862	Cilunculus_scaurus_IU.2016.6862
Cilunculus	sewelli	IU.2011.624		Cil_sew_IU2011624	Cilunculus_sewelli_IU.2011.624
Colossendeidae	IU.2013.6603			Col_IU20136603	Colossendeidae_IU.2013.6603
Colossendeis	arcuata	PYC026		Col_arc_PYC026	Colossendeis_arcuata_PYC026
Colossendeis	australis	IU.2007.172		Col_aus_IU2007172	Colossendeis_australis_IU.2007.172
Colossendeis	australis	PYC122		Col_aus_PYC122	Colossendeis_australis_PYC122
Colossendeis	cf.	glacialis	PYC098	Col_cfgla_PYC098	Colossendeis_cf._glacialis_PYC098
Colossendeis	cf.	macerrima	IU.2016.1473	Col_cfmac_IU20161473	Colossendeis_cf._macerrima_IU.2016.1473
Colossendeis	cf.	pipetta	IU.2016.1465	Col_cfpip_IU20161465	Colossendeis_cf._pipetta_IU.2016.1465
Colossendeis	colossea	IU.2008.20591		Col_col_IU200820591	Colossendeis_colossea_IU.2008.20591
Colossendeis	colossea	IU.2008.20598		Col_col_IU200820598	Colossendeis_colossea_IU.2008.20598
Colossendeis	glacialis	PYC101		Col_gla_PYC101	Colossendeis_glacialis_PYC101
Colossendeis	hoeki	PYC028		Col_hoe_PYC028	Colossendeis_hoeki_PYC028
