Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	581.978	523.65	636.4	B(5.14,6.361,1e-300,0.025)
t_n220	316.579	116.57	533.89	0
t_n221	211.743	76.78	482.66	0
t_n222	92.573	3.52	268.44	0
t_n223	143.27	36.91	328.19	0
t_n224	67.31	2.28	209.75	0
t_n225	67.23	2.45	207.11	0
t_n226_Chelicerata	524.286	509.8	538.8	B(5.09,5.388,1e-300,0.025)
t_n227	373.838	152.54	529.27	0
t_n228	176.467	31.66	454.61	0
t_n229	78.965	2.49	250.66	0
t_n230	269.07	121.74	508.73	0
t_n231	109.759	4.41	311.24	0
t_n232	207.732	92.24	432.68	0
t_n233	126.993	22.89	295.34	0
t_n234	60.077	1.85	191.44	0
t_n235	155.468	53.08	324.67	0
t_n236	72.887	2.79	212.91	0
t_n237	98.835	16.12	240.93	0
t_n238	47.395	1.35	158.14	0
t_n239	513.023	464.36	536.45	0
t_n240_Nymphonoidea	464.634	247.2	531.98	0
t_n241	195.395	33.35	491.45	0
t_n242	83.771	2.64	267.15	0
t_n243	415.063	187.84	527.41	0
t_n244	185.129	32.38	462.64	0
t_n245	81.412	2.63	258.31	0
t_n246	367.214	167.57	521.74	0
t_n247	251.887	116.2	488.43	0
t_n248	106.852	4.3	299.7	0
t_n249	188.169	74.87	383.99	0
t_n250	143.166	45.84	301.4	0
t_n251	103.599	24	238.98	0
t_n252	49.725	1.72	158.06	0
t_n253	49.659	1.7	157.73	0
t_n254	321.472	157.21	512.56	0
t_n255	234.411	112	456.65	0
t_n256	159.973	47.68	335.92	0
t_n257	101.381	15.58	250.46	0
t_n258	48.439	1.42	162.62	0
t_n259	159.88	46.83	337.69	0
t_n260	101.241	15.22	249.55	0
t_n261	48.551	1.44	164.18	0
t_n262	281.035	148.14	494.89	0
t_n263	212.561	98.7	409.98	0
t_n264	167.914	65.66	332.21	0
t_n265	129.863	41.17	273.34	0
t_n266	94.433	21.59	218.77	0
t_n267	45.391	1.55	146.2	0
t_n268	45.552	1.56	145.66	0
t_n269	248.064	136.96	453.94	0
t_n270	202.18	99.81	378.52	0
t_n271	93.232	3.73	254.66	0
t_n272	161.727	65.24	315.63	0
