t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.1609514	4.8882893	4.3537704	3.052877	2.951713	2.2509333	2.1092084	5.1043654	4.4395731	3.6461301	0.8127218	4.1134929	1.7187712	3.4468436	2.9206627	1.4809896	2.9027333	1.0553104	1.1699435	0.7731545	3.5953375	2.3882617	1.5283488	1.1515216	2.169949	2.0547865	1.9017494	2.0360681	1.8498581	0.8633768	1.3974159	0.6020359	0.4782075	0.1005012	0.2097997	1.9407347	1.6680227	1.298721	0.8019171	0.1947502	1.0351037	0.7230565	0.5432138	1.7839976	1.5457198	0.8970631	0.5801745	0.4319429	0.1246485	0.2879791	1.6869785	1.4633267	1.2595879	1.3047197	1.0786486	0.8996212	0.7271412	0.0006115	1.4477889	0.7781833	0.3597336	0.0161235	0.0126421	0.007231	1.2097955	0.5312552	0.3773989	0.003246	0.1574762	0.0055527	3.4448595	2.8800132	2.0949319	1.1831564	3.3392284	3.039924	1.6241094	0.8160994	0.3461208	1.250398	0.1264901	0.8805191	0.7018661	0.4279048	0.2901569	0.5941749	0.4995437	0.3681187	2.2299035	1.4310347	1.3382139	0.8051144	0.6192461	1.192517	0.7601555	0.6209476	0.0752072	0.6327656	0.2267494	0.5003351	0.2557914	0.26756	0.1762944	0.0031507	0.9780005	0.7986301	0.0059788	0.6396005	0.0006544	0.5405341	0.2350427	0.4842626	0.4133146	0.2969039	3.1473396	2.9398673	2.6581928	1.7228194	1.2275289	0.95797	0.3271079	2.7531513	2.42169	2.1272363	1.7815326	2.1354301	1.4458519	1.9650469	1.1740169	2.8260408	2.6500446	1.5564078	0.9374639	0.097356	1.04501	0.6189977	0.9137128	0.3929189	2.1694155	1.0665404	1.7830449	0.8419389	1.5601165	1.190845	0.7784056	0.4269827	0.9306632	0.5844363	0.8225604	0.2769967	0.7062557	0.2508259	0.6242543	0.2063916	2.6299959	1.8417106	1.3298559	1.7169312	1.483008	1.222908	1.0272741	0.3670966	1.5083213	1.2607757	0.7360903	0.2135581	0.1726947	1.1616363	0.9251505	0.5045956	0.4124955	0.3297157	0.065754	2.4167108	2.131641	1.0429638	1.723283	0.7188136	0.020466	1.3983007	1.1614831	0.8601642	0.684865	0.2129557	2.3268478	2.2114975	1.9780792	1.629271	1.7011326	1.4891681	1.1857379	1.9613613	1.5258822	1.3228103	0.742733	0.504676	0.2712101	0.1704087	2.0508647	1.6634705	1.14349	0.9147849	0.2909646	1.3448145	0.8967657	0.00638580000000001	1.0437261	0.6277913	0.3420477	0.5543304	0.4449791	0.372741	0.0641244	0.0002309	0.2310313	0.0008284	0.0002486
run2	5.1613096	4.8905111	4.3566106	3.0548265	2.9656429	2.2587775	2.1179053	5.1029411	4.4393683	3.6396733	0.8180706	4.1149066	1.7249365	3.4507058	2.9309401	1.4946481	2.9123899	1.0519065	1.1790263	0.7752222	3.5903823	2.3840296	1.5252034	1.1616563	2.1654936	2.0493495	1.9013822	2.0265744	1.8389979	0.8563535	1.3890244	0.5988418	0.4787711	0.0999368	0.2107957	1.9344592	1.6711518	1.2992337	0.8003823	0.1966904	1.0303425	0.7247715	0.5428903	1.7808838	1.5462016	0.8952406	0.5799076	0.4298003	0.1245662	0.2855368	1.6840274	1.459685	1.2581398	1.3010582	1.0782227	0.8985064	0.7280982	0.0005918	1.4483692	0.776251	0.3577334	0.0161046	0.0125952	0.0072756	1.2084824	0.5355683	0.3793091	0.0032195	0.1580679	0.0057033	3.4419834	2.8909759	2.0840945	1.1785655	3.3372598	3.0338885	1.6229707	0.8245389	0.346591	1.24525	0.1247611	0.8773887	0.699167	0.4269554	0.2884583	0.5914628	0.4980674	0.3679443	2.2393385	1.4364138	1.3440077	0.8073235	0.6215068	1.191101	0.7620901	0.6219604	0.0757441	0.6347444	0.2284232	0.5009315	0.2557594	0.2672529	0.1773382	0.003161	0.9773539	0.7999904	0.0059211	0.6415646	0.0006581	0.5411368	0.2354325	0.4832761	0.4143029	0.2976725	3.1396275	2.932402	2.6606125	1.7166113	1.2268825	0.9596795	0.3293248	2.7463359	2.4145646	2.1285544	1.7878751	2.1381399	1.4428551	1.9638184	1.1664214	2.8205029	2.6453419	1.5509967	0.9357255	0.0987447	1.0453103	0.6232035	0.9151676	0.3909764	2.1645728	1.0652879	1.7789036	0.8479488	1.5596164	1.1900993	0.776443	0.4262787	0.9296878	0.5819624	0.8216042	0.275812	0.7056129	0.2521427	0.6254652	0.2071136	2.6280849	1.8362477	1.3288636	1.7123184	1.4782459	1.2169046	1.0211606	0.3679865	1.5043542	1.2617312	0.7365931	0.2123351	0.1730273	1.162413	0.9249237	0.5072962	0.4112412	0.3304619	0.0663564	2.4159862	2.1299644	1.0451273	1.7213164	0.7207958	0.0206472	1.3941053	1.1614469	0.8598381	0.6845275	0.2119207	2.3226471	2.2094198	1.9784032	1.6286535	1.7021911	1.4872994	1.1907771	1.9584284	1.5265302	1.3207854	0.7458797	0.5070698	0.2725713	0.1686746	2.0508522	1.6621935	1.1411498	0.9147432	0.2912084	1.3456196	0.8979433	0.0064183	1.0418331	0.6267119	0.3439227	0.553389	0.4465919	0.3730107	0.0644029	0.0002129	0.231569	0.0008377	0.0002587
run3	5.1596749	4.8873337	4.3419646	3.0492969	2.9682501	2.2675456	2.1203363	5.102909	4.4366054	3.65334	0.807694700000001	4.1155611	1.7243741	3.4537528	2.9341417	1.48681	2.9085001	1.05667	1.1650401	0.769373	3.5867706	2.3842024	1.5284596	1.154946	2.1619262	2.0455412	1.8981903	2.0279789	1.8421444	0.8545984	1.392488	0.6001232	0.4780637	0.0999735	0.210434	1.9344549	1.6694465	1.3020755	0.804889	0.1939383	1.0343935	0.7268228	0.5463761	1.7761291	1.5404898	0.8919993	0.57813	0.4313742	0.1236514	0.2865399	1.6821708	1.4586904	1.257739	1.3007102	1.0748319	0.8989964	0.7266787	0.0006264	1.4511841	0.7815602	0.3605911	0.0161542	0.0126936	0.00728920000000001	1.2113723	0.5342177	0.3775267	0.0032492	0.1582025	0.0056383	3.4343802	2.8866378	2.0914544	1.1740348	3.3372187	3.0325923	1.6170938	0.8179469	0.3439987	1.245116	0.1254625	0.8784159	0.6980403	0.4280513	0.2903069	0.5914683	0.500036	0.3687534	2.2325669	1.4364705	1.3369392	0.8024532	0.6201119	1.1890687	0.7590953	0.6183289	0.0753005	0.6324623	0.2281744	0.4989347	0.2559604	0.2661041	0.1759824	0.0031787	0.9741856	0.7974982	0.0058497	0.6372808	0.0006434	0.538917	0.2350094	0.4819865	0.411931	0.2981087	3.1375812	2.9333601	2.6523351	1.7209884	1.2256255	0.9620379	0.3313265	2.7439836	2.4093577	2.1171851	1.778378	2.1301764	1.4369739	1.9586637	1.1684112	2.8186754	2.6395562	1.5535008	0.9349719	0.0987447	1.0481673	0.6165035	0.9150942	0.3895474	2.1601323	1.0620398	1.7764374	0.8449932	1.5564705	1.1915352	0.7772923	0.4291191	0.9319242	0.5843303	0.8232331	0.2768574	0.7085529	0.2508748	0.629062	0.2069769	2.6228806	1.8318529	1.3202932	1.7067019	1.4770245	1.2193928	1.0195476	0.3665635	1.501572	1.2578387	0.7311485	0.2117619	0.1726074	1.1576684	0.9213574	0.502288	0.4122523	0.3306756	0.0654847	2.4099633	2.1253278	1.0383491	1.7172558	0.7168128	0.0206358	1.3908039	1.1600681	0.8557939	0.6826878	0.2115413	2.3174478	2.2050534	1.9732031	1.6274698	1.69982	1.4888507	1.18644	1.9603923	1.5198518	1.319078	0.7475894	0.507219	0.2713164	0.1692076	2.0455421	1.6608482	1.1424459	0.9074328	0.2875525	1.3417979	0.8952297	0.006271	1.0408083	0.6230615	0.3418821	0.5504568	0.4447347	0.3721484	0.0637383	0.0002135	0.2317309	0.0008223	0.000256300000000001
run4	5.1614007	4.8896892	4.3515025	3.0407163	2.9505458	2.2537609	2.1063317	5.1034145	4.4359766	3.6542215	0.8149376	4.110345	1.728161	3.4527984	2.9145097	1.4724747	2.9066997	1.0526944	1.1736631	0.7726492	3.590413	2.3824635	1.5241419	1.1544574	2.1610519	2.0544243	1.9035743	2.0273285	1.8414565	0.8543934	1.3915676	0.5984394	0.4784913	0.1004925	0.209521	1.9349923	1.6679328	1.2948861	0.799815	0.1947809	1.0328365	0.7285615	0.5443515	1.7781498	1.5475617	0.8953197	0.5772107	0.4297527	0.1249641	0.286022	1.6834959	1.4621562	1.2595794	1.3010354	1.0766743	0.8944009	0.722493	0.0005701	1.4500198	0.7801602	0.3616228	0.0163448	0.0128652	0.0072927	1.2055341	0.5307502	0.3778752	0.0031416	0.1578456	0.0057132	3.4419256	2.8881533	2.0939321	1.172892	3.3397479	3.040656	1.6242615	0.8211153	0.3474909	1.2510041	0.1262356	0.8797869	0.7015696	0.426535	0.2899031	0.5936745	0.4996556	0.368481	2.2346709	1.4460319	1.3378923	0.803435	0.6207703	1.1900309	0.7589875	0.6196737	0.0750684	0.6310308	0.2268188	0.4978861	0.2556102	0.2676498	0.1771747	0.0031797	0.9789376	0.7964836	0.0057483	0.638375	0.000649	0.5368759	0.23432	0.481496	0.4131989	0.2966457	3.1447667	2.9390379	2.6492016	1.7142132	1.2283112	0.9613408	0.3283211	2.7493537	2.4179952	2.1251034	1.7815612	2.1342361	1.439585	1.9639679	1.1719277	2.8284366	2.6491274	1.5548697	0.9357863	0.0984414	1.0521198	0.6208949	0.9171969	0.3931214	2.1711423	1.0629277	1.7841659	0.8448139	1.5584098	1.1892252	0.7743154	0.4263568	0.9308041	0.5852819	0.8232978	0.2764753	0.7098498	0.2518575	0.6262459	0.2070221	2.6345165	1.8388994	1.3247817	1.715503	1.4812156	1.2207872	1.0247551	0.3664389	1.5036099	1.2600329	0.7350602	0.2120911	0.1724309	1.1602981	0.9234892	0.5033042	0.4116281	0.3300143	0.0657994	2.4215835	2.1335537	1.0423478	1.7277623	0.7160664	0.0206621	1.3961506	1.1619733	0.8571333	0.6841521	0.2113774	2.3291049	2.21518	1.9791814	1.6288815	1.7046643	1.4896588	1.1899342	1.9634603	1.5228549	1.3163965	0.7421178	0.5036192	0.2702708	0.1688404	2.0537384	1.6679287	1.1424868	0.9160557	0.2898051	1.341858	0.891284	0.0063433	1.0381777	0.6204226	0.3422572	0.5473445	0.441951	0.3708605	0.0639186	0.0002183	0.2295056	0.0007999	0.0002468
run5	5.1598811	4.8920735	4.364003	3.0478653	2.9838619	2.2642044	2.1214042	5.1024682	4.4478958	3.6571347	0.8155105	4.1276738	1.7198664	3.4626977	2.9345338	1.4823636	2.9203764	1.0584882	1.1830544	0.7782842	3.5942709	2.3826915	1.521876	1.156548	2.1618622	2.0467712	1.8990967	2.0278236	1.8402527	0.8548099	1.3927989	0.6034858	0.4814489	0.1006584	0.2108805	1.9328186	1.6718897	1.3026444	0.8019112	0.1950959	1.0360235	0.7265763	0.5454913	1.7765783	1.5437467	0.8889534	0.5762971	0.4279015	0.1251186	0.2861435	1.6826563	1.4609098	1.2572636	1.3012097	1.0785298	0.8982363	0.7268966	0.000632800000000002	1.4444775	0.7772631	0.3620468	0.0161023	0.0126588	0.0072633	1.2053268	0.5335521	0.3757543	0.0031825	0.1562664	0.0056708	3.4405551	2.8876953	2.0908928	1.1726899	3.3408338	3.0407675	1.631592	0.8180667	0.344242	1.252026	0.1267205	0.8818874	0.7015779	0.4276255	0.2892584	0.5932507	0.5003142	0.3685691	2.2336207	1.4353335	1.339928	0.8042586	0.6199698	1.1918457	0.7582135	0.6193588	0.0757934	0.6318969	0.2269885	0.5006959	0.2542825	0.2664044	0.1769481	0.0032168	0.9775696	0.7992633	0.005771	0.6387098	0.000666000000000001	0.5395809	0.2335469	0.4829067	0.4133827	0.2970624	3.1427526	2.938064	2.6540415	1.7154901	1.2251658	0.9569989	0.3260082	2.7484208	2.4186244	2.1254236	1.7835663	2.1390775	1.4404611	1.9669486	1.1756397	2.818331	2.6425763	1.5560148	0.9393797	0.0990613	1.0467875	0.61863	0.9132637	0.3943469	2.1620628	1.0599182	1.7812818	0.8435418	1.5560592	1.1866171	0.7759167	0.4270791	0.9324448	0.5833925	0.8248791	0.2758795	0.7094527	0.2523803	0.6282915	0.2071483	2.6282513	1.8264401	1.3210347	1.7042999	1.4707061	1.2107244	1.0180939	0.366396	1.4961977	1.2529201	0.7309091	0.2108596	0.1715859	1.156363	0.9211629	0.5041513	0.4109427	0.330589	0.0654647	2.4168913	2.1297066	1.0429046	1.7259237	0.7237327	0.0208498	1.3993864	1.1637037	0.8581748	0.6847248	0.213559	2.323483	2.2107537	1.9808963	1.6259105	1.7024446	1.4942168	1.1913339	1.9584602	1.5180491	1.316884	0.7441297	0.505857	0.2708307	0.1694273	2.0466846	1.6601464	1.1392587	0.9165744	0.2916707	1.3445057	0.897297	0.0063741	1.0410847	0.6249087	0.3428472	0.5510909	0.4457581	0.3739186	0.0641906	0.0002146	0.2320816	0.0008557	0.0002628
run6	5.1604871	4.8911107	4.3544432	3.0507211	2.9611287	2.263562	2.1112911	5.1031724	4.4250206	3.6414318	0.8053955	4.1139744	1.7330608	3.4532318	2.922252	1.4655782	2.9023159	1.0535216	1.1741197	0.7731716	3.5820097	2.3769323	1.5235018	1.1545809	2.1559357	2.0477491	1.8930064	2.025545	1.8385494	0.8543435	1.3906911	0.596989	0.4750376	0.099979	0.2091512	1.9311178	1.6679264	1.2981891	0.8023355	0.1969259	1.0352545	0.7266397	0.5443308	1.7722262	1.5407482	0.8905758	0.5763351	0.4277178	0.124511	0.2868045	1.681642	1.4594527	1.2578195	1.3000075	1.0744563	0.897897	0.7267501	0.0006075	1.4447235	0.7778534	0.3593058	0.0162292	0.0126767	0.0071435	1.2017114	0.5309456	0.3756804	0.003249	0.1578523	0.0056256	3.4324538	2.8770387	2.085918	1.182114	3.3330323	3.0315638	1.6213475	0.8198705	0.3440607	1.247183	0.1262883	0.8823471	0.7022253	0.4272553	0.2891577	0.5935178	0.4998286	0.3687306	2.2289445	1.4343396	1.3338095	0.8023534	0.6182967	1.1859483	0.7578668	0.6193682	0.0749537	0.6303001	0.2256509	0.4967371	0.2542095	0.2664661	0.1764297	0.0031691	0.9750068	0.7950461	0.0058438	0.6359545	0.0006469	0.5368368	0.2338259	0.4801971	0.4107209	0.2957026	3.136166	2.9372473	2.65136	1.7207355	1.2306801	0.9639758	0.3292152	2.7487348	2.4164333	2.1207243	1.7822544	2.1343534	1.4378481	1.9660165	1.1705592	2.827309	2.6451237	1.5446302	0.9365668	0.0974772	1.0393866	0.6151381	0.9086669	0.390173	2.162253	1.0596039	1.7806717	0.8440218	1.5562845	1.1898775	0.7791759	0.4274123	0.9322771	0.5836011	0.8229718	0.2765614	0.7093576	0.2523152	0.6270742	0.207306	2.6271086	1.8367627	1.328148	1.7111005	1.4772139	1.2214339	1.02516	0.3680992	1.5050559	1.2611651	0.7341267	0.2125987	0.1721181	1.1604524	0.9257748	0.5042613	0.41596	0.3334856	0.0661216	2.4136053	2.1270958	1.0395759	1.7202065	0.7190536	0.0204852	1.3927113	1.1597527	0.8565167	0.6844219	0.2130774	2.3216725	2.2080972	1.9728176	1.619695	1.6997237	1.484264	1.1840139	1.9545883	1.517346	1.3155588	0.7479731	0.505472	0.2694388	0.1694755	2.0502335	1.664663	1.1386853	0.9172865	0.2905944	1.3476346	0.8946093	0.0063999	1.0419045	0.6249941	0.3419993	0.5505511	0.4449618	0.3728333	0.0638616	0.0002106	0.2307706	0.0008185	0.0002392
run7	5.1601148	4.8923486	4.3550343	3.0376631	2.9749522	2.2635801	2.1243891	5.1022221	4.4272561	3.6384286	0.812461	4.1120742	1.7228692	3.4439338	2.9246588	1.4745292	2.8965153	1.05806	1.1753023	0.771449	3.5915419	2.3919982	1.5288111	1.1635787	2.1738459	2.0597283	1.9098172	2.0387081	1.8528605	0.8546892	1.4042488	0.600974	0.4803503	0.1002362	0.2118379	1.9439604	1.6751618	1.3042511	0.8024373	0.1952559	1.0387043	0.7303322	0.5466041	1.78403	1.550812	0.8961226	0.5816859	0.4300841	0.1243986	0.2876811	1.6914363	1.4683603	1.2633138	1.3104005	1.0792939	0.9016246	0.7321563	0.0005834	1.4550174	0.784595	0.3615963	0.0162825	0.0127574	0.0072634	1.2138088	0.532643	0.3798017	0.0032211	0.1581829	0.0056396	3.4367509	2.8918529	2.0843975	1.179903	3.3351079	3.0398511	1.6229308	0.8274337	0.3470395	1.2470824	0.1250661	0.880073	0.7009351	0.4280179	0.2903306	0.592244	0.4991641	0.3691223	2.2356923	1.4374475	1.3426376	0.8061697	0.6219867	1.1935353	0.7620038	0.6202841	0.075005	0.6343116	0.2295451	0.5012133	0.2555829	0.2686965	0.1775969	0.003254	0.9800704	0.8023378	0.0059778	0.6404586	0.0006451	0.5421885	0.2349283	0.4843292	0.4138998	0.2972181	3.1407415	2.932337	2.6560863	1.7248311	1.2268089	0.959721	0.3281985	2.7487336	2.4168754	2.124458	1.7825792	2.140409	1.4422416	1.9604351	1.1675041	2.824832	2.6456485	1.5563017	0.9375648	0.0980627	1.0537106	0.6193364	0.9188977	0.3939737	2.1662555	1.0617367	1.7799533	0.8442266	1.557666	1.1892047	0.7779125	0.4265161	0.9313064	0.5854871	0.8237952	0.276546	0.7082312	0.2531359	0.6274615	0.2064765	2.6265953	1.8378222	1.3273488	1.7119283	1.4774734	1.2181989	1.022269	0.3669699	1.5041478	1.2606743	0.735664	0.2145833	0.1744687	1.1642716	0.9274552	0.5074169	0.4149505	0.3321527	0.0661239	2.4183691	2.1292889	1.0440305	1.7237538	0.7183406	0.0204748	1.3950153	1.1602084	0.8576223	0.6836752	0.2127689	2.3239831	2.2119023	1.9785335	1.6269174	1.7037636	1.4955792	1.1940923	1.9582914	1.5178992	1.3217239	0.7457398	0.5055883	0.2722058	0.1698125	2.0518917	1.6600364	1.1448172	0.9134573	0.2895913	1.3474736	0.8954401	0.0064714	1.0440149	0.6271912	0.3445067	0.5528528	0.4451709	0.3733083	0.064071	0.0002134	0.2318613	0.0008495	0.0002501
run8	5.1599235	4.8866058	4.3555727	3.0509289	2.9627001	2.2715825	2.1237728	5.1026204	4.4439848	3.6490455	0.82258	4.123847	1.7136495	3.461672	2.9368152	1.4917908	2.9186865	1.0486607	1.1661999	0.7678528	3.5856724	2.3799676	1.5206472	1.1526787	2.1577827	2.0468535	1.9043292	2.0237434	1.8428945	0.8592541	1.395802	0.6035407	0.4812667	0.1010041	0.2093286	1.9316873	1.6650033	1.2961855	0.7986872	0.1949544	1.0325291	0.727183	0.5459571	1.7744782	1.5441056	0.8931638	0.5788778	0.4322482	0.1248847	0.2865995	1.6831721	1.4630814	1.2576446	1.3015165	1.0775987	0.8971295	0.7271303	0.0006057	1.4484294	0.7806471	0.3601708	0.0163205	0.012823	0.007262	1.2077402	0.5305771	0.3755286	0.0031869	0.1577905	0.0056346	3.4357059	2.8751353	2.0695319	1.1700917	3.3325415	3.0331561	1.6241041	0.8217962	0.3445284	1.2491113	0.1263669	0.8795358	0.7004489	0.4282366	0.2889794	0.5953938	0.5007653	0.3687863	2.2224175	1.4314721	1.3313178	0.7998451	0.6168469	1.1832247	0.7520358	0.614686	0.0745565	0.6260998	0.2248128	0.4954859	0.2546479	0.2653242	0.1758104	0.0031886	0.9701617	0.7937841	0.0059184	0.6342805	0.0006262	0.5362324	0.2325268	0.479404	0.4090898	0.2941563	3.1344032	2.9338324	2.6553525	1.7186783	1.2288611	0.9632033	0.3270713	2.7505319	2.4205959	2.1239214	1.7811062	2.1326532	1.4457862	1.9619028	1.1731791	2.8152596	2.643501	1.5539998	0.9390109	0.0983201	1.0488503	0.6225554	0.9153432	0.3933823	2.1578553	1.0558529	1.7740208	0.8406079	1.5529121	1.1855753	0.7728684	0.4267651	0.9268646	0.5844493	0.8197354	0.2727773	0.7061509	0.2518811	0.6243261	0.2059882	2.6211709	1.8335985	1.3267599	1.7097245	1.4768561	1.2200048	1.0237302	0.3672106	1.5028795	1.2621455	0.7329331	0.2138364	0.1735332	1.1604141	0.9240429	0.5062688	0.4140484	0.333179	0.0660379	2.4121284	2.1279937	1.0407707	1.7165397	0.7169999	0.0204245	1.3905033	1.1555302	0.8566861	0.6834979	0.2126858	2.3203387	2.2039856	1.975225	1.6306481	1.7001652	1.4853506	1.1875832	1.9585933	1.51808	1.3151718	0.7437174	0.5047628	0.2713004	0.1685966	2.0496911	1.6579772	1.1414208	0.906329	0.2892357	1.3436212	0.8965856	0.0063039	1.0410322	0.6284491	0.3436139	0.5537185	0.4488808	0.3751147	0.0643979	0.0002103	0.2326022	0.0008171	0.0002702
run9	5.1607581	4.8924723	4.357105	3.0594756	2.9782298	2.2691062	2.1353203	5.1039096	4.4457655	3.6592108	0.8144644	4.1207299	1.7197266	3.4511184	2.9247862	1.4775678	2.9101915	1.0545355	1.1703004	0.7703579	3.5923634	2.3870701	1.5279371	1.1561967	2.168223	2.0575908	1.9039735	2.0357488	1.8464161	0.8574832	1.399323	0.6011615	0.4795715	0.1003983	0.2110741	1.9414894	1.6729554	1.2985804	0.8084098	0.1953287	1.0337562	0.7274536	0.5467694	1.7789566	1.5442884	0.8951637	0.5802877	0.4317097	0.1248941	0.2858236	1.6865054	1.4639191	1.2610355	1.3038145	1.0771616	0.8976814	0.7270788	0.0006198	1.4495564	0.7780129	0.3612807	0.0161563	0.012589	0.007267	1.2081445	0.5338484	0.377154	0.003264	0.157387	0.0056083	3.4393956	2.8726802	2.0823034	1.1741613	3.3358554	3.0349098	1.6226632	0.8189699	0.3463578	1.2451952	0.1257916	0.8805118	0.69868	0.4277012	0.2887282	0.5905495	0.4968944	0.3673747	2.2310912	1.4337749	1.3395406	0.8028448	0.6203924	1.1936642	0.7613002	0.6238784	0.0755413	0.6326128	0.2286575	0.4995603	0.2565363	0.2671376	0.1774665	0.0032175	0.9776917	0.7983921	0.0057856	0.63659	0.000651	0.5410703	0.2339338	0.4831825	0.4134397	0.2971106	3.1405673	2.9346043	2.6557698	1.7121245	1.2211158	0.9562354	0.3283769	2.7483211	2.4083115	2.1217912	1.7740457	2.1328678	1.4402408	1.960068	1.1633872	2.820811	2.6439929	1.5487641	0.934143	0.0980339	1.0438945	0.6190541	0.9139322	0.3922799	2.1659991	1.0617489	1.7786458	0.8400943	1.5567524	1.1936387	0.7804603	0.4278193	0.9335055	0.5864046	0.8275586	0.2771962	0.712133	0.2522294	0.630552	0.2084545	2.6280982	1.8338648	1.3253583	1.709278	1.4751395	1.2181493	1.0192168	0.3653043	1.5018327	1.2594843	0.7331586	0.2132505	0.1725786	1.1567618	0.9210432	0.5026326	0.4129763	0.3315739	0.0663436	2.4116138	2.1300355	1.0368147	1.7219141	0.7223675	0.0206389	1.392801	1.1554984	0.8544831	0.6830803	0.2136603	2.3167694	2.2030559	1.9724589	1.6250066	1.7027131	1.4884784	1.1894156	1.9557377	1.5177951	1.3185086	0.7450252	0.5052044	0.2701328	0.1689894	2.0444172	1.6593812	1.1389101	0.9138097	0.289859	1.3351956	0.8902146	0.0063622	1.0344806	0.6211443	0.3413003	0.5502706	0.4421284	0.3692116	0.0638968	0.0002125	0.2286507	0.0008216	0.0002459
run10	5.1609874	4.8926881	4.3502839	3.0394071	2.9697599	2.2664273	2.1222687	5.1032575	4.4404627	3.6533151	0.8155046	4.1112876	1.73167	3.4464983	2.9157632	1.4818966	2.9113748	1.053488	1.1733075	0.7685058	3.5957301	2.3810653	1.5237291	1.1566788	2.1582371	2.0469961	1.8956075	2.0245776	1.8384393	0.8538399	1.3923334	0.5985315	0.4777708	0.1008099	0.2098345	1.9310546	1.6662381	1.3016609	0.8001018	0.1972747	1.032168	0.7242259	0.5444846	1.7739392	1.5422742	0.893874	0.5773648	0.4302224	0.1247127	0.2837421	1.6812433	1.4555384	1.2561727	1.29989	1.0745964	0.8946684	0.7254215	0.0005993	1.4451251	0.7804918	0.3609644	0.0162053	0.012645	0.0072597	1.2047996	0.5286432	0.3760166	0.0032233	0.1573649	0.0056751	3.4421818	2.892348	2.0777912	1.1744617	3.3391502	3.0362737	1.6163062	0.8182895	0.3443731	1.2366259	0.1257154	0.865527	0.6900901	0.4209673	0.2851245	0.5834088	0.4922762	0.3642091	2.2264608	1.4334051	1.333217	0.8001208	0.6180295	1.1851828	0.7577988	0.6207226	0.0752514	0.6302836	0.2270847	0.4989631	0.2554948	0.26669	0.1770566	0.0032319	0.9733355	0.7936138	0.0059015	0.6354134	0.000650300000000001	0.5383147	0.2354823	0.4808956	0.412586	0.296492	3.1387624	2.932612	2.6520827	1.722146	1.2245863	0.955197	0.3293772	2.7505777	2.4181503	2.1224223	1.7799772	2.133318	1.4446639	1.9682244	1.1718997	2.8196195	2.6432377	1.5553925	0.939252	0.0979324	1.0468098	0.6187824	0.9141825	0.3924514	2.1634149	1.062951	1.7812852	0.8422351	1.5598199	1.1884843	0.7749348	0.4259547	0.9310109	0.5853956	0.8242733	0.2759494	0.7095087	0.2508601	0.6275367	0.2074223	2.6221292	1.8289786	1.3283277	1.7059423	1.4759014	1.2141649	1.0201894	0.3671811	1.4961009	1.2592112	0.7290012	0.2133819	0.1740681	1.156923	0.9195824	0.5010717	0.4122105	0.3307476	0.065621	2.4101781	2.12321	1.0335319	1.7207787	0.7177881	0.0203995	1.3950672	1.1602367	0.857957	0.6845001	0.2125217	2.317243	2.2037904	1.9739379	1.6231207	1.6971017	1.4840166	1.1841418	1.9560362	1.5222709	1.3191609	0.7444213	0.504708	0.2690761	0.1691891	2.0440312	1.6586795	1.1392167	0.9108936	0.2900163	1.3423061	0.8970816	0.0064189	1.0388082	0.6256001	0.3445458	0.5503263	0.4440448	0.3729216	0.0644401	0.0002163	0.2303538	0.0008367	0.0002666
