t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.5574451	5.5064914	5.1688921	4.4537452	4.4067767	3.8215352	3.6673358	5.390298	5.0240929	4.5652588	2.2092101	4.8206147	3.3584907	4.4029416	3.9922123	2.6848206	3.9606644	2.2675263	2.3671734	1.728249	4.2708836	3.1308812	2.3622173	2.0571378	2.8745039	2.7635405	2.6194502	2.7177357	2.5053076	1.5293501	2.0095445	1.0807642	0.8875022	0.2340493	0.4355268	2.6021263	2.3048811	1.9207801	1.4082264	0.5095459	1.661817	1.2545226	1.0124181	2.4144914	2.1666168	1.4324324	1.0240464	0.8080651	0.3159394	0.5665403	2.2993099	2.0386533	1.8150049	1.8478313	1.5776635	1.3622379	1.1603407	0.0143537	2.0299652	1.308123	0.7403672	0.0631466	0.0540173	0.0396215	1.7648261	1.2650751	0.7461153	0.0224453	0.3680202	0.0293989	4.1300856	3.9214544	3.1957327	2.3787904	4.025661	3.7455031	2.4454563	1.5547325	0.8121183	2.0088934	0.3881384	1.5273149	1.2482879	0.8331222	0.5972543	1.0795955	0.9257853	0.7021905	2.9629008	2.2273612	2.0196432	1.3869803	1.1321979	1.8334288	1.2785087	1.0914224	0.1938928	1.0930691	0.4854957	0.8918457	0.5060288	0.5202538	0.3604548	0.0146993	1.5626152	1.319791	0.0358446	1.0886015	0.0108706	0.9389256	0.4641688	0.8511501	0.7394629	0.5551488	3.8321712	3.6330658	3.4005969	2.5403878	1.9921892	1.6497913	0.7199557	3.4472988	3.15326	2.8706654	2.5584739	2.8712475	2.2228895	2.7187772	1.9304073	3.5119704	3.3315049	2.3369823	1.6437927	0.2798294	1.7371021	1.1532932	1.5549513	0.8065556	2.8383658	1.8458245	2.4344521	1.4818475	2.185882	1.7633056	1.2619292	0.789606	1.4361366	0.9978804	1.2941714	0.5589725	1.1362505	0.494747	1.0253965	0.4120798	3.3056853	2.5209501	2.0295594	2.3754102	2.1232679	1.8277691	1.598739	0.7757004	2.1416668	1.8695313	1.276202	0.508767	0.4138872	1.7383868	1.4484036	0.8989641	0.7763525	0.6445891	0.160169	3.0786786	2.7728363	1.771806	2.3491718	1.3232672	0.0728095	1.9947475	1.72737	1.3589082	1.1300591	0.4353564	2.973797	2.8464464	2.593777	2.2554335	2.3098235	2.0918117	1.777582	2.590907	2.1354493	1.9216903	1.2604323	0.930936	0.618836	0.4317495	2.6759969	2.2814768	1.7550554	1.5144375	0.6470403	1.9571652	1.4716995	0.0350115	1.6140162	1.0877354	0.6735028	0.9782366	0.8115121	0.6981802	0.1768506	0.0093066	0.4590595	0.0110914	0.0058332
run2	5.5628858	5.5053937	5.1667918	4.452106	4.4066129	3.8207563	3.6646983	5.3900694	5.0282293	4.566947	2.1959029	4.8221445	3.3598181	4.3983265	3.9937777	2.6857601	3.9646408	2.2739115	2.3620683	1.7314392	4.2757814	3.1414543	2.3699505	2.0719038	2.8815959	2.7688252	2.6239458	2.7208661	2.5131207	1.5308733	2.0160791	1.0830054	0.8913786	0.2343009	0.4339901	2.6096668	2.3126508	1.9334782	1.4140926	0.509949	1.6618536	1.2559118	1.0108676	2.4224826	2.1729852	1.4344345	1.0279091	0.810438	0.3175715	0.5657557	2.3082492	2.0423141	1.8201719	1.8510716	1.5828115	1.3632135	1.1650657	0.0142348	2.0342624	1.3120256	0.7432224	0.0637504	0.0541322	0.0401573	1.7678489	1.2732178	0.7456792	0.0227021	0.3675491	0.0296151	4.1359037	3.9215379	3.1985126	2.3727393	4.0339223	3.7527458	2.4489597	1.5567498	0.8132303	2.0124012	0.3855306	1.5352854	1.2527792	0.8351287	0.59954	1.084473	0.9278816	0.7083114	2.9621174	2.228544	2.0202601	1.3927822	1.1380005	1.8370701	1.2785748	1.0897243	0.1941338	1.0943327	0.485102	0.8904865	0.5075136	0.5201725	0.3612915	0.0148845	1.5658415	1.3210545	0.0367152	1.0899478	0.0109484	0.9394053	0.4654306	0.8532124	0.7428641	0.5572669	3.8403482	3.6445077	3.4069387	2.5606136	2.0056418	1.6551018	0.7231862	3.4578685	3.1553841	2.8786371	2.565474	2.8756285	2.2281375	2.721192	1.9266404	3.5225414	3.3368435	2.3371732	1.6401712	0.2795037	1.7382291	1.155705	1.5620427	0.8054087	2.8472486	1.8480456	2.4424068	1.4833659	2.1943597	1.7680155	1.2701294	0.7889576	1.4439497	0.9981583	1.3010681	0.5584034	1.1419914	0.498274	1.0295834	0.4130769	3.3186587	2.521988	2.0244829	2.380277	2.1212771	1.8302711	1.6025891	0.77656	2.1473074	1.8744367	1.2769745	0.5094372	0.4152819	1.7429407	1.4526372	0.9019227	0.7833905	0.6449818	0.159027	3.0839198	2.7741507	1.7732885	2.351728	1.3290394	0.0727884	1.9981807	1.7270827	1.3600054	1.1308122	0.4399525	2.981135	2.8527003	2.5973865	2.2584298	2.3084234	2.0871568	1.7754488	2.5882213	2.1333297	1.915377	1.2570934	0.9287668	0.6168026	0.4312018	2.6787557	2.2849249	1.7600658	1.5199262	0.6495689	1.9677196	1.475703	0.0347352	1.6200517	1.0846745	0.6710956	0.9780136	0.8106489	0.6961423	0.1779313	0.0094323	0.4593087	0.011076	0.0058509
run3	5.558692	5.5004852	5.1707639	4.4588358	4.405504	3.8084777	3.6726296	5.3900032	5.0259735	4.5686877	2.1979015	4.8201711	3.3721206	4.4026474	3.9972341	2.6814099	3.9660317	2.2700311	2.3610882	1.7309992	4.2718553	3.1375535	2.3668116	2.0654068	2.8780391	2.7641272	2.6261954	2.7229907	2.5161358	1.5341176	2.0146132	1.0860944	0.8889434	0.2342975	0.4342519	2.6079407	2.308529	1.9300952	1.4108458	0.5088112	1.6556122	1.2531876	1.008517	2.4193633	2.1682783	1.4359678	1.0274187	0.8087181	0.3178267	0.5669947	2.3032729	2.0477241	1.8202094	1.8556812	1.5827327	1.3682784	1.1650913	0.0140452	2.0313118	1.3076809	0.7418389	0.0637715	0.0540907	0.0402405	1.7646691	1.2674007	0.7487976	0.0225236	0.3664026	0.029637	4.132001	3.921866	3.1946803	2.3705981	4.0299826	3.7501622	2.4528314	1.5518679	0.8043452	2.0095056	0.3899725	1.529265	1.2498389	0.8336696	0.5977304	1.0776372	0.92714	0.706892	2.9640706	2.2361065	2.0177883	1.3894338	1.1362524	1.8305138	1.2716505	1.0877974	0.1931447	1.0908609	0.4840713	0.8866278	0.5070931	0.520941	0.3598839	0.0146791	1.5616033	1.3187586	0.0360964	1.0903066	0.0108049	0.9362813	0.4632807	0.8503288	0.7388168	0.5540247	3.8364222	3.6395081	3.4105705	2.5551722	2.0038936	1.65662	0.7240495	3.4530723	3.1559236	2.8776048	2.5652051	2.8724368	2.2273811	2.7155584	1.9263334	3.5198162	3.3387679	2.3346275	1.6467855	0.2816621	1.739506	1.1602435	1.5572281	0.8012709	2.8518823	1.8465409	2.4411588	1.4852635	2.1953403	1.7735444	1.270972	0.7949915	1.4432814	1.0038842	1.3019291	0.5594498	1.1408461	0.496091	1.0309952	0.4177372	3.3133558	2.5194084	2.0299825	2.3782783	2.1216126	1.8274881	1.5979307	0.7805114	2.1462567	1.8719047	1.2760706	0.5101926	0.4155713	1.7443881	1.4531455	0.903241	0.7767089	0.6427414	0.1589729	3.0853345	2.7743703	1.7719063	2.3483442	1.3203881	0.0738577	1.9965706	1.7301847	1.3640096	1.1348537	0.4400449	2.9787738	2.8543101	2.5993822	2.2550193	2.3094317	2.0905042	1.7761224	2.5940178	2.1350711	1.9204664	1.2599735	0.9310674	0.6187946	0.4327068	2.6819033	2.2822972	1.757279	1.5128681	0.6498052	1.960098	1.472239	0.0351898	1.6088172	1.0808602	0.6718087	0.9743511	0.8094391	0.6923699	0.1766249	0.0090851	0.4546937	0.0109362	0.0058812
run4	5.5600647	5.5015299	5.1653323	4.4565741	4.4029411	3.805981	3.6650333	5.3887743	5.0217698	4.5655423	2.2028556	4.8199207	3.3474041	4.400209	3.9917	2.6812476	3.9635613	2.2727608	2.3652153	1.7357893	4.272878	3.1396185	2.3623967	2.0611034	2.8807506	2.7680888	2.6212608	2.7200077	2.508521	1.5380315	2.0189117	1.0845599	0.8914847	0.2352576	0.4371998	2.6082279	2.3054906	1.9278002	1.4113377	0.5060657	1.6560505	1.2456037	1.0000125	2.4194022	2.1721389	1.4367713	1.0260243	0.8121807	0.3188368	0.5676497	2.3034406	2.0399508	1.8130044	1.8493091	1.5774396	1.364962	1.1621075	0.0142663	2.0306802	1.3106402	0.7369858	0.0629416	0.0538473	0.0398046	1.7636769	1.2697684	0.7416895	0.0225827	0.3669191	0.029996	4.1339944	3.9155753	3.1845634	2.3711099	4.0313114	3.7483037	2.448659	1.5563088	0.8081807	2.0074103	0.3920481	1.5267692	1.2416518	0.8286586	0.5964664	1.0730527	0.9221913	0.7023289	2.9581303	2.2250131	2.0192368	1.3909554	1.134829	1.8332354	1.2754087	1.0876399	0.1929306	1.0891922	0.4854984	0.888276	0.5093515	0.5169162	0.359352	0.0147264	1.5656468	1.3177789	0.0361954	1.0896119	0.0108281	0.9368525	0.4656916	0.8501156	0.7410396	0.5555497	3.8359632	3.6383909	3.4051555	2.5539156	2.0041058	1.6633343	0.7242045	3.452058	3.1508354	2.873574	2.5611022	2.8719107	2.2313965	2.7131581	1.9311856	3.5149813	3.3331916	2.3297308	1.6350007	0.2805832	1.7333042	1.1532112	1.5520874	0.8045511	2.844488	1.8469006	2.4338326	1.4811269	2.1895995	1.7682131	1.2687288	0.7881903	1.4465166	0.9995084	1.3026201	0.5546994	1.1410855	0.4947989	1.0320587	0.4144406	3.3111004	2.5221663	2.0235263	2.3828223	2.1218386	1.8246755	1.5952466	0.7750093	2.1461323	1.8674434	1.274789	0.5136677	0.4195277	1.7437186	1.4574797	0.9007536	0.7788898	0.6455356	0.1590677	3.0802437	2.7679958	1.7695494	2.3516041	1.3169998	0.0730353	1.9945034	1.7312281	1.3632692	1.1322374	0.4390302	2.9772638	2.8469005	2.5938894	2.2600529	2.3062309	2.0885025	1.7757081	2.5886476	2.1322992	1.9178462	1.2609614	0.9312123	0.624375	0.4311339	2.6767031	2.2776983	1.7550609	1.515105	0.6457384	1.958212	1.4701819	0.0349035	1.6110621	1.0790143	0.6710461	0.973765	0.8084935	0.691527	0.1774937	0.0092888	0.4544899	0.0110673	0.0057907
run5	5.5659771	5.5096759	5.1753806	4.4590248	4.4194751	3.8238242	3.6700362	5.3899123	5.0255807	4.5674845	2.1989532	4.8181323	3.3581503	4.4011724	3.9928808	2.6939026	3.9670126	2.2749162	2.3556513	1.727669	4.2702633	3.1368078	2.3596323	2.0634542	2.8779638	2.7637091	2.6208468	2.7197066	2.5095081	1.53581	2.0149882	1.0833429	0.8904656	0.2342055	0.4357995	2.6054265	2.3050035	1.9231918	1.4143774	0.5056553	1.6621949	1.2529753	1.0053161	2.4201209	2.1685148	1.4386665	1.0270674	0.8080293	0.3195262	0.5662978	2.3034635	2.0397752	1.8147619	1.847759	1.577773	1.3607446	1.1663117	0.0141507	2.0299459	1.3074043	0.7411135	0.0631823	0.0541616	0.0396542	1.7630147	1.2678184	0.7465931	0.0224668	0.3658239	0.0292143	4.12814	3.9145554	3.1986888	2.3794569	4.0249471	3.7445789	2.4468468	1.5526371	0.810163	2.0067762	0.3838801	1.5271852	1.2477173	0.8314284	0.5956439	1.0779842	0.92545	0.7068783	2.9654424	2.2263668	2.0207629	1.3964786	1.1429837	1.8390668	1.2825133	1.0964346	0.1960431	1.0962109	0.4893751	0.8935229	0.5100073	0.5233163	0.3639435	0.0148203	1.5670934	1.3235658	0.0367266	1.0916968	0.0111537	0.9395293	0.464273	0.8514146	0.7403414	0.5530998	3.8377151	3.6388881	3.4061143	2.554649	2.0010024	1.6580573	0.7279928	3.4542691	3.1574437	2.8811459	2.5644382	2.8794376	2.229711	2.7234954	1.9327206	3.5182117	3.3385119	2.3375917	1.6393321	0.2831178	1.7399235	1.1590705	1.5588088	0.806256	2.8459592	1.84632	2.4379002	1.4881058	2.1937776	1.7669256	1.2689413	0.792926	1.4461531	1.0047183	1.2995364	0.5608061	1.141502	0.4975901	1.0295856	0.414282	3.3120628	2.52518	2.0328285	2.385889	2.1273566	1.8325146	1.6017178	0.7745896	2.1511969	1.877133	1.2810138	0.5092953	0.4165529	1.7465827	1.4546723	0.9028518	0.7788664	0.645502	0.1588387	3.0830369	2.7749686	1.769741	2.3497485	1.3260745	0.0730174	1.9952324	1.7294413	1.359584	1.131256	0.4399697	2.9784815	2.8531059	2.5966219	2.2610279	2.3111426	2.0875285	1.7760337	2.5937702	2.132785	1.916931	1.2613599	0.9310572	0.6161588	0.4353323	2.6779824	2.2841975	1.7589862	1.5129953	0.6485523	1.9590258	1.4679094	0.0349701	1.6162533	1.0853517	0.6716798	0.9787221	0.8100164	0.6933371	0.1769916	0.0093275	0.4569218	0.0107935	0.0059531
run6	5.5582115	5.501849	5.1655287	4.4547981	4.4070905	3.814462	3.6666839	5.3895807	5.0244905	4.5727553	2.1960852	4.8207737	3.3612583	4.3998144	3.9913527	2.6825041	3.9653371	2.2633148	2.357478	1.727407	4.2719265	3.1333636	2.3581902	2.0569501	2.8737258	2.7616906	2.6180839	2.7166869	2.5092555	1.5255278	2.0165291	1.0824174	0.8868547	0.2336048	0.434795	2.6023992	2.3046313	1.9242226	1.4081463	0.5060154	1.6551826	1.2457836	1.0017623	2.4149266	2.1631242	1.4355918	1.0237843	0.8093741	0.3155559	0.5674927	2.298805	2.0393561	1.8116753	1.851607	1.5785388	1.3641004	1.1618769	0.0142921	2.031751	1.3059855	0.7419948	0.0629654	0.0535238	0.0391883	1.7645828	1.2613135	0.74583	0.0226703	0.3661649	0.0295926	4.1283858	3.9305047	3.1951542	2.3752356	4.0286918	3.7482317	2.4479118	1.5518774	0.8103652	2.0074292	0.3878841	1.5328572	1.2507798	0.8284316	0.597233	1.0807064	0.9262196	0.7058178	2.9597471	2.2302645	2.0201549	1.3933369	1.1364442	1.8330243	1.2755081	1.0890665	0.1939479	1.0928182	0.4851394	0.8896817	0.5076023	0.5209693	0.3609455	0.0146562	1.5634157	1.3263789	0.0359738	1.0933927	0.0109287	0.9407652	0.4662253	0.8513626	0.7424904	0.555218	3.8360478	3.6381322	3.4032739	2.5493684	1.9996173	1.6597581	0.7276247	3.4558644	3.1577893	2.8771653	2.5563975	2.8742559	2.2304008	2.7168498	1.9254401	3.5155625	3.3365365	2.3346943	1.6372524	0.2800905	1.7348673	1.1564467	1.5550264	0.8079578	2.8475634	1.8450785	2.4415502	1.4844583	2.1920693	1.7706466	1.2739906	0.794692	1.4475447	1.0035572	1.3018344	0.5569303	1.1427821	0.4982464	1.0299599	0.4113437	3.3093196	2.5246162	2.0309152	2.3858364	2.1231012	1.8301794	1.6001499	0.7777163	2.1494315	1.8771802	1.2780675	0.5112057	0.4171754	1.7433473	1.4533896	0.9023832	0.7804031	0.6453494	0.1595662	3.0791053	2.7725074	1.7720289	2.3488198	1.3280853	0.074401	1.9942215	1.7248747	1.3599625	1.130987	0.4390969	2.9786108	2.8491384	2.5969246	2.2565128	2.3071025	2.0856869	1.7754406	2.587611	2.1323091	1.9172758	1.2598217	0.9316793	0.6175226	0.4294409	2.6774541	2.2799642	1.7592997	1.5128629	0.6457908	1.9587688	1.4689649	0.0352695	1.6115156	1.0807075	0.6696706	0.9726962	0.8057009	0.6920067	0.1771419	0.0092276	0.4571996	0.0108025	0.0057687
run7	5.5569885	5.4992054	5.1661997	4.4551332	4.4077347	3.8100432	3.6725541	5.3895671	5.0247331	4.5721205	2.2085137	4.820824	3.3663075	4.4018388	3.9859036	2.681866	3.9645225	2.2625891	2.3549509	1.727031	4.2704746	3.1382935	2.3646424	2.060081	2.8795947	2.7667493	2.6204682	2.7179352	2.5096437	1.5338216	2.0178427	1.0859371	0.890763	0.2327687	0.4349423	2.606568	2.3060082	1.9330559	1.407175	0.5043013	1.6524739	1.2495742	1.0050235	2.4199165	2.1757688	1.43736	1.0277096	0.8112912	0.3182707	0.5697546	2.3081029	2.0392522	1.8137279	1.8511443	1.5816925	1.3680978	1.1649572	0.0142516	2.0324756	1.3085681	0.7395316	0.0629755	0.0543655	0.0406061	1.7652303	1.2654432	0.7442043	0.0227776	0.3649957	0.029268	4.1300965	3.9114999	3.1860779	2.3801066	4.0283629	3.7473289	2.4520548	1.5625096	0.8133176	2.009061	0.3911622	1.5353525	1.2500061	0.8365532	0.5999181	1.0791277	0.9281042	0.7068363	2.9607264	2.2380556	2.0238816	1.3900769	1.1377492	1.8392996	1.2815761	1.0932882	0.1959523	1.0962164	0.488447	0.8924866	0.5078098	0.5229224	0.3630243	0.014771	1.5653405	1.3223899	0.0358634	1.0919824	0.0109944	0.9370544	0.4663139	0.8499489	0.7407322	0.5551282	3.8349087	3.6372479	3.4024396	2.552182	1.9983793	1.6603368	0.7201952	3.4536282	3.1522692	2.8781155	2.5569765	2.8727123	2.2247797	2.7190969	1.9265718	3.5204669	3.3408306	2.3354013	1.6400166	0.2797864	1.7388709	1.1578244	1.5605584	0.806452	2.85012	1.8488516	2.4407681	1.4831201	2.1927244	1.7679665	1.2684434	0.79062	1.4416079	1.0017374	1.297648	0.5561467	1.1376635	0.496222	1.0288625	0.4115599	3.3116403	2.5199184	2.0277335	2.3818088	2.122607	1.8298082	1.6058361	0.7745151	2.1471485	1.8718972	1.2804377	0.5100255	0.4171359	1.7415692	1.4521112	0.9047604	0.7811852	0.64474	0.1590795	3.0810823	2.772908	1.7744883	2.3486449	1.3287587	0.0741877	1.9972027	1.730916	1.3630493	1.1330791	0.4361332	2.9747426	2.8489837	2.5921511	2.2589745	2.3113915	2.0902033	1.7801257	2.5874797	2.1330856	1.91957	1.2597182	0.9314842	0.619715	0.4294101	2.6768199	2.2796978	1.7514948	1.5150876	0.6512477	1.9554989	1.470323	0.0350132	1.6157312	1.0854497	0.6724336	0.9777032	0.8124954	0.6971182	0.179009	0.0094462	0.4591909	0.0109086	0.0058301
run8	5.5614108	5.502	5.1682044	4.4638491	4.4111453	3.8099707	3.67584	5.3898912	5.0274912	4.5664311	2.2026593	4.8223994	3.3650783	4.4026302	3.9959753	2.679164	3.9661223	2.261885	2.3593143	1.7301869	4.2708628	3.1276918	2.3560995	2.055106	2.8662496	2.7575822	2.6178072	2.7097153	2.5034483	1.5321551	2.0122457	1.0848952	0.8934124	0.2355648	0.4343154	2.5993452	2.3056623	1.9259444	1.4058878	0.5097896	1.6561099	1.2490515	1.0041459	2.4134035	2.1651735	1.4345664	1.0276212	0.8115577	0.3185524	0.570311	2.2968433	2.0398766	1.8145396	1.8496259	1.5811545	1.366137	1.163817	0.0141504	2.0264972	1.307323	0.7412427	0.062876	0.0540103	0.0399156	1.7610175	1.2617965	0.74437	0.0224669	0.3647927	0.0292598	4.1275995	3.9170526	3.1925568	2.3888209	4.0253586	3.7436683	2.4511185	1.5608599	0.8118179	2.0108943	0.3901315	1.5322406	1.2476892	0.8315331	0.6010009	1.0764321	0.9222767	0.7051062	2.9562502	2.2264389	2.0196607	1.3881425	1.1336436	1.8377157	1.2769929	1.0899228	0.1949137	1.092813	0.4883903	0.8897573	0.5064874	0.5179938	0.3582321	0.0146565	1.5608281	1.3195385	0.0360308	1.0870762	0.0108815	0.9348398	0.4623406	0.8460161	0.7377359	0.5551402	3.8321913	3.6357586	3.4060461	2.5481696	2.0027724	1.6519141	0.7271022	3.4491553	3.1528858	2.8768363	2.5587956	2.8716544	2.2338963	2.7148166	1.9197453	3.5137974	3.3358089	2.3375217	1.6394872	0.2760684	1.7387569	1.1577208	1.5570496	0.8059002	2.8426222	1.8569075	2.4332166	1.4857662	2.191012	1.7665512	1.2690728	0.7922051	1.4408021	0.9988667	1.297927	0.5558941	1.1384417	0.4977225	1.0302397	0.4130035	3.3087577	2.5227674	2.025992	2.378457	2.1213541	1.822721	1.5954474	0.7774537	2.1416625	1.8683237	1.2727734	0.5100199	0.4148557	1.7416295	1.4525951	0.9011493	0.7773169	0.6435917	0.1602884	3.0799276	2.7725679	1.7756942	2.3500459	1.3192208	0.0725718	1.9994883	1.7298264	1.3611746	1.133518	0.4401072	2.976811	2.849077	2.6005909	2.2599478	2.3134548	2.0939865	1.7804098	2.5869344	2.1368616	1.9252969	1.262007	0.9335539	0.6181136	0.4326975	2.6770544	2.2818075	1.7617408	1.5099554	0.6445305	1.9614719	1.4695717	0.0344829	1.6128317	1.081066	0.6693859	0.9734381	0.8096285	0.6930738	0.1766537	0.0092111	0.4574798	0.0110683	0.0058344
run9	5.5615085	5.5038538	5.1704085	4.4545162	4.4119465	3.8141993	3.6747864	5.3895802	5.0312887	4.5679978	2.2069031	4.825098	3.3642289	4.4042766	3.9928493	2.6736265	3.9627331	2.2748923	2.3532068	1.7198041	4.2702655	3.1371112	2.3593285	2.0583621	2.8768286	2.7672109	2.6217472	2.7186894	2.5133934	1.5277658	2.0171724	1.0870207	0.8908923	0.2349623	0.436918	2.6066592	2.3090503	1.9222296	1.4092906	0.5070229	1.6544887	1.2474457	1.0024553	2.4186888	2.1700521	1.4365378	1.0276003	0.8120752	0.3188251	0.5692161	2.3056862	2.0425305	1.8140712	1.8511177	1.5803551	1.3667427	1.1645419	0.0144394	2.0340881	1.3105111	0.7418372	0.0630226	0.0536659	0.0391107	1.7666586	1.2712728	0.7452531	0.0226694	0.3644328	0.029402	4.130312	3.9256671	3.1938199	2.3782085	4.027273	3.7468471	2.448107	1.5585436	0.8131991	2.0110498	0.3850092	1.5329413	1.2560465	0.8302834	0.6013256	1.0831172	0.9268742	0.7041661	2.9645586	2.229919	2.0261787	1.3943	1.1365315	1.8433746	1.2794983	1.0965094	0.1951346	1.0943503	0.4894452	0.8910015	0.5101899	0.5207284	0.3606121	0.014581	1.5701685	1.3238985	0.0365482	1.0906011	0.010999	0.9373913	0.4658546	0.8493415	0.7438241	0.5570117	3.8325751	3.6372203	3.4015428	2.5504931	1.9982481	1.6561744	0.7221679	3.4513081	3.1504005	2.8736978	2.5626368	2.8710141	2.2292312	2.7141624	1.9309645	3.5123877	3.3346034	2.342731	1.6458716	0.2777638	1.7396161	1.1555209	1.561076	0.8106708	2.8414145	1.8402731	2.4319109	1.4756136	2.1868418	1.7625415	1.2691835	0.7912295	1.437345	0.9970437	1.2947882	0.5581401	1.1363676	0.4982708	1.0253311	0.4124408	3.3062497	2.5198399	2.0269911	2.3800499	2.1219688	1.8299992	1.6008515	0.7789732	2.1462718	1.8739617	1.2768786	0.5107044	0.4133792	1.740677	1.4528799	0.9032218	0.7795797	0.6455293	0.1586781	3.0767367	2.77456	1.7709315	2.3484024	1.3226241	0.073246	1.9974947	1.7295588	1.3603832	1.1283542	0.4356277	2.9727235	2.845035	2.5951838	2.252765	2.3072231	2.0868421	1.7782828	2.5895375	2.1314858	1.9165621	1.2589925	0.9297619	0.621317	0.4319628	2.6745256	2.2789292	1.7493801	1.5109605	0.6515857	1.9543639	1.4664086	0.0347905	1.6110143	1.0846227	0.6723039	0.9753089	0.8113341	0.6962532	0.1774696	0.0092465	0.4582338	0.0109562	0.0058321
run10	5.5619649	5.505391	5.1741836	4.4513553	4.4048863	3.8101823	3.6654492	5.3900207	5.0259337	4.5644796	2.1980934	4.8202775	3.3578594	4.4041458	3.9986465	2.6853269	3.9636345	2.288707	2.3605388	1.7184733	4.2732203	3.1396399	2.3557252	2.0620591	2.883417	2.7692517	2.6201084	2.72339	2.5122235	1.5304784	2.0175421	1.08431	0.8905723	0.2332915	0.4338165	2.6105399	2.311285	1.9274452	1.4104802	0.5085917	1.6602576	1.2537157	1.0053733	2.4193372	2.1682794	1.4360904	1.0249858	0.8089135	0.3183747	0.566828	2.3042702	2.0412481	1.8130337	1.8521433	1.5825035	1.3658174	1.1665836	0.0144988	2.03071	1.3077854	0.7421156	0.0623484	0.0530574	0.0391541	1.766176	1.2622439	0.7478412	0.02254	0.3677956	0.0296607	4.133588	3.9224047	3.1875979	2.3807524	4.0305075	3.7483808	2.4511103	1.5561666	0.8099707	2.0062845	0.3838003	1.5246794	1.2440358	0.8311675	0.5954803	1.0741128	0.9211481	0.7009253	2.9650869	2.2323347	2.0250348	1.3938304	1.1386605	1.8402805	1.284352	1.096138	0.1957421	1.0979206	0.4872296	0.8943546	0.5075816	0.5201975	0.3593313	0.0146922	1.5675337	1.3267159	0.0365049	1.0929216	0.0109745	0.9401098	0.4653929	0.8521972	0.7416898	0.5566458	3.8377029	3.6412846	3.4066675	2.5530644	2.0016599	1.6543518	0.7239781	3.4551183	3.1591503	2.8800806	2.5608974	2.8748165	2.2302601	2.7168942	1.9247368	3.5223217	3.3418161	2.3375068	1.6422435	0.2782143	1.7352393	1.1552191	1.5600471	0.8067722	2.8421528	1.8479402	2.43538	1.48345	2.1880296	1.7666355	1.2686821	0.7904038	1.4448194	1.0022436	1.2973763	0.5557876	1.1384089	0.4969248	1.0262598	0.4128763	3.313598	2.5184694	2.0257225	2.3757326	2.1187573	1.8220968	1.5945511	0.7715256	2.142296	1.8720518	1.276671	0.5115932	0.4171103	1.7351735	1.4495571	0.9022506	0.7791779	0.6452284	0.1589821	3.0850169	2.7756798	1.7756686	2.3467641	1.3233173	0.0734747	1.9977137	1.7278171	1.3606199	1.1370358	0.4398804	2.9791185	2.8528454	2.600237	2.262383	2.3162051	2.0924963	1.7811522	2.5973024	2.1367332	1.9214219	1.2647556	0.9323438	0.6185222	0.4320361	2.6818463	2.2799154	1.7548913	1.5127087	0.6481906	1.9604877	1.4751861	0.0351028	1.6161624	1.0872343	0.6726488	0.9778558	0.8106861	0.6979362	0.1787618	0.0093674	0.4596463	0.0110849	0.0058291
