t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.1579574	4.6136763	3.7259908	2.3532817	2.6003733	1.8508554	1.7750243	5.1027527	4.2915675	3.2411577	1.0313553	4.0500194	1.1364592	3.5658205	2.8651519	1.4442812	3.042105	1.3029301	1.5859857	0.9372199	4.0285675	2.8923889	1.5331743	1.1425282	2.6724788	2.5852098	2.4636771	2.1059486	0.751664	2.3454351	1.876417	1.2760251	1.0182854	0.2468007	0.4739914	2.2479539	1.5384186	1.0334805	0.3219605	0.090279	0.9556374	0.669662	0.4417769	2.0548866	1.9195774	1.6753785	1.2811562	1.453757	1.163673	0.9193969	0.6537113	0.0114245	1.6805087	0.8291646	0.6326452	0.4175473	0.2749244	0.0871596	1.3437764	0.4526691	0.183643	0.017487	0.0144312	0.0113826	1.0292267	0.2366555	0.2111029	0.0023981	0.0935864	0.0048846	3.8801727	2.0301347	0.9061194	3.7631657	3.3142595	2.4231278	1.6082836	0.4964543	0.1757184	1.3482647	0.080502	1.1088786	0.8896205	0.427962	0.2598454	0.7514109	0.6126662	0.4108767	2.4028669	1.388613	1.5864732	0.8496887	0.5759287	1.3821556	0.9072036	0.6770861	0.0707046	0.7438647	0.1784207	0.5817874	0.2336242	0.3255193	0.1903672	0.0043664	1.1470366	0.9341817	0.0059772	0.768288	0.035587	0.6622559	0.2587753	0.5733079	0.4650921	0.291552	3.5406113	2.8458396	1.9407574	1.4718274	1.1252227	0.475159	2.5405268	2.0732547	1.7565227	1.3499524	2.29321	1.8392152	0.9962815	1.6759128	0.8819395	3.2874779	3.1290943	2.1622217	1.1095958	0.1422885	1.5747039	0.8373144	1.2953532	0.5359392	2.7614804	1.2673573	2.4258194	1.1199753	2.1771814	1.8336285	1.1447441	0.5531401	1.4997308	0.7009269	1.3270447	0.363607	1.1089005	0.3683147	0.9155518	0.3123584	2.9492189	1.5381569	0.8428469	1.4185651	1.0560386	0.779234	0.5967837	0.1607197	1.2302102	0.9794239	0.4242755	0.2174653	0.1511179	0.9839652	0.8046224	0.4316433	0.335691	0.253332	0.0595041	2.685505	2.3931145	0.9367687	2.0136775	0.7076182	0.0193083	1.7034765	1.4468898	1.1043975	0.8590796	0.342458	2.5363317	2.3729908	1.9689259	1.4646147	1.5810007	1.3250645	0.9304737	2.0591645	1.5550599	1.2897026	0.6691408	0.3825369	0.1678254	0.1609059	2.1439257	1.7020017	1.0127194	0.8668577	0.2505354	1.2623314	0.6934895	0.0042521	0.93254	0.5936334	0.2574627	0.5126212	0.4040909	0.3218058	0.0335436	0.000122	0.1802279	0.0008526	0.0002655
run2	5.1589952	4.6093787	3.748954	2.3367783	2.6062455	1.8455378	1.7720416	5.1031301	4.2921353	3.2561437	1.0451576	4.045866	1.1424865	3.566129	2.8659562	1.4393622	3.0374959	1.2978893	1.5992062	0.9418491	4.0307163	2.8903246	1.5237642	1.1456464	2.6674994	2.5782365	2.4594889	2.089966	0.7473872	2.3405255	1.8778797	1.2758266	1.0208199	0.24788	0.4789292	2.245283	1.5329263	1.0282891	0.3215233	0.0909019	0.9471402	0.6666078	0.4386597	2.0583363	1.9294873	1.6832736	1.288744	1.455673	1.1667978	0.9248915	0.6553264	0.0112842	1.6745427	0.8285228	0.6343346	0.4179005	0.2716847	0.0870137	1.336172	0.4552023	0.1829167	0.0175954	0.0146391	0.0113508	1.024074	0.2368534	0.2120081	0.0024258	0.0934404	0.004944	3.8799594	2.012682	0.9056077	3.7635936	3.3132733	2.4167177	1.6032833	0.492911	0.1767899	1.3433201	0.0791123	1.1062935	0.8872783	0.430924	0.2598318	0.7528368	0.6111235	0.4102921	2.4043811	1.3727891	1.5775444	0.8496156	0.5758491	1.3815884	0.9088536	0.6775954	0.0712705	0.7439532	0.1800215	0.586407	0.2357766	0.3275971	0.1924999	0.0043231	1.1467105	0.935111	0.0060395	0.7716927	0.0358583	0.6642989	0.257622	0.5756634	0.4676592	0.2912715	3.5393083	2.8442683	1.9447158	1.4648998	1.1249323	0.4787117	2.5360774	2.0662216	1.7381065	1.3441869	2.2858902	1.8472271	0.9901308	1.6792417	0.8916313	3.2893842	3.1292541	2.1585651	1.1257164	0.1431181	1.5718555	0.8422095	1.2943322	0.5332817	2.7615074	1.2541833	2.4245226	1.1178869	2.1774111	1.8321397	1.1395994	0.5499888	1.505663	0.7027999	1.3311109	0.3616379	1.1126474	0.367215	0.9166424	0.3100762	2.9529136	1.5362528	0.8369478	1.4153665	1.0627336	0.7796676	0.5957406	0.1615818	1.2301793	0.975797	0.4192744	0.2184309	0.1511421	0.9864076	0.8022722	0.4313615	0.3329374	0.2500121	0.0598125	2.6880496	2.3923406	0.9357647	2.0081123	0.7032444	0.0193293	1.69549	1.4416411	1.0982614	0.8563454	0.3411659	2.5410915	2.3756197	1.9692914	1.4528237	1.57258	1.3270359	0.9275374	2.0637294	1.5608438	1.2861767	0.666278	0.3802216	0.1673121	0.1604714	2.1397217	1.6979856	1.013976	0.8637581	0.2499404	1.2645013	0.693238	0.0042251	0.9356298	0.5924655	0.2610807	0.5132774	0.4035933	0.3209736	0.0330351	0.0001186	0.178671	0.0008762	0.0002776
run3	5.1588046	4.6108205	3.7299884	2.3484045	2.6077766	1.8506191	1.7861549	5.1034585	4.2957616	3.2394158	1.0363892	4.0472819	1.1359565	3.5759941	2.8676344	1.4440901	3.0401394	1.2992148	1.5857133	0.9363518	4.0317303	2.8966802	1.5268712	1.1551106	2.672338	2.5855996	2.4626433	2.0975632	0.7574443	2.3462223	1.8861718	1.2778747	1.0165003	0.2449002	0.4778633	2.2525568	1.5386667	1.028663	0.3229048	0.0907725	0.9574677	0.6709181	0.4379362	2.0614911	1.9264608	1.6789882	1.2869338	1.4510847	1.1700514	0.922903	0.6563253	0.0111705	1.6762077	0.8322424	0.6348939	0.4171254	0.2730407	0.0876443	1.3394155	0.4544657	0.1809033	0.0175361	0.0146157	0.0114142	1.0260752	0.2361388	0.2108262	0.0023682	0.09384	0.0048612	3.8851474	2.0107359	0.9126867	3.7674629	3.3135829	2.4138338	1.6112109	0.4934855	0.1769167	1.3493328	0.0794648	1.1082306	0.8929666	0.4320872	0.2591292	0.7532941	0.6115866	0.4144206	2.4108936	1.3902298	1.5802528	0.8457766	0.5757087	1.3827837	0.9063035	0.6772013	0.0715331	0.7436733	0.1800043	0.5832243	0.2369544	0.3280013	0.1923009	0.0043771	1.1509632	0.9332865	0.0060065	0.7694546	0.0357218	0.6649065	0.2611499	0.575434	0.4665495	0.2891357	3.543061	2.8387733	1.941078	1.4635391	1.1284023	0.4796538	2.5323207	2.0672755	1.7552537	1.3547175	2.2846968	1.8384238	0.9886765	1.6711635	0.8843588	3.2953446	3.1410555	2.1620711	1.1199758	0.1433471	1.576145	0.841266	1.298985	0.5319761	2.7610411	1.2603592	2.4284613	1.1249671	2.1804716	1.8324331	1.1413291	0.550637	1.5022698	0.7050576	1.3271976	0.3613065	1.1128114	0.3693956	0.919927	0.3088018	2.9468792	1.5335738	0.8367094	1.4116192	1.0600651	0.7789938	0.5969428	0.1598466	1.2220294	0.9717903	0.4197231	0.2161691	0.150374	0.9794184	0.7997185	0.4278585	0.336782	0.2519273	0.0596551	2.6866578	2.3934002	0.932425	2.0155521	0.7116541	0.0191036	1.7025336	1.4461861	1.1084838	0.8582947	0.3419324	2.5424527	2.3770866	1.9726224	1.4600726	1.5761564	1.3143681	0.9241728	2.0653894	1.5587558	1.2935736	0.6675436	0.3837909	0.1678985	0.1618732	2.1429143	1.7069451	1.0219343	0.8656134	0.2483239	1.2659318	0.697949	0.0043122	0.9346433	0.5959144	0.2601784	0.5150361	0.4044542	0.3211548	0.0326903	0.0001181	0.179026	0.0008483	0.0002589
run4	5.1583339	4.6147355	3.7226628	2.3492613	2.6010703	1.8542568	1.7762783	5.1028828	4.2915605	3.2517966	1.0449198	4.045096	1.1387578	3.5716902	2.8642695	1.4370308	3.0491488	1.3025562	1.5875638	0.9283609	4.0357659	2.8892387	1.5302605	1.1490084	2.6705741	2.5817203	2.4643906	2.0979402	0.7522272	2.3477844	1.8739425	1.2785048	1.0215164	0.2483432	0.4774454	2.2532983	1.5380112	1.0259835	0.3243573	0.0909873	0.953162	0.669355	0.4396619	2.062507	1.929771	1.681012	1.2869083	1.4506402	1.1630426	0.9243811	0.6586327	0.0111762	1.6804235	0.8318636	0.6346739	0.4174572	0.272658	0.0868111	1.3469322	0.4543284	0.1823256	0.0174573	0.0145214	0.0114975	1.0308587	0.2341235	0.2090863	0.0023449	0.0939124	0.0048763	3.8869069	2.0157663	0.9064548	3.7672199	3.3092739	2.4156201	1.6091289	0.4915119	0.1765072	1.3497817	0.0787864	1.1088694	0.8884763	0.4289612	0.2607161	0.7536388	0.608812	0.4097567	2.4078395	1.3909931	1.5844042	0.8483183	0.5813882	1.3845532	0.9042591	0.6707931	0.0712967	0.741494	0.1796782	0.5819005	0.2340314	0.3282023	0.1919579	0.0043758	1.1522456	0.9325623	0.0059096	0.7680045	0.0357145	0.6619456	0.2569945	0.5750945	0.4646051	0.2915947	3.5447798	2.8553004	1.9439452	1.4664166	1.1239054	0.4772716	2.5312183	2.067253	1.7405056	1.3291334	2.2832498	1.8429215	0.9890809	1.6794159	0.8866393	3.2948755	3.1343136	2.1628018	1.1229736	0.1429698	1.5707653	0.8357169	1.2892178	0.5349143	2.768372	1.2676606	2.4329497	1.1217248	2.180598	1.834473	1.1357618	0.5519464	1.5030495	0.7028748	1.3280856	0.3604706	1.1127516	0.3666314	0.9247747	0.3060245	2.9462645	1.536133	0.8370531	1.4155555	1.0573947	0.7798327	0.5950245	0.1611429	1.2275137	0.9709279	0.4235635	0.2164749	0.1501881	0.9813558	0.8030833	0.4309149	0.3332451	0.2499207	0.0595135	2.6941281	2.3964188	0.933655	2.018194	0.7077185	0.0189459	1.7009634	1.4424005	1.1008177	0.8614944	0.3406243	2.5437484	2.3813218	1.9790818	1.4531147	1.5806625	1.3184637	0.9245412	2.0657794	1.562922	1.3007077	0.6709794	0.3838761	0.1674401	0.1613868	2.1544371	1.7092228	1.0243053	0.8656614	0.2477109	1.2677486	0.6968518	0.0042423	0.9364965	0.5934429	0.2600499	0.515039	0.400383	0.3201206	0.0334423	0.0001259	0.1783775	0.000877600000000001	0.0002675
run5	5.1589552	4.6067388	3.7090046	2.3505973	2.6025049	1.8544786	1.7760762	5.1031133	4.2909336	3.2450078	1.042483	4.0575502	1.1355575	3.5729352	2.8578579	1.4271497	3.0381474	1.2979487	1.5837487	0.933741000000001	4.0346042	2.8927467	1.5348874	1.1493587	2.6777744	2.5839885	2.4648534	2.1078413	0.7593314	2.3458593	1.8810616	1.2786363	1.0180845	0.2464017	0.4776157	2.254023	1.5319198	1.0276264	0.3224872	0.0919943	0.9483893	0.6658072	0.4353128	2.0575633	1.9275998	1.6813308	1.29065	1.4509885	1.1637174	0.9228857	0.6559735	0.0111502	1.6721976	0.8285349	0.6326758	0.4181962	0.2753072	0.0875484	1.3501135	0.4551806	0.1825784	0.0175915	0.0145667	0.0114569	1.0247	0.2352477	0.211773	0.0023603	0.0936509	0.0048536	3.8872796	2.0266975	0.9007705	3.7676808	3.3129417	2.4258324	1.6119219	0.4982434	0.1771455	1.3460405	0.0796439	1.1093801	0.8932605	0.4334099	0.2574016	0.7523593	0.6104466	0.4110118	2.411252	1.3868837	1.5806693	0.8510191	0.5749992	1.3822579	0.9040521	0.6749584	0.0705776	0.7426868	0.1807918	0.5852884	0.2374202	0.328063	0.1911476	0.0042806	1.1463875	0.9347611	0.0059256	0.7716438	0.0355501	0.6660028	0.2608731	0.5756222	0.4668064	0.2903154	3.5481513	2.8560378	1.9404466	1.4680822	1.1289114	0.477007	2.537055	2.0724453	1.742493	1.3329055	2.2829025	1.8417025	0.9960144	1.6788896	0.8864111	3.2980875	3.1278771	2.1631851	1.1201646	0.142845	1.5768588	0.8386307	1.2929219	0.5356866	2.7636034	1.269171	2.4251248	1.1262113	2.1768737	1.8308909	1.1455319	0.5548351	1.4985814	0.7024492	1.3257403	0.363907	1.1126009	0.3671879	0.9215034	0.3102908	2.9491869	1.5359644	0.8411219	1.4172401	1.0644117	0.7796386	0.6002394	0.1615769	1.225579	0.9722821	0.4198641	0.2170354	0.1519511	0.9802823	0.8030896	0.4335962	0.3353057	0.2522675	0.0601694	2.6841061	2.3891523	0.9374533	2.0142577	0.7127103	0.019215	1.701169	1.4442213	1.0989589	0.856372	0.3428704	2.5380401	2.3744676	1.9743397	1.4617007	1.5807194	1.324681	0.9261023	2.0587682	1.5561603	1.2918099	0.6697902	0.3830693	0.1672486	0.162235	2.149279	1.7003	1.0192182	0.8576514	0.2494603	1.2698124	0.6980384	0.004225	0.9366904	0.5949588	0.2567239	0.5147785	0.4043894	0.3212995	0.0331804	0.000124	0.1786727	0.0008919	0.0002751
run6	5.1583026	4.6126705	3.7297236	2.348138	2.6018658	1.8450206	1.7827108	5.1037452	4.3036475	3.2546134	1.0402405	4.0529788	1.1445144	3.5832596	2.88048	1.4345578	3.0431326	1.2882894	1.5861028	0.937184	4.0369745	2.891237	1.5262574	1.1494344	2.6758807	2.5829654	2.4644873	2.1023666	0.7536717	2.3432612	1.8785022	1.2712458	1.0186794	0.2482574	0.4750199	2.2465393	1.5342456	1.0285369	0.3232013	0.0909189	0.9488365	0.6720917	0.4406974	2.0614997	1.932627	1.6806334	1.2895246	1.4540558	1.1643548	0.9215822	0.6539609	0.0111616	1.6806575	0.8288366	0.6372105	0.417021	0.2738545	0.0877287	1.3454779	0.4536273	0.1834044	0.0175257	0.014548	0.0113945	1.0294422	0.2364278	0.2118697	0.002363	0.0938489	0.0049675	3.8874483	2.0083638	0.9048338	3.770418	3.3174586	2.4164986	1.6099084	0.4933972	0.1767483	1.3480485	0.0787868	1.1070723	0.8889972	0.4309386	0.2590441	0.7522003	0.6096117	0.4092638	2.4010774	1.3902426	1.5791233	0.8477938	0.575301	1.3839283	0.9056753	0.6752282	0.0710522	0.7406125	0.1806318	0.5815539	0.2369529	0.3265507	0.1918514	0.0042956	1.1475071	0.9341594	0.0060048	0.7708205	0.035174	0.6647776	0.260977	0.5746985	0.4663702	0.2910511	3.5468439	2.8520863	1.9394756	1.4576372	1.1197809	0.4733683	2.5416568	2.0672668	1.7397839	1.3428765	2.2963061	1.8416737	0.9852903	1.6795737	0.8809702	3.3005423	3.1376129	2.1550421	1.1190814	0.1433152	1.5704397	0.8336287	1.2870225	0.5389414	2.7619871	1.2581181	2.4264328	1.1177445	2.1796949	1.8304434	1.1378902	0.5519746	1.4992424	0.7048699	1.3300671	0.3628959	1.1117527	0.3690518	0.9233683	0.3103779	2.949128	1.5361631	0.8452113	1.4159999	1.0583741	0.7801817	0.5954213	0.1603358	1.222346	0.9702055	0.4233391	0.2170438	0.1519178	0.9823842	0.8007921	0.4309878	0.3330618	0.2501953	0.0593035	2.6901811	2.3922172	0.933024	2.0121775	0.714472	0.0191073	1.7011515	1.4433491	1.1050578	0.8574211	0.3417416	2.54248	2.3869205	1.9736458	1.4558382	1.581542	1.3209483	0.923987	2.0648897	1.5560722	1.2944367	0.670189	0.3808417	0.1672414	0.1627425	2.1442439	1.7030138	1.0212949	0.8666404	0.2511517	1.2660733	0.702086	0.0042252	0.939841	0.594953	0.2579434	0.5143002	0.4040861	0.3228535	0.0329272	0.0001285	0.1787693	0.0008891	0.0002619
run7	5.1581421	4.6077278	3.7358979	2.3454747	2.6011641	1.8540958	1.7827506	5.1026781	4.2974989	3.2295432	1.0416677	4.05815	1.149205	3.5668046	2.8659311	1.4277758	3.0516793	1.2945926	1.5910513	0.9432419	4.031241	2.8955515	1.5307982	1.1489225	2.6734166	2.5823358	2.4611456	2.1079175	0.7507873	2.3429181	1.8744263	1.2725679	1.0137293	0.2476846	0.475908	2.2508161	1.5376406	1.0280991	0.3222985	0.0908009	0.9523316	0.669775	0.4378455	2.0597767	1.929901	1.6845297	1.2920595	1.4524989	1.163617	0.9170888	0.6544845	0.0111275	1.6785421	0.8288448	0.6346452	0.4158773	0.2722859	0.0857427	1.3464744	0.4541948	0.1840378	0.0174678	0.0145032	0.0113889	1.0261845	0.2354178	0.2115892	0.0024319	0.0933372000000001	0.0049312	3.8816304	2.0149637	0.9088911	3.762513	3.3238637	2.4180049	1.6110643	0.4906421	0.1759213	1.3481187	0.0789656	1.1091291	0.889641	0.429046	0.2558548	0.7529855	0.6104614	0.4100465	2.4092705	1.3905163	1.5806673	0.8512892	0.5788415	1.3814468	0.901229	0.6719795	0.0706232	0.7405113	0.1806755	0.5816992	0.2353136	0.3256736	0.1892155	0.0043113	1.1458043	0.9300119	0.0061074	0.7700358	0.0352116	0.6638104	0.2586433	0.5732173	0.4660495	0.2892259	3.5480353	2.8478153	1.9396906	1.4727323	1.1233097	0.4735742	2.5413514	2.0646111	1.741609	1.3460895	2.2903143	1.8488231	0.9944593	1.6818289	0.887056	3.2982172	3.1371212	2.1638669	1.1279721	0.1420525	1.5779257	0.8381825	1.2947288	0.5337366	2.7689692	1.2580024	2.429464	1.1156725	2.1770641	1.8324046	1.136725	0.5464541	1.4984218	0.701891	1.3255134	0.3609898	1.1100282	0.3677251	0.9230235	0.3069311	2.9506757	1.530143	0.8402955	1.4164991	1.0572714	0.7785169	0.5951252	0.1619976	1.2255243	0.9707815	0.4195682	0.2172696	0.1511436	0.9816966	0.8041983	0.4303143	0.335808	0.251809	0.0597836	2.687176	2.3939399	0.9309374	2.0095297	0.7118892	0.0193083	1.6965359	1.4460312	1.1035722	0.8593131	0.3408745	2.5435723	2.3786097	1.9782014	1.46555	1.5832048	1.3301242	0.9346164	2.0659987	1.5544684	1.2909261	0.6685034	0.3815414	0.1684867	0.1609107	2.1512275	1.6999761	1.0168861	0.8639649	0.2477743	1.2671702	0.6955464	0.0043038	0.9331322	0.595318	0.2582491	0.516296	0.4039833	0.3205648	0.0331835	0.000115	0.1769596	0.000857600000000001	0.0002649
run8	5.157722	4.629002	3.7389343	2.3551335	2.6044696	1.8449297	1.774909	5.1032858	4.295035	3.2272613	1.043818	4.052908	1.1244794	3.5651144	2.8734452	1.4366189	3.0466226	1.2937565	1.5870822	0.931882	4.0327535	2.893596	1.5294158	1.1430789	2.6725844	2.5811624	2.4636509	2.0994675	0.7572868	2.3413533	1.8797406	1.2783135	1.0183984	0.2509477	0.4798726	2.2534148	1.5361391	1.0291745	0.3236516	0.0918239	0.9504999	0.6672031	0.4367693	2.0620041	1.9305394	1.68015	1.2885332	1.4507735	1.164121	0.9216307	0.6544981	0.0112745	1.6831944	0.8283295	0.6340493	0.4170334	0.2723712	0.0870213	1.3467289	0.4534693	0.1823929	0.0177934	0.0145592	0.0114899	1.0263527	0.2362336	0.2108551	0.0024123	0.0941868	0.0049124	3.8780657	2.012932	0.9094184	3.7654489	3.3183003	2.4221131	1.6106016	0.4938391	0.176596	1.3504419	0.079414	1.1112388	0.8917941	0.4323115	0.2612567	0.7539076	0.6111592	0.4132556	2.4112209	1.3883279	1.5846667	0.848206	0.5759277	1.3844034	0.9063622	0.6753422	0.0711487	0.7438528	0.1806395	0.5862712	0.2358831	0.3261314	0.191535	0.0043608	1.1465827	0.9308108	0.0060891	0.7716211	0.0353705	0.6656397	0.258832	0.5752666	0.4642442	0.2914278	3.5460192	2.8421255	1.9336667	1.460951	1.120448	0.4747904	2.5330107	2.0672706	1.7430678	1.3479396	2.2894727	1.8501467	0.9930227	1.687357	0.883192	3.2957255	3.1376292	2.1713423	1.1201495	0.1423757	1.5798185	0.8373998	1.2961014	0.5302581	2.7661519	1.2712384	2.4278789	1.1291146	2.1782718	1.8332763	1.1398974	0.5535486	1.505446	0.7072098	1.3313852	0.3610947	1.1095851	0.3655261	0.9208452	0.3083807	2.9498772	1.5366975	0.8375186	1.4183492	1.0611248	0.781189	0.5923249	0.1609763	1.2263378	0.970448	0.4249071	0.2172786	0.1519933	0.9795147	0.802278	0.4319987	0.3334549	0.2500242	0.059802	2.6924285	2.3964375	0.9302101	2.0193446	0.7122939	0.0189788	1.7061914	1.4456339	1.1052007	0.8595992	0.3399587	2.546479	2.3818738	1.9729556	1.4654162	1.5811708	1.3241086	0.9284835	2.0627945	1.5636348	1.2979239	0.6731816	0.3814979	0.1674291	0.1617308	2.1525462	1.7024593	1.0108983	0.8656087	0.2483965	1.2647703	0.6957779	0.0043038	0.9346685	0.5940269	0.2591697	0.5120736	0.4046574	0.3205596	0.0328989	0.0001172	0.1785253	0.0008629	0.0002605
run9	5.157935	4.6201284	3.7227379	2.3661548	2.6104614	1.8393218	1.7889793	5.1029912	4.2941403	3.2389572	1.0383582	4.0632854	1.136464	3.5718587	2.8698771	1.4267197	3.0448062	1.2984204	1.5868955	0.9355592	4.0342481	2.8873027	1.5221005	1.1466171	2.6721815	2.5827585	2.4579545	2.1002951	0.755292	2.3389602	1.874367	1.2727886	1.014573	0.2498464	0.4789313	2.2438793	1.5376013	1.0343812	0.3231136	0.0905997	0.9476211	0.6700528	0.4383696	2.0535023	1.9259634	1.6824467	1.2881945	1.4556772	1.1655569	0.9270466	0.6584867	0.0112999	1.6765621	0.8247275	0.6273199	0.4155629	0.2737472	0.0875041	1.3437646	0.4539293	0.1833403	0.0176277	0.0145809	0.0114227	1.0255638	0.2348908	0.2111986	0.0024008	0.0933948	0.0048884	3.88502	2.0100667	0.9015373	3.7627999	3.3139312	2.4195425	1.6145485	0.493582	0.1750573	1.352086	0.0798364	1.1078258	0.8890021	0.4297542	0.25712	0.7531977	0.6110573	0.4122722	2.4041295	1.3842415	1.5836049	0.8472529	0.5763168	1.3843676	0.9062438	0.678491	0.0699802	0.7433797	0.1811114	0.5849342	0.2355497	0.3271725	0.1912396	0.0043597	1.1493298	0.9312874	0.0060582	0.7691172	0.0354446	0.6644	0.2569867	0.5750266	0.4643766	0.2910876	3.5483813	2.849944	1.9338543	1.458165	1.1177788	0.477224	2.5258496	2.0655134	1.7404817	1.3316085	2.282268	1.8482322	1.0005837	1.6840837	0.8804555	3.2956895	3.1315633	2.1573397	1.1218393	0.1427665	1.5784443	0.8395004	1.2942639	0.5383939	2.7677155	1.2611558	2.4340816	1.1241101	2.1818136	1.8316341	1.1397994	0.5508011	1.5015076	0.7034308	1.3274542	0.3615068	1.1142205	0.3657568	0.9272064	0.308953	2.9493172	1.5286092	0.8434682	1.410822	1.0590658	0.7799086	0.5965459	0.1599934	1.2244946	0.9686622	0.4214026	0.2162254	0.151418	0.9818022	0.8014046	0.430268	0.3344725	0.2516005	0.0597922	2.6866454	2.397246	0.9434604	2.0108859	0.7109441	0.0191284	1.7004476	1.4418766	1.1005667	0.8581233	0.3406891	2.5437201	2.3771193	1.9735828	1.4571732	1.5804223	1.3216038	0.921093	2.064103	1.5565732	1.2908772	0.6692174	0.383211	0.1670604	0.1628705	2.1450697	1.7046695	1.0172071	0.8649871	0.2476808	1.266405	0.6995427	0.0043151	0.93588	0.5923138	0.2576199	0.512204	0.4019156	0.3215715	0.0335053	0.0001174	0.1791771	0.0008902	0.0002611
run10	5.1584384	4.6124797	3.721929	2.348456	2.6057507	1.8652853	1.7800979	5.1028396	4.2919038	3.2328993	1.0414826	4.0410066	1.1387748	3.5612949	2.8605292	1.4311405	3.033567	1.3060574	1.5808122	0.9311707	4.0335534	2.8929707	1.5224648	1.1511431	2.6723376	2.5836911	2.4634306	2.1003145	0.7465363	2.3457945	1.8779039	1.2750562	1.0208285	0.2473946	0.4786783	2.2507638	1.5289016	1.0302102	0.3251671	0.0910494	0.9509042	0.6684509	0.438402	2.0590861	1.921846	1.6790467	1.2938092	1.4542378	1.1647843	0.9193269	0.6575922	0.0111764	1.6770721	0.8264544	0.6290096	0.4169516	0.2744253	0.086717	1.3442256	0.4538672	0.1819213	0.0176685	0.0146407	0.0115722	1.0266755	0.2355161	0.2119477	0.0023749	0.0938809	0.0049156	3.8855299	2.0062435	0.9013899	3.7650203	3.3176797	2.4180265	1.610357	0.4909338	0.1770187	1.345658	0.0795926	1.105395	0.8903903	0.4282797	0.2589839	0.7509876	0.6081499	0.4111731	2.4077078	1.3788295	1.5768897	0.8469976	0.5745889	1.3807155	0.9065097	0.6782965	0.0705524	0.743816	0.179545	0.5852608	0.234968	0.3258206	0.1909121	0.0043575	1.1483643	0.9366314	0.0060722	0.7729503	0.0353383	0.6668146	0.2594247	0.5760126	0.4661096	0.2908025	3.5471399	2.843633	1.9336058	1.4568937	1.1194062	0.4741894	2.5296103	2.0707143	1.7436456	1.348644	2.286473	1.843985	0.994019	1.684626	0.8808546	3.2935885	3.1370076	2.1647613	1.1200355	0.1422372	1.5736473	0.8431418	1.2888317	0.5350963	2.7631146	1.2618478	2.4265203	1.1243542	2.1801645	1.8315533	1.1426534	0.5522963	1.502585	0.7024342	1.3275716	0.363127	1.1133148	0.3650023	0.9232288	0.3070523	2.9510264	1.5321556	0.8388879	1.4145601	1.0591383	0.7833577	0.5985177	0.1603642	1.2250535	0.9659915	0.4240015	0.2181322	0.1516807	0.9783198	0.7990036	0.4324067	0.3324717	0.2501465	0.0599528	2.6908318	2.3918764	0.931642	2.008659	0.7048605	0.019075	1.6980898	1.4418676	1.1013803	0.8599308	0.3393487	2.5463627	2.381862	1.9711521	1.4669642	1.5747875	1.3202606	0.9279908	2.0676428	1.5587679	1.2926234	0.668785	0.3827841	0.1676858	0.1627168	2.1429214	1.700349	1.0154513	0.8647752	0.2485593	1.2674	0.7024806	0.0042644	0.9397106	0.5972184	0.2594809	0.5147963	0.4041594	0.3207173	0.0333043	0.000116	0.1797796	0.0008805	0.0002708
