t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.5710556	5.4853307	5.0717594	4.3081963	4.1702893	3.4683813	3.3621991	5.3893085	5.0915894	4.621217	2.5182195	4.9150615	3.0752507	4.5761749	4.1410643	2.8663895	4.1637917	2.6839857	2.7926755	2.0797723	4.7903132	3.7703276	3.0217411	2.5553895	3.4917133	3.3803745	3.2137913	2.9899398	1.8925167	3.0621729	2.6038225	1.957615	1.6574723	0.674239	1.0349724	2.9446025	2.3697034	1.991459	0.8536221	0.3090403	1.7010682	1.325686	1.0477394	2.7352562	2.5836724	2.3378055	2.0457957	2.104619	1.812823	1.5592757	1.3082227	0.0497913	2.353084	1.4413175	1.154031	0.8110448	0.5969955	0.2668371	2.0700301	1.0256635	0.5311602	0.0461745	0.0408051	0.0355328	1.8024757	0.5037045	0.4597858	0.0191484	0.2510789	0.0260307	4.6490003	3.5822291	2.4604959	4.5258168	4.2010364	3.5356123	2.4183129	1.2493732	0.5557555	2.0611198	0.2624301	1.7220921	1.4085413	0.9035758	0.6759189	1.2453721	1.0795357	0.8490716	3.3089924	2.5268997	2.2577214	1.6037022	1.300647	1.9859044	1.4035214	1.2378346	0.2281374	1.1903914	0.5454195	0.9813645	0.6034866	0.6453277	0.4618766	0.023667	1.7052486	1.4281299	0.0294599	1.2008983	0.1325648	1.0620634	0.6418069	0.961533	0.8390861	0.6464278	4.3109753	3.9418031	3.013748	2.4490794	2.0514504	1.1530461	3.5994684	3.1985111	2.9136864	2.5771528	3.3502851	2.8739896	2.2099233	2.7224299	1.9882966	4.0505236	3.8834288	3.0545618	2.2344345	0.4415322	2.4287897	1.7524718	2.1662899	1.2890497	3.5199446	2.5082605	3.1552046	2.186738	2.8820096	2.4975136	1.925653	1.2740354	2.1274082	1.522574	1.935521	0.9911363	1.7018378	0.9293154	1.5107912	0.7802298	3.7243671	2.2424296	1.7931056	2.0726206	1.773094	1.4749172	1.2745022	0.5188228	1.8139905	1.5739366	1.0595382	0.4898671	0.3968334	1.5375442	1.322948	0.9047877	0.6746412	0.5641872	0.1809583	3.4334813	3.1500752	2.1467926	2.764343	1.6894956	0.0735846	2.4469152	2.1715268	1.7841561	1.5010634	0.8120697	3.2771374	3.1116544	2.7809843	2.4212435	2.4567772	2.2179429	1.8647208	2.8350526	2.3635345	2.0900707	1.2634631	0.7807076	0.4502218	0.5188051	2.914284	2.5275807	1.9561834	1.741078	0.7313841	2.0326455	1.5239828	0.0256954	1.6026753	0.9703603	0.6418628	0.8685673	0.7158707	0.6118604	0.1233065	0.0061437	0.4296743	0.0136648	0.0057947
run2	5.5707146	5.485015	5.0807995	4.3294474	4.1662932	3.4735183	3.3605775	5.3892674	5.087152	4.627531	2.5337316	4.9129731	3.063882	4.5732553	4.1397854	2.8596349	4.1715143	2.6945254	2.7909687	2.0807901	4.7909843	3.7676952	3.0201362	2.5517441	3.4844386	3.3675283	3.2068826	2.9920179	1.9004139	3.054179	2.61184	1.9612064	1.6647564	0.6702455	1.0437186	2.9432148	2.3753411	2.0008694	0.8528578	0.3069379	1.7011571	1.3271122	1.0478147	2.7344168	2.5784936	2.3277056	2.0470737	2.1038799	1.8150724	1.5678413	1.3092949	0.0506228	2.3537356	1.4411695	1.1584764	0.8129281	0.602545	0.2643611	2.068153	1.018116	0.5304638	0.0460994	0.0405378	0.0354091	1.8084723	0.5029985	0.4572339	0.0190851	0.2521457	0.0256301	4.6458516	3.5876328	2.4597043	4.5226438	4.1919198	3.5275204	2.4232839	1.2540708	0.5572079	2.0601757	0.2610642	1.7289238	1.4105108	0.895719	0.6755901	1.2506081	1.0855338	0.8479729	3.307772	2.526269	2.2559277	1.6032577	1.3066697	1.9809628	1.4031158	1.2405971	0.2304261	1.1879409	0.547166	0.9817276	0.6022293	0.6410034	0.4613127	0.0232092	1.7076402	1.4281245	0.0294511	1.2006741	0.1321885	1.0616866	0.6370501	0.9611282	0.8385877	0.6456064	4.3056196	3.9396609	3.0068946	2.4451896	2.0461726	1.1498167	3.6036982	3.1981447	2.9027834	2.5717793	3.3546883	2.8703478	2.211422	2.7140437	1.9796291	4.0466567	3.8798987	3.0599968	2.2407629	0.4377552	2.4363615	1.7470592	2.1614626	1.2930351	3.5204207	2.498187	3.1585752	2.1871417	2.8814361	2.4977524	1.9253635	1.2705762	2.1285654	1.5328903	1.9374034	0.9752281	1.704642	0.9223719	1.5177516	0.7824339	3.7195344	2.2425408	1.7962466	2.0712755	1.7744189	1.4749961	1.2805967	0.5158412	1.816651	1.5852957	1.0474548	0.4889171	0.3967728	1.5354384	1.3227382	0.91444	0.6781353	0.5612935	0.1812816	3.4278518	3.1367592	2.1442863	2.7593547	1.6979834	0.0720934	2.436871	2.1652335	1.7880681	1.5049719	0.8125425	3.2689877	3.1084083	2.7848574	2.4183745	2.4568728	2.2231709	1.8760549	2.8339195	2.3659883	2.0895944	1.2679543	0.776979	0.4486544	0.5110235	2.9059793	2.5160861	1.9539908	1.7426886	0.7284164	2.0439731	1.52584	0.0257068	1.6029924	0.9752895	0.6505685	0.8706764	0.7203251	0.6130143	0.123275	0.0062238	0.4304777	0.0138362	0.0057806
run3	5.5695768	5.4850596	5.0758647	4.324317	4.1613094	3.4832501	3.3551839	5.3890668	5.0922013	4.6243932	2.5327901	4.9132067	3.0658218	4.5728782	4.1385586	2.8541754	4.1661466	2.6791301	2.7905964	2.0729861	4.7897483	3.7710613	3.0111877	2.5485828	3.494311	3.3774998	3.2111842	2.9830467	1.8984666	3.0582899	2.6169244	1.963763	1.6650432	0.671994	1.0346327	2.9431168	2.3719583	1.9927829	0.8476443	0.3067683	1.6998929	1.3225607	1.0537606	2.7355892	2.5857122	2.331338	2.0462974	2.1054677	1.8147646	1.5669635	1.316068	0.0506813	2.3580631	1.4332339	1.1550413	0.8043973	0.5992984	0.2680037	2.073594	1.0247006	0.5286152	0.0461583	0.0406683	0.0353988	1.8054071	0.5039528	0.4584057	0.018768	0.2510567	0.0255646	4.646218	3.5784173	2.4481523	4.5267794	4.2024503	3.5301531	2.4244642	1.256842	0.5528862	2.062129	0.2595916	1.7275437	1.4124586	0.900841	0.6775962	1.2455044	1.0748913	0.8459668	3.3082815	2.5318802	2.2589584	1.5974743	1.3018911	1.9796458	1.4040352	1.2391667	0.2288402	1.1870722	0.5473209	0.982931	0.6026003	0.6427544	0.461972	0.0237233	1.7084353	1.4305089	0.0293132	1.2042361	0.1331061	1.0639115	0.6407741	0.962528	0.8396695	0.6435274	4.3075943	3.9366876	3.0205794	2.4588852	2.0537738	1.154308	3.612098	3.2051831	2.9066269	2.5674209	3.3620636	2.8850911	2.2214415	2.7292904	1.9924228	4.046534	3.8803771	3.0585081	2.2492764	0.4426649	2.4281816	1.7466881	2.1584878	1.2871907	3.519862	2.5176225	3.159671	2.1806522	2.8839871	2.5003433	1.9234601	1.2793742	2.1290815	1.5339574	1.9392196	0.9826695	1.7033209	0.9303392	1.5172512	0.7783704	3.7259196	2.247727	1.7964673	2.0676565	1.7736386	1.4821789	1.2875686	0.5153328	1.8127923	1.5826673	1.060732	0.4904693	0.3989026	1.5352809	1.3198021	0.9062448	0.6778247	0.5639476	0.1824303	3.4374618	3.1463184	2.1465309	2.7666511	1.6941356	0.0729113	2.4391461	2.163275	1.7853466	1.5065563	0.8188916	3.2749542	3.1122863	2.7773341	2.4279319	2.4566836	2.2188726	1.8681867	2.8371898	2.3725323	2.0958458	1.2677278	0.7791663	0.4497846	0.5138297	2.9152477	2.5189352	1.9541541	1.7362865	0.7285978	2.0469303	1.5370564	0.0257777	1.6019706	0.9748492	0.6454933	0.8677916	0.717506	0.612671	0.1233063	0.006242	0.4293118	0.0136455	0.0058791
run4	5.5706828	5.4883546	5.0682846	4.3398883	4.1734079	3.4943656	3.3707658	5.389049	5.0885211	4.6198544	2.5349956	4.9118143	3.0771257	4.5771757	4.1377776	2.8708336	4.1689368	2.6794988	2.7793493	2.0568663	4.7892122	3.7705928	3.0107663	2.5453991	3.4849483	3.3657885	3.2072396	2.9909474	1.8958479	3.0514318	2.6107501	1.9577035	1.6575246	0.6735302	1.0402689	2.9389436	2.3747657	1.9945836	0.8527685	0.3073826	1.6957623	1.3241444	1.0440964	2.730757	2.5742264	2.3284576	2.0454912	2.1045725	1.8124649	1.5684731	1.3140134	0.050119	2.3484717	1.4230468	1.1506354	0.8139752	0.5990054	0.2668162	2.0692109	1.0217517	0.5325415	0.0467369	0.0411432	0.0356794	1.8143752	0.5042448	0.4585381	0.019254	0.2522816	0.0256056	4.6468046	3.5841201	2.4686459	4.523736	4.1934459	3.5274537	2.4265496	1.2527235	0.5525273	2.0612388	0.2631091	1.7262824	1.4063928	0.9001143	0.6733047	1.2413276	1.0768954	0.8480762	3.3052878	2.5306382	2.2601771	1.6073259	1.3072707	1.9856749	1.4030054	1.2368298	0.2287422	1.1860966	0.5435184	0.9805066	0.6059465	0.6432185	0.4597763	0.0236504	1.7132056	1.4293644	0.0295396	1.2051019	0.1324861	1.0680273	0.6406214	0.9618437	0.8374384	0.6460442	4.3032832	3.945635	3.0116028	2.4502189	2.0546687	1.1562601	3.6006932	3.2044212	2.9106487	2.5731436	3.3574725	2.8753575	2.200923	2.7232091	1.9847924	4.0455084	3.8754123	3.0558958	2.2373279	0.437069	2.4296183	1.748455	2.1653086	1.2903942	3.5161211	2.4934891	3.1477153	2.1807045	2.8843735	2.4978826	1.9104883	1.2718248	2.1293488	1.5302378	1.9368126	0.9841571	1.7039898	0.9316575	1.5218069	0.7750822	3.7247333	2.2378546	1.7843401	2.066961	1.7704157	1.4870429	1.2848208	0.5160415	1.8193278	1.5793605	1.0575323	0.4914681	0.3961444	1.5346727	1.3212986	0.9102129	0.6779185	0.5635562	0.182325	3.4337445	3.1427553	2.1333466	2.7599892	1.6976518	0.0727095	2.4392531	2.1607022	1.780324	1.5064048	0.8193895	3.2654635	3.1043558	2.7878485	2.4203934	2.4545984	2.2233512	1.8688427	2.8353017	2.3735199	2.0955672	1.269897	0.7821888	0.4453503	0.5115464	2.9116817	2.5278551	1.9628841	1.7421271	0.7327765	2.0429576	1.5433063	0.0256334	1.6020252	0.9731444	0.6450193	0.8690106	0.7156558	0.6119956	0.1233292	0.006244	0.429856	0.0135077	0.0057987
run5	5.57242	5.4863593	5.0786681	4.3402626	4.1664363	3.4612283	3.3578506	5.3891659	5.0816208	4.6285762	2.5328637	4.9095822	3.0809291	4.5714559	4.1370091	2.855881	4.1567836	2.6646012	2.7926457	2.0821177	4.7824205	3.7661681	3.0125544	2.5489252	3.4856881	3.3715966	3.2123392	2.9921679	1.8932106	3.0583475	2.6122821	1.9596666	1.6657382	0.6744925	1.0407242	2.9403066	2.3796597	1.9987445	0.8501535	0.3094453	1.6960702	1.3240677	1.0483016	2.7339328	2.5794863	2.3358319	2.04946	2.1054058	1.8144701	1.5694861	1.3124165	0.0499512	2.3539839	1.4382657	1.1582534	0.8110421	0.6011236	0.2657343	2.067539	1.0161745	0.5301377	0.0461383	0.0408847	0.0355146	1.8100686	0.5007585	0.455809	0.0188776	0.2507466	0.0257896	4.6430042	3.5859552	2.4559971	4.5189887	4.1947638	3.5360844	2.4343087	1.2510432	0.5563218	2.0637876	0.2618083	1.7273731	1.4085037	0.9036479	0.6758624	1.2453797	1.0776408	0.8448863	3.3039812	2.5277373	2.2562595	1.6029573	1.303549	1.985152	1.4026101	1.2368875	0.2270114	1.1873801	0.5443611	0.9848683	0.6047817	0.646804	0.462105	0.023216	1.7096889	1.4278319	0.029115	1.2020842	0.1310639	1.0651343	0.6408486	0.9652747	0.8406852	0.6441448	4.3025991	3.943296	3.0152932	2.4498891	2.0570477	1.150805	3.5973618	3.2031493	2.9065435	2.5772354	3.3517807	2.8687054	2.2126521	2.7209556	1.9833479	4.0439708	3.8775163	3.0500447	2.2289254	0.4415647	2.4364779	1.7448382	2.1619771	1.2953849	3.5203663	2.4959073	3.149955	2.1808397	2.8817532	2.4973896	1.9152968	1.2753547	2.1197229	1.5304239	1.9304745	0.9858898	1.7002718	0.9290216	1.5157312	0.7762627	3.7203268	2.2445247	1.7839309	2.065404	1.7734428	1.480003	1.2775338	0.5132599	1.8124632	1.5759196	1.0503326	0.4868387	0.3950535	1.531079	1.3201157	0.9090959	0.6794122	0.5653993	0.1802606	3.4341926	3.1431317	2.1265401	2.758126	1.6962263	0.0722557	2.437826	2.1629547	1.778261	1.5043093	0.8126522	3.2706073	3.1014626	2.7725421	2.4160111	2.4512229	2.2146405	1.8666933	2.8377068	2.3619446	2.0932425	1.2670191	0.783367	0.4500361	0.5123305	2.9122342	2.5206608	1.949957	1.7350632	0.732576	2.0365232	1.5330744	0.0260293	1.5907514	0.9726093	0.6465173	0.8652346	0.7142185	0.6089562	0.123919	0.0061052	0.4275038	0.0136386	0.0056531
run6	5.5724148	5.4869442	5.0804071	4.3274115	4.1724656	3.4765483	3.3691531	5.3889908	5.0940827	4.6299354	2.5294622	4.916696	3.0566778	4.5808046	4.1466653	2.8730057	4.1615128	2.6751364	2.7960147	2.0777934	4.7887652	3.7647696	3.0020335	2.544367	3.4976475	3.3762066	3.2136989	2.9943701	1.8937277	3.0593054	2.6154379	1.9567015	1.6620167	0.6767131	1.0346914	2.9490788	2.3773118	1.9879805	0.8507849	0.3040568	1.6986088	1.3251458	1.0525227	2.7366268	2.5863255	2.3303784	2.0454919	2.1003316	1.8125719	1.5660843	1.3124567	0.0503532	2.3531791	1.4347595	1.1573442	0.8110444	0.5990091	0.2667553	2.0648307	1.0286426	0.5321038	0.0464027	0.0408936	0.0355601	1.7993389	0.5049419	0.4596055	0.0192028	0.2510239	0.0257971	4.6441879	3.5783089	2.4563677	4.5234218	4.1928525	3.5340792	2.4209051	1.2512825	0.5584598	2.0623931	0.2624378	1.7272587	1.4048566	0.89903	0.6719972	1.2419019	1.0774275	0.8496896	3.3033697	2.5306415	2.2572579	1.6050417	1.3016642	1.982733	1.4025282	1.2394309	0.2286002	1.1848071	0.5489887	0.9784739	0.603734	0.6432483	0.4603592	0.0232014	1.7054577	1.4232848	0.0298723	1.2035432	0.1329242	1.0656081	0.6423054	0.9612066	0.8425032	0.6416365	4.3094909	3.9407407	3.010325	2.4519584	2.0528213	1.1478663	3.6014645	3.2089279	2.8978379	2.5733835	3.3674079	2.8803529	2.2193552	2.7283791	1.9893789	4.0416572	3.8772563	3.0536575	2.236501	0.4388393	2.4355595	1.7507126	2.1635935	1.2902907	3.5154924	2.504465	3.1530827	2.1813675	2.8868607	2.4932774	1.9242029	1.2738504	2.1292611	1.5318351	1.9368649	0.9782808	1.7033619	0.9246556	1.5145532	0.7787501	3.726675	2.2435842	1.7844072	2.0674972	1.7765858	1.4694801	1.2775688	0.5124418	1.8195523	1.579071	1.0595819	0.4895895	0.397131	1.5330791	1.3162298	0.9060294	0.6765535	0.5609647	0.1812264	3.437288	3.1457562	2.139212	2.7623037	1.693261	0.0725077	2.4331977	2.1641712	1.7788354	1.5047896	0.8090859	3.2800282	3.1075756	2.7856882	2.4144871	2.4500701	2.2165039	1.8679192	2.8322429	2.3670752	2.0900862	1.2631914	0.7796502	0.4484644	0.5135827	2.9122034	2.5185226	1.9568305	1.7417818	0.7320494	2.0383813	1.5371744	0.0260822	1.5985763	0.9737225	0.6453632	0.8661952	0.7148779	0.6084388	0.1226716	0.0061582	0.4294211	0.0134155	0.0056812
run7	5.5676464	5.4855047	5.08385	4.3324169	4.1818996	3.4936655	3.3810738	5.3892567	5.0899571	4.6258768	2.5336464	4.9118602	3.0661581	4.5760495	4.1426269	2.8637989	4.1673601	2.6836931	2.7872665	2.0664306	4.7919171	3.7673055	3.0190961	2.5487982	3.4901988	3.3753121	3.2101448	2.9957358	1.9055154	3.0545068	2.6110653	1.9578166	1.6557063	0.6693358	1.0356299	2.9415114	2.3784302	2.0013988	0.8577594	0.3089306	1.7041063	1.3298429	1.0548214	2.7343645	2.5823731	2.330113	2.0495191	2.1038357	1.8130157	1.5691499	1.3163764	0.0501437	2.3516539	1.4336879	1.1574682	0.8152988	0.599079	0.266318	2.0665782	1.0247627	0.5296733	0.0461786	0.0406737	0.035255	1.8069313	0.5038537	0.4589291	0.0193436	0.2510661	0.0257463	4.6454941	3.5913952	2.4503917	4.5253773	4.19483	3.5342419	2.4200266	1.255309	0.5574078	2.057667	0.2629539	1.7242376	1.4074642	0.9006906	0.6721172	1.2450265	1.0766463	0.8491018	3.3040788	2.52702	2.2505596	1.6079856	1.307655	1.981096	1.4011623	1.2384665	0.2272363	1.1853644	0.5485205	0.9774993	0.604425	0.6426642	0.459906	0.0233051	1.7038558	1.4285415	0.0294747	1.2033539	0.1325198	1.0660123	0.6412789	0.96243	0.8357444	0.642792	4.3068266	3.9413513	3.0040415	2.45772	2.0580161	1.1496895	3.6001966	3.2069395	2.9166957	2.5772718	3.3599765	2.8734412	2.2178747	2.7239529	1.9888781	4.043895	3.8753808	3.0490692	2.2535702	0.4430705	2.4302247	1.7462934	2.1603013	1.2932771	3.5185718	2.5033255	3.1504979	2.1899336	2.8797724	2.4992266	1.9204211	1.2845412	2.1306886	1.530301	1.9390303	0.9813636	1.7028671	0.9208506	1.5117346	0.7747284	3.7222135	2.2357511	1.7963913	2.0647654	1.7734532	1.476132	1.2793611	0.5209689	1.8145448	1.5832315	1.0550865	0.489026	0.3986012	1.5311791	1.3152086	0.9118579	0.675336	0.5619431	0.1816387	3.430509	3.145518	2.1403027	2.7601797	1.6963809	0.0726865	2.4381727	2.1670311	1.7848079	1.514843	0.8182899	3.2704004	3.1059343	2.7775745	2.422278	2.4452648	2.2151079	1.8719624	2.8326906	2.3675758	2.0807369	1.2544519	0.7767703	0.4483567	0.5175914	2.9084907	2.5167355	1.9526865	1.7483789	0.7277221	2.0403131	1.5361438	0.0256974	1.6023404	0.9720575	0.6468022	0.8670261	0.7189103	0.6119625	0.1236224	0.0062	0.4307323	0.0134322	0.005785
run8	5.569955	5.4827128	5.0666647	4.3292497	4.1764777	3.4729994	3.3614091	5.3893345	5.0898422	4.6235324	2.5219184	4.9127829	3.0848417	4.5702094	4.1394153	2.8642965	4.1573623	2.6781789	2.7808727	2.0715743	4.7848697	3.7725335	3.0086833	2.5433724	3.4953112	3.378816	3.2107132	2.9917496	1.9015393	3.0562065	2.6108428	1.961024	1.6566144	0.671743	1.0408418	2.9411591	2.3720443	2.0002042	0.8491723	0.3091136	1.6929003	1.3167853	1.0437468	2.7304391	2.5734698	2.329557	2.0463041	2.1033931	1.813857	1.566621	1.3102731	0.0502231	2.3477961	1.4284087	1.1544538	0.8058561	0.5951778	0.2669138	2.06921	1.0234606	0.5352162	0.0461976	0.0405335	0.0353854	1.8050868	0.5034517	0.457103	0.0191165	0.2487682	0.0258407	4.6450471	3.5844099	2.4635262	4.5262531	4.1955404	3.5243666	2.4152824	1.2585782	0.5548398	2.0561388	0.2602394	1.729373	1.4084287	0.9049584	0.6710656	1.2453512	1.0778931	0.8472198	3.3104907	2.5291678	2.259189	1.6042084	1.3023889	1.9785177	1.3992887	1.239341	0.2278986	1.1884211	0.5473067	0.9837725	0.605766	0.6452204	0.4594034	0.0231811	1.7063856	1.4218589	0.0300024	1.2037443	0.1317477	1.0633779	0.6439586	0.9606056	0.834788	0.6404771	4.3097247	3.9421979	3.0102546	2.4572392	2.0589185	1.1626274	3.6072402	3.211105	2.9148116	2.5785173	3.3661124	2.8865826	2.218223	2.727928	1.9856711	4.0438257	3.8788627	3.059681	2.2410619	0.43699	2.4358361	1.7523725	2.1648419	1.2948455	3.5271695	2.501223	3.1606657	2.1855896	2.8879989	2.5001392	1.9201059	1.2766337	2.1307884	1.5386975	1.9383737	0.98509	1.7050198	0.9214607	1.519654	0.7809326	3.7235622	2.2454622	1.7931002	2.0723195	1.7783895	1.4782163	1.2770336	0.5169907	1.8192935	1.5811194	1.0579941	0.4933533	0.3981642	1.5355405	1.322315	0.9140532	0.6787107	0.5652783	0.1820856	3.4325111	3.1433734	2.1339882	2.7602991	1.6856042	0.0721206	2.4411429	2.1661076	1.7819388	1.50845	0.8109301	3.2687877	3.1054772	2.7833088	2.4153655	2.4512244	2.2207343	1.8614063	2.8375502	2.364599	2.0893858	1.2535714	0.7782298	0.4500406	0.5147021	2.9106109	2.5198811	1.9537475	1.7309203	0.7372368	2.0355842	1.5281803	0.0263212	1.5949391	0.9684759	0.6415068	0.8659603	0.7133149	0.6095999	0.1227426	0.0061526	0.4292658	0.0135038	0.0057727
run9	5.5704436	5.4869709	5.0762421	4.329168	4.1753746	3.4813076	3.3643712	5.3900203	5.0871041	4.6240268	2.5204615	4.9118405	3.0743005	4.5721614	4.1323278	2.874162	4.1616934	2.687415	2.7894776	2.0666785	4.7880552	3.7657861	3.0164299	2.5599328	3.4959778	3.3802393	3.2173241	2.9936539	1.9001918	3.0596968	2.6129093	1.9598718	1.6676132	0.6723487	1.0365753	2.9450746	2.3772601	2.0035535	0.8564085	0.309008	1.7024785	1.3261178	1.053789	2.7392638	2.5848139	2.3309681	2.0464494	2.1015568	1.8091555	1.5675475	1.3129248	0.0498474	2.3504743	1.4388172	1.1587445	0.8117782	0.6003953	0.2660497	2.0665246	1.0172768	0.5293097	0.0460778	0.0407238	0.0357676	1.8068372	0.5013099	0.457552	0.0188403	0.2507074	0.0255747	4.6422731	3.5930311	2.4699644	4.5240631	4.1938966	3.5313502	2.4253787	1.2524152	0.5528774	2.0635722	0.2617564	1.7298098	1.4094756	0.9000843	0.6735719	1.2467926	1.0778632	0.8447771	3.3012998	2.5325122	2.2599303	1.6073493	1.3096917	1.9811146	1.3970344	1.2339815	0.2301722	1.1842861	0.5472458	0.9790171	0.603216	0.6404625	0.4580788	0.0232411	1.7092649	1.4287807	0.0296865	1.2054773	0.1323364	1.0639931	0.6455846	0.9612725	0.8373539	0.6448916	4.3087388	3.9395957	3.0082022	2.4546718	2.0580589	1.1579055	3.5916353	3.2006406	2.902918	2.5746696	3.3497246	2.8692634	2.2039465	2.7190452	1.9891851	4.0428486	3.8768241	3.0475278	2.2430645	0.4440078	2.4324294	1.7419871	2.1618552	1.2872592	3.5196826	2.5051036	3.1521581	2.1856793	2.8874619	2.4970049	1.9133398	1.2781044	2.1321691	1.5356386	1.9390464	0.9806171	1.7070104	0.9296802	1.51964	0.7853335	3.7188628	2.2405536	1.7998853	2.062744	1.7751147	1.4775836	1.2806098	0.51745	1.8117197	1.5765349	1.0574536	0.4891031	0.3976502	1.5316549	1.3209418	0.9065689	0.6779452	0.561034	0.18205	3.4312766	3.1390738	2.1366596	2.762206	1.6928505	0.0722891	2.4391741	2.1626351	1.7810729	1.5031625	0.8185984	3.2730049	3.108097	2.778865	2.4106148	2.4460753	2.2180041	1.8623666	2.8404567	2.3714364	2.093763	1.2590519	0.7782036	0.4485638	0.5155864	2.9141511	2.525696	1.962351	1.7430928	0.7366539	2.0432139	1.5337133	0.0253632	1.6045402	0.9750788	0.6497108	0.8688371	0.7182936	0.6089067	0.1233623	0.0061901	0.4271642	0.0134376	0.0057961
run10	5.5702696	5.4792672	5.0758445	4.3203496	4.1600069	3.4943627	3.3729687	5.3894654	5.0827021	4.6180514	2.5310038	4.9078104	3.0629725	4.5723402	4.1373773	2.8577562	4.1578278	2.6810308	2.7867806	2.0701308	4.7836085	3.7637874	3.0075494	2.5543942	3.4896595	3.3771587	3.2131338	2.9892235	1.8930488	3.0587706	2.6199049	1.9585252	1.660923	0.676648	1.0375917	2.9454224	2.3719268	1.9971122	0.8480378	0.3071416	1.6907763	1.317694	1.0441877	2.7375066	2.5854728	2.3280365	2.0476249	2.1063043	1.8107044	1.5673399	1.3122822	0.0497971	2.3585747	1.43255	1.1556827	0.8076015	0.5969645	0.2677225	2.0674667	1.0285879	0.5290986	0.0464125	0.0408871	0.0354845	1.8057421	0.5036491	0.4568614	0.0192579	0.2517036	0.025784	4.6430907	3.5716575	2.4471352	4.5237785	4.1901455	3.5229891	2.4299247	1.2561583	0.5530939	2.0652784	0.260966	1.7318499	1.4107384	0.9062649	0.6748391	1.246028	1.077649	0.8452332	3.3065714	2.5254782	2.2567341	1.6052831	1.3069643	1.9789948	1.4002619	1.2333768	0.2292479	1.1871341	0.5443657	0.9838546	0.6030064	0.6434145	0.4603276	0.02345	1.7067808	1.4203439	0.0295444	1.2012566	0.1318077	1.0618633	0.6399098	0.9591634	0.8367996	0.6416844	4.3051742	3.9370487	3.0228508	2.4519967	2.0557477	1.1558976	3.5958023	3.2079686	2.9067911	2.586316	3.3457459	2.8696278	2.2109231	2.7181734	1.9889888	4.0438947	3.8789337	3.0608999	2.245473	0.437893	2.4339221	1.7468023	2.1558919	1.2910665	3.5190951	2.5101088	3.152428	2.1774768	2.8843256	2.4970613	1.9159847	1.2731545	2.1281719	1.5290395	1.9368093	0.9915696	1.7018941	0.9250473	1.5176568	0.7758863	3.7298717	2.2333205	1.7883676	2.0640669	1.7713178	1.4788768	1.2865261	0.5187662	1.8246907	1.5821746	1.0592255	0.4883171	0.3946833	1.5315929	1.3189588	0.90892	0.6774638	0.5647101	0.1807667	3.4337367	3.1375059	2.1317395	2.7622789	1.6908474	0.0725823	2.4409219	2.1616317	1.7852309	1.5065079	0.8163144	3.2695217	3.1092587	2.7818884	2.4191235	2.4517589	2.2089751	1.8690407	2.8363852	2.3677319	2.0904669	1.2598124	0.7811483	0.4460287	0.5155971	2.9050559	2.5167721	1.9466012	1.7337635	0.7270875	2.0461924	1.5439513	0.0256832	1.5964452	0.9730134	0.6482819	0.8688735	0.7174168	0.6125819	0.1246928	0.0059884	0.4255959	0.0138757	0.005735
