Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	534.295	515.88	557.11	B(5.14,6.361,1e-300,0.025)
t_n220	510.559	462.49	548.54	0
t_n221	452.452	378.04	508.28	0
t_n222	341.221	236.61	433.46	0
t_n223	331.313	254.82	411.63	0
t_n224	258.523	183	343.87	0
t_n225	247.742	173.96	329.1	0
t_n226_Chelicerata	525.56	510.32	538.95	B(5.09,5.388,1e-300,0.025)
t_n227	479.239	438.12	509.95	0
t_n228	410.863	335.53	463.94	0
t_n229	166.574	102.21	243.98	0
t_n230	454.461	409.53	489.68	0
t_n231	194.204	108.61	293.9	0
t_n232	411.601	360.43	454.14	0
t_n233	354.034	287.64	409.74	0
t_n234	212.777	143.7	280.26	0
t_n235	361.683	306.09	411.35	0
t_n236	192.962	128.7	260.12	0
t_n237	213.266	157.26	270.86	0
t_n238	141.662	91.79	198.96	0
t_n239	436.779	396.66	473.1	0
t_n240_Nymphonoidea	315.94	275.26	359.53	0
t_n241	195.321	132.83	260.38	0
t_n242	156.085	94.81	225.29	0
t_n243	287.703	251.76	327.03	0
t_n244	269.658	228.66	311.8	0
t_n245	249.628	203.47	293.9	0
t_n246	272.107	238.37	308.98	0
t_n247	252.539	218.73	289.03	0
t_n248	121.677	72.43	180.1	0
t_n249	215.286	181.47	251.37	0
t_n250	153.743	123.33	187.32	0
t_n251	126.036	97.95	157.71	0
t_n252	39.141	23.14	60.89	0
t_n253	68.634	45.48	96.29	0
t_n254	257.952	225.53	293.23	0
t_n255	212.236	171.75	252.54	0
t_n256	147.919	97.11	201.39	0
t_n257	84.987	48.69	134.95	0
t_n258	17.964	9.36	31.17	0
t_n259	150.016	112.78	191.17	0
t_n260	109.845	77.74	147.38	0
t_n261	82.442	52.57	118.78	0
t_n262	237.93	206.74	271.47	0
t_n263	207.055	172.35	242.92	0
t_n264	134.105	103.37	169.18	0
t_n265	92.15	69.07	119.91	0
t_n266	70.262	50.74	94.41	0
t_n267	23.016	12.35	38.54	0
t_n268	42.526	26.29	63.29	0
t_n269	224.282	193.64	257.18	0
t_n270	198.787	167.99	231.56	0
t_n271	168.616	131.77	204.8	0
t_n272	176.673	145.76	209.51	0
t_n273	146.498	116	179.34	0
t_n274	120.367	90.47	153.09	0
t_n275	94.625	64.4	128.03	0
t_n276	0.511	0.06	1.42	0
t_n277	183.544	147.62	220.26	0
t_n278	93.06	61.88	132.15	0
t_n279	45.058	25.73	72.1	0
t_n280	2.229	1.19	3.7	0
t_n281	1.784	0.89	3.06	0
t_n282	1.22	0.47	2.32	0
t_n283	150.546	114.2	189.16	0
t_n284	85.16	50.55	132.85	0
t_n285	49.44	32.6	71.99	0
t_n286	0.904	0.27	2.01	0
t_n287	21.724	12.56	34.8	0
t_n288	1.243	0.44	2.57	0
t_n289	418.358	378.11	455.55	0
t_n290_Ausctrodecidae	367.988	285.79	428.68	0
t_n291	260.729	192.3	333.23	0
t_n292	159.201	91.55	236.72	0
t_n293	404.904	365.28	442	0
t_n294	365.104	319.96	407.85	0
t_n295_Pycnogonidae	201.597	161.79	247.98	0
t_n296	76.047	47.49	117.1	0
t_n297	29.875	16.56	49.54	0
t_n298	165.424	132.07	204.93	0
t_n299	13.465	7.27	22.97	0
t_n300	130.631	103.6	162.9	0
t_n301	108.047	85.26	135.31	0
t_n302	60.399	40.57	84.77	0
t_n303	40.864	24.41	62.58	0
t_n304	93.548	72.08	119.2	0
t_n305	79.093	58.83	103.38	0
t_n306	58.433	39.7	81.16	0
t_n307_Colossendeidae	275.263	232.61	321.38	B(1.605,5.388,1e-300,0.025)
t_n308	188.074	134.69	242.43	0
t_n309	180.602	151.13	214.32	0
t_n310	113.148	80.04	150.23	0
t_n311	86.604	55.51	123.12	0
t_n312	159.773	133.26	190.29	0
t_n313	104.132	83.27	128.4	0
t_n314	83.925	59.49	110.39	0
t_n315	11.687	6.37	19.67	0
t_n316	87.463	68.86	109.45	0
t_n317	29.747	16.52	48.56	0
t_n318	70.623	54.11	90.31	0
t_n319	36.357	21.78	54.69	0
t_n320	42.722	30.03	58.31	0
t_n321	28.301	17.76	41.92	0
t_n322	1.011	0.39	2.03	0
t_n323	134.163	109.71	162.11	0
t_n324	112.738	90.92	137.82	0
t_n325	1.111	0.37	2.35	0
t_n326	93.636	74.61	115.68	0
t_n327	0.363	0.05	0.97	0
t_n328	80.466	63.31	100.52	0
t_n329	39.832	24.62	58.64	0
t_n330	71.666	55.03	91.09	0
t_n331	60.911	44.86	79.74	0
t_n332	43.203	28.18	61.33	0
t_n333	383.202	344.06	420.54	0
t_n334_Ascorhynchidae	327.857	263.72	385.87	B(1.4924,5.388,1e-300,0.025)
t_n335	300.766	239.18	360.93	0
t_n336	225.507	175.2	278.95	0
t_n337	177.395	133.46	226.55	0
t_n338	143.673	103.72	189.97	0
t_n339	70.537	44.09	104.58	0
t_n340	294.951	238.29	354.71	0
t_n341	256.449	199.59	316.21	0
t_n342	227.194	169.35	285.89	0
t_n343	195.391	135.21	256.11	0
t_n344	227.158	175.22	281.52	0
t_n345	155.203	97.53	217.54	0
t_n346	211.368	159.4	266.08	0
t_n347	133.855	84.31	190.9	0
t_n348	357.917	320.08	394.85	0
t_n349_Phoxichilidioidea	342.078	304.5	378.85	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	250.607	208.68	293.63	0
t_n351	156.823	106.3	210.74	0
t_n352	23.251	13	38.48	0
t_n353	188.659	149.88	230.76	0
t_n354	119.574	79.98	163.87	0
t_n355	163.266	124.2	205.74	0
t_n356	81.558	50.52	119.89	0
t_n357_Phoxichilidiidae	305.027	268.18	342.05	0
t_n358	181.548	123.99	240.08	0
t_n359	269.047	234.4	305.01	0
t_n360	157.932	109.07	208.82	0
t_n361	241.583	208.3	276.16	0
t_n362	204.42	174.02	237.04	0
t_n363	143.287	108.25	180.13	0
t_n364	82.625	52.46	118.52	0
t_n365	169.848	141.71	200.44	0
t_n366	104.778	67.56	144.17	0
t_n367	151.642	124.55	181.38	0
t_n368	57.545	33.75	89.04	0
t_n369	131.265	105.12	160.21	0
t_n370	56.453	34.23	84.53	0
t_n371	114.465	88.13	143.58	0
t_n372	47.532	28.85	71.62	0
t_n373	324.235	285.09	363.34	0
t_n374_Pallenopsidae	176.242	146.26	211.51	0
t_n375	125.104	80.76	168.95	0
t_n376	163.637	135.73	196.25	0
t_n377	132.955	100.04	168.05	0
t_n378	103.794	72.96	138.73	0
t_n379	86.52	56.99	121.57	0
t_n380	27.242	14.78	45.97	0
t_n381	147.208	121.1	177.63	0
t_n382	123.6	96.36	154.3	0
t_n383	75.29	47.48	107.6	0
t_n384	30.134	19.86	43.83	0
t_n385	22.798	13.8	35.26	0
t_n386	120.619	96.42	148.61	0
t_n387	100.239	78.06	126.25	0
t_n388	62.675	42.01	87.07	0
t_n389	49.756	34.91	68.4	0
t_n390	39.414	26.16	56.67	0
t_n391	10.524	5.88	17.27	0
t_n392_Ammotheidae	297.089	260.91	334.79	0
t_n393	267.58	231.69	305.25	0
t_n394	144.289	89.87	203.74	0
t_n395	229.907	194.56	266.96	0
t_n396	109.622	67.6	159.89	0
t_n397	3.561	1.76	6.4	0
t_n398	197.102	162.73	233.54	0
t_n399	170.651	137.78	206.05	0
t_n400	135.759	105.39	169.32	0
t_n401	110.736	82.32	143.02	0
t_n402	51.283	32.32	75.5	0
t_n403	283.563	248.32	320.61	0
t_n404	267.951	233.24	304.55	0
t_n405	234.02	194.38	273.12	0
t_n406	193.675	145.99	238.43	0
t_n407	198.065	154.9	240.38	0
t_n408	172.52	129.02	216.18	0
t_n409	138.563	93.87	184.6	0
t_n410	241.128	205.15	278.13	0
t_n411	197.31	161.01	235.38	0
t_n412	173.339	137.77	211.31	0
t_n413	113.474	83.76	147.97	0
t_n414	79.756	54.71	110.7	0
t_n415	46.017	25.6	75.43	0
t_n416	32.026	18.83	49.87	0
t_n417	247.203	210.15	285.37	0
t_n418	204.789	165.31	245.21	0
t_n419	145.984	101.58	191.65	0
t_n420	119.538	81.13	164.1	0
t_n421	40.65	22.97	65.9	0
t_n422	153.701	120.25	192.92	0
t_n423	103.188	66.79	144.48	0
t_n424	1.318	0.47	2.78	0
t_n425	117.759	89.92	152.37	0
t_n426	73.127	57.23	92.23	0
t_n427	40.453	24.42	59.93	0
t_n428	64.544	49.69	82.5	0
t_n429	52.034	39	67.87	0
t_n430	43.457	31.41	58.39	0
t_n431	7.502	3.76	13.28	0
t_n432	0.199	0.01	0.63	0
t_n433	27.463	17.25	40.49	0
t_n434	0.48	0.09	1.35	0
t_n435	0.219	0.03	0.59	0
