t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.1580143	4.6193476	3.725735	2.3492447	2.5984588	1.8403635	1.7848944	5.1031864	4.2912047	3.2362534	1.0344186	4.0527852	1.1397926	3.5672574	2.8651927	1.4307177	3.0381283	1.3111444	1.5896279	0.9340878	4.0343485	2.8821074	1.5206711	1.1275705	2.6624948	2.5725972	2.4529382	2.0964667	0.7559226	2.3317617	1.8721578	1.2753798	1.0203021	0.2443185	0.4800649	2.2386125	1.5352563	1.0251055	0.3190786	0.0910246000000001	0.9578949	0.6704141	0.4374777	2.0512903	1.9206055	1.6747197	1.2790038	1.4491775	1.1622633	0.9208661	0.6566864	0.0110983	1.6741144	0.8278519	0.6325321	0.4178932	0.2741822	0.0866751	1.3402144	0.4524781	0.1819596	0.0175136	0.0144418	0.0114351	1.0272735	0.2353509	0.2107003	0.002395	0.0947654	0.0049028	3.8856856	2.0042186	0.9090373	3.7718018	3.3229082	2.4089637	1.6029067	0.4955778	0.1762944	1.3438977	0.07938	1.1028655	0.8843352	0.429934	0.2592319	0.7502212	0.6108532	0.4107346	2.3963193	1.3720985	1.5779433	0.8471022	0.5741028	1.3819539	0.9027004	0.6750428	0.071058	0.7403238	0.1826193	0.5829329	0.2370351	0.3271818	0.1919036	0.00438	1.1473959	0.9307987	0.0060844	0.7700115	0.0350297	0.6644846	0.2590202	0.5727939	0.4662742	0.2913478	3.5552952	2.8036663	1.9260877	1.4526587	1.1219395	0.4741335	2.5091058	2.0573809	1.7355904	1.3314639	2.2666167	1.8356351	0.9865958	1.6721735	0.8765564	3.298217	3.1333235	2.1629822	1.120679	0.142574	1.5739046	0.8360618	1.2927758	0.5379584	2.7593046	1.2604864	2.4270764	1.1216471	2.1777184	1.8277478	1.1401436	0.5531134	1.4958894	0.6987632	1.325796	0.3616529	1.1106897	0.3649255	0.9204684	0.3095678	2.9450349	1.5284226	0.8402259	1.4096696	1.0569647	0.7822327	0.5973714	0.1607979	1.2231475	0.9671624	0.4219329	0.2174301	0.1510119	0.9735197	0.7964146	0.4299903	0.3328764	0.2505797	0.059694	2.6823889	2.3875585	0.9375049	2.0120925	0.702819	0.0188958	1.6949832	1.4379303	1.1043294	0.8570266	0.340547	2.5369454	2.373707	1.9680928	1.4565631	1.5736769	1.3203825	0.9231486	2.0608017	1.5545515	1.2895198	0.6662114	0.3800341	0.1665031	0.16167	2.1422575	1.6915186	1.0171335	0.8600898	0.2485121	1.2630746	0.6964997	0.0042371	0.9361846	0.5949366	0.2585621	0.5143278	0.4005447	0.3199152	0.0331348	0.000124	0.1777245	0.0008455	0.0002559
run2	5.157658	4.6073075	3.7034847	2.3436404	2.5816438	1.8293553	1.7743304	5.1031941	4.2897109	3.2651902	1.0454706	4.0409486	1.1312034	3.5768742	2.8770253	1.4209485	3.0479128	1.3041907	1.581125	0.9340376	4.0322846	2.8779678	1.5196418	1.1299443	2.6604392	2.5700244	2.4515101	2.0998756	0.7511649	2.333777	1.8702685	1.270771	1.0149944	0.2479233	0.4754398	2.241651	1.5308626	1.0305571	0.3234754	0.0905851	0.9570801	0.6713511	0.4398438	2.0519739	1.9191474	1.6758795	1.2819815	1.4452156	1.15761	0.9158201	0.6522525	0.0111978	1.6766841	0.8281759	0.6322104	0.4180279	0.2732713	0.0858555	1.3419712	0.4546187	0.1800328	0.0175476	0.014546	0.0114475	1.0251429	0.236235	0.2123646	0.0023594	0.0938988	0.0048784	3.8873601	1.9993197	0.9078833	3.7675285	3.3192965	2.4130512	1.6071413	0.4930301	0.176223	1.3425989	0.0787166	1.1031246	0.8844922	0.4295249	0.2600449	0.7459322	0.6086641	0.4100827	2.3832224	1.3718763	1.5719618	0.8470506	0.5729882	1.3783152	0.9017726	0.6775547	0.0705506	0.7400507	0.1782454	0.5832647	0.2351065	0.3256539	0.1907882	0.0044031	1.1423481	0.9330326	0.0060016	0.7700931	0.0353373	0.6640938	0.2580056	0.5771419	0.4653894	0.2896839	3.5487517	2.7913164	1.9234516	1.4504402	1.1108378	0.4723835	2.5097267	2.0451692	1.7293527	1.3340361	2.2623173	1.8269712	0.9943611	1.6609301	0.8782257	3.2980756	3.1356304	2.1609701	1.1181005	0.1417148	1.5630517	0.834132	1.2843562	0.5330813	2.7620887	1.2621631	2.4226965	1.1113212	2.1761991	1.8251979	1.1386359	0.5467498	1.4987408	0.7016268	1.3236743	0.3596036	1.1072453	0.3663185	0.9175378	0.307397	2.9388352	1.5311283	0.8409648	1.4126166	1.0598392	0.7769544	0.592773	0.1602122	1.2191197	0.9652611	0.4194135	0.2159197	0.1508138	0.9804612	0.7976516	0.4295125	0.3340998	0.2515394	0.0593648	2.6834414	2.3865864	0.9344982	2.008047	0.7078697	0.0192677	1.6954791	1.44105	1.0970967	0.8581937	0.3396269	2.5296024	2.3678235	1.9637278	1.4567774	1.5693326	1.314229	0.9223473	2.0546433	1.5527071	1.293484	0.6655605	0.3803799	0.1675974	0.1618088	2.1380868	1.6975938	1.0098951	0.8573051	0.24919	1.2603413	0.6960807	0.0042924	0.9332833	0.594568	0.2587421	0.5154344	0.4055692	0.3225164	0.0333107	0.0001161	0.1791157	0.000871400000000001	0.0002601
run3	5.1590721	4.6262809	3.7132337	2.3306264	2.5968674	1.849233	1.7690366	5.1034795	4.2792865	3.2448226	1.0390718	4.0414004	1.1277762	3.5627323	2.87084	1.4424045	3.0420298	1.297838	1.5932821	0.9354339	4.0323011	2.8769326	1.5245895	1.1428291	2.661947	2.5766818	2.4528479	2.0989666	0.7526275	2.3370743	1.8715566	1.2761525	1.0182494	0.2493251	0.4744327	2.2440712	1.5322556	1.0203876	0.3236265	0.0906062	0.950938	0.6667462	0.4383884	2.0553644	1.9253396	1.6745377	1.2862922	1.448287	1.1615721	0.9209176	0.6524783	0.011128	1.678761	0.8228631	0.6327295	0.4167453	0.2719045	0.0863894	1.3463911	0.4528977	0.1818046	0.017475	0.0144442	0.0113934	1.0283718	0.2361777	0.2102414	0.0023439	0.0939831	0.0049018	3.8839513	2.0093415	0.9082101	3.7653556	3.3202255	2.4209776	1.6003065	0.4953968	0.1769552	1.3409511	0.0791768	1.1036914	0.8858879	0.4326281	0.2613547	0.7515948	0.6084911	0.4075221	2.3840609	1.3870575	1.5745606	0.8450835	0.5756054	1.3777366	0.9025202	0.6735491	0.0709843	0.7363707	0.1798013	0.5810641	0.2335246	0.3252065	0.1910439	0.0044003	1.1426433	0.9336365	0.005964	0.7691953	0.0349001	0.6639843	0.2578052	0.5749277	0.4618315	0.2874431	3.5522398	2.7926971	1.924588	1.4512817	1.1144936	0.4783419	2.5134434	2.0513773	1.7257985	1.3343605	2.262304	1.8274984	0.9897715	1.6666991	0.8762662	3.2963083	3.1316047	2.1567039	1.1190019	0.1429637	1.5727093	0.8354417	1.296864	0.5373795	2.7542248	1.2705654	2.4231399	1.1201077	2.1789961	1.8278138	1.1391489	0.5498841	1.4968101	0.7020633	1.324888	0.3651559	1.1127114	0.3666424	0.9183775	0.3096083	2.9390132	1.5341763	0.8401395	1.4168881	1.0521881	0.781078	0.5954652	0.1608716	1.2258838	0.9717191	0.421417	0.217047	0.1501561	0.9800523	0.8015698	0.4275798	0.3326702	0.2505947	0.0599017	2.680342	2.3854992	0.9321755	2.0050136	0.7079898	0.019153	1.6961529	1.4416719	1.0967395	0.8544373	0.3410864	2.534194	2.3753205	1.9609086	1.4555339	1.5747407	1.3186914	0.9281916	2.0608193	1.5586099	1.288123	0.6690584	0.3808051	0.1675749	0.1611499	2.1433075	1.6982196	1.0253101	0.8610679	0.2521759	1.2672896	0.6965942	0.0042632	0.9331178	0.5952524	0.2592073	0.5135038	0.403326	0.3208257	0.0328283	0.0001197	0.1775044	0.0008815	0.0002562
run4	5.1584859	4.6037749	3.7152306	2.3422759	2.5881264	1.8514317	1.773049	5.1025186	4.2894926	3.2411105	1.0467746	4.0444362	1.1316941	3.5666555	2.8632585	1.4364177	3.0353183	1.2981225	1.5933242	0.9448587	4.0327204	2.8756209	1.5373741	1.1438108	2.6568441	2.5709463	2.4507852	2.0978077	0.7534924	2.3333615	1.8764822	1.2748195	1.0171922	0.2467386	0.4793004	2.2390828	1.5294473	1.0310634	0.3222811	0.0906102	0.9515832	0.6688223	0.4397955	2.048513	1.9190214	1.6716328	1.280225	1.4452274	1.1583287	0.9142596	0.654728	0.0111039	1.6719044	0.8249336	0.6329936	0.416573	0.2714326	0.0877682	1.3387994	0.4537299	0.1831604	0.0175682	0.0144663	0.011451	1.0253164	0.235003	0.2106523	0.0023731	0.0938964	0.0048465	3.8835316	1.9961511	0.9053372	3.768724	3.3199426	2.4126089	1.601636	0.4925414	0.1765482	1.3435707	0.0792371	1.1007203	0.8869346	0.4297574	0.2588429	0.7515334	0.6091229	0.4118201	2.3901061	1.3867468	1.5787502	0.8459877	0.5765658	1.3795831	0.9076067	0.6737537	0.0708807	0.7435747	0.1800906	0.5849325	0.2348154	0.3239638	0.1913137	0.0043572	1.1490596	0.9346226	0.0060341	0.7697828	0.0350145	0.6630464	0.2603371	0.5764354	0.4644764	0.2886097	3.5562648	2.7973926	1.9221537	1.4490032	1.119196	0.4750334	2.5162704	2.0512786	1.7347208	1.3380983	2.2725382	1.8306916	0.9975155	1.6670375	0.8805827	3.2955856	3.1288978	2.1550937	1.1245171	0.1424517	1.5682119	0.8366322	1.2858749	0.5334615	2.7576997	1.261878	2.4152401	1.1188831	2.1675565	1.8263014	1.1454703	0.5523941	1.4999515	0.7032776	1.328607	0.3611362	1.1115546	0.3657585	0.9185736	0.311939	2.9378472	1.5361421	0.8418465	1.4177712	1.0555198	0.7839354	0.5976012	0.1602325	1.2291535	0.9714746	0.4182959	0.2180075	0.1516835	0.9845683	0.8017923	0.4312232	0.3336362	0.2498129	0.0596052	2.6775034	2.3886761	0.9258602	2.0055149	0.7077891	0.0191468	1.6946113	1.4364092	1.1004531	0.8603208	0.3398546	2.5277149	2.3733946	1.9655683	1.4531512	1.5732363	1.319143	0.9330252	2.060164	1.550746	1.2891914	0.6677625	0.3820996	0.1684047	0.1605583	2.1362456	1.6979361	1.0189877	0.8590596	0.2493847	1.2658055	0.6969618	0.0043539	0.9337661	0.5938326	0.2576539	0.5124523	0.4046626	0.3206133	0.0330752	0.0001258	0.1781738	0.000866300000000001	0.000262800000000001
run5	5.1597258	4.6098851	3.720413	2.3471268	2.5965528	1.8414304	1.7752921	5.1034878	4.292705	3.2451604	1.0382817	4.0519945	1.1299633	3.5725606	2.863945	1.4329999	3.0401754	1.2947388	1.5816155	0.9329008	4.0398286	2.8742675	1.5211035	1.1332571	2.6580802	2.572501	2.4525925	2.0868089	0.7525239	2.3322401	1.8757535	1.2780952	1.0230745	0.2478919	0.4796259	2.2424588	1.5328433	1.0215094	0.3218544	0.0906161	0.9547485	0.6702208	0.438717	2.0518011	1.9246431	1.6772506	1.2837544	1.4514011	1.1615949	0.9224076	0.6573288	0.0112197	1.6747476	0.8272888	0.6322881	0.415744	0.2718099	0.0872186	1.334187	0.4501952	0.1831416	0.0176534	0.0146068	0.0115553	1.0259253	0.2351245	0.2102069	0.0023632	0.0928021	0.0049171	3.8927718	2.0231953	0.9101995	3.7730078	3.3270919	2.4226297	1.6034592	0.4922778	0.1749738	1.344479	0.0793059	1.1059746	0.889229	0.4317043	0.2624275	0.7535532	0.6111534	0.4119038	2.3895017	1.3710104	1.5795899	0.8481873	0.5812963	1.3781783	0.9056787	0.6797455	0.0715124	0.7423887	0.1792775	0.5811604	0.234171	0.3244027	0.1905623	0.0043434	1.1491498	0.9341691	0.0058734	0.7692673	0.0355403	0.6651183	0.2587346	0.5764593	0.4631964	0.2925545	3.5536601	2.7907395	1.9175614	1.4538805	1.1155879	0.474564	2.5139484	2.0614191	1.7390415	1.3370625	2.2689653	1.8337622	0.9941297	1.6599151	0.8790178	3.2987891	3.1330837	2.167133	1.1183963	0.1415958	1.5739878	0.8393482	1.2874513	0.5304575	2.7679649	1.2625056	2.4266377	1.1216073	2.1806236	1.8352869	1.1323637	0.5527845	1.5036866	0.7047027	1.3293362	0.3595411	1.1143612	0.368082	0.9183232	0.3058477	2.9444495	1.5303428	0.8334865	1.4113996	1.0525779	0.783091	0.5939271	0.1600117	1.2236412	0.9687423	0.4220913	0.2181539	0.1524033	0.979147	0.8009073	0.4314936	0.3318572	0.2499381	0.0601192	2.6864524	2.3893407	0.9333987	2.0107519	0.7110376	0.0190765	1.6999847	1.4417701	1.1024799	0.8562457	0.3422551	2.5380475	2.3735415	1.9634543	1.4540539	1.5755429	1.3213114	0.930619	2.0641042	1.5534588	1.2890612	0.6659143	0.3847727	0.1668606	0.1602851	2.1421393	1.695573	1.0185463	0.8685368	0.2478481	1.2663795	0.6987782	0.0043624	0.9299469	0.5922641	0.2573475	0.5116467	0.4018865	0.3197412	0.0330691	0.0001156	0.1789262	0.000855600000000001	0.000267
run6	5.1578803	4.6147617	3.7215253	2.3551198	2.5853185	1.84459	1.7640464	5.1028434	4.2938269	3.2322013	1.0352673	4.0504593	1.132406	3.565961	2.8606302	1.4316026	3.0316083	1.2947032	1.5800255	0.9324045	4.039157	2.8818389	1.5279902	1.1429606	2.6639477	2.5736505	2.4533142	2.1007869	0.7504113	2.3336595	1.8695261	1.2707576	1.016445	0.2461543	0.4808326	2.2441714	1.5281925	1.0233949	0.3215991	0.0915144	0.9543632	0.6677202	0.4362498	2.0535731	1.9224884	1.6701814	1.2824284	1.4465842	1.1608165	0.9205951	0.6577488	0.0111578	1.671884	0.8277078	0.6324448	0.4182919	0.2726812	0.0865132	1.3409864	0.4552017	0.1822223	0.017591	0.0145737	0.0113218	1.0212419	0.235385	0.2109765	0.0024223	0.0942695	0.0048559	3.8895764	2.0147119	0.9036889	3.7715471	3.3097807	2.4247274	1.6025726	0.4932388	0.1765278	1.3424307	0.0794929	1.1019111	0.8889134	0.4321419	0.2618092	0.7529738	0.610173	0.4125482	2.3828856	1.3676474	1.5768637	0.847534	0.5774296	1.379293	0.9052452	0.6734339	0.0712278	0.7409312	0.1789195	0.5817829	0.2359974	0.324461	0.1897603	0.0043206	1.1461979	0.9334662	0.0059826	0.7691828	0.0351361	0.6634913	0.25977	0.5749884	0.4634314	0.2908542	3.5566023	2.7985113	1.9247595	1.4607441	1.1229665	0.4736691	2.5113173	2.0518684	1.7334995	1.3313495	2.2699819	1.8262356	0.9847931	1.6650872	0.8847996	3.2946876	3.1292103	2.1628704	1.1303133	0.1427108	1.5712068	0.841112	1.296057	0.5318085	2.7608487	1.2583887	2.4293144	1.1256362	2.1785076	1.8306622	1.1424396	0.5512236	1.4947299	0.7079994	1.323562	0.3629873	1.1093425	0.3684811	0.9176185	0.3075955	2.9422472	1.5324418	0.8424027	1.41191	1.0514612	0.7802028	0.5986829	0.1611991	1.2254631	0.9698353	0.4217347	0.2171011	0.1506409	0.9810694	0.8036982	0.4336092	0.3355	0.251278	0.0597172	2.6831675	2.3870111	0.9321052	2.0079128	0.7055609	0.0193449	1.6941754	1.4454981	1.0959825	0.8566846	0.342669	2.5362086	2.3742338	1.9631795	1.4520595	1.5757069	1.3248411	0.9201675	2.060997	1.5516399	1.283981	0.6695229	0.382026	0.1669314	0.1612975	2.142649	1.6935996	1.014229	0.8598184	0.2488835	1.2638256	0.6996089	0.0042654	0.9333036	0.5942107	0.2592565	0.5126414	0.4036721	0.3187632	0.0331162	0.000124	0.178177	0.000873300000000001	0.0002713
run7	5.1601942	4.6145702	3.7061489	2.3435114	2.5919173	1.8544663	1.7755544	5.1035365	4.2988858	3.2259417	1.0390033	4.0456318	1.1326679	3.5698706	2.8696145	1.4418713	3.0397178	1.3125813	1.5935246	0.9356478	4.033206	2.8834508	1.5239928	1.140225	2.6608861	2.5725735	2.4499166	2.0929207	0.750301	2.3353891	1.8743124	1.2679758	1.0113402	0.2489026	0.4744547	2.242208	1.5349952	1.0206861	0.3226277	0.090109	0.9537902	0.6691077	0.4362809	2.0479619	1.9185882	1.6691489	1.2753474	1.4467756	1.1587255	0.9172913	0.6530157	0.011181	1.6707637	0.8244228	0.6293424	0.4176537	0.2737294	0.0871061	1.341488	0.4525133	0.1818454	0.0176684	0.0145275	0.0114612	1.0255455	0.2374166	0.2127058	0.0023671	0.0935787	0.0050636	3.8855265	2.0065497	0.8987879	3.7727429	3.3142425	2.4123456	1.6053215	0.489645	0.1760334	1.346435	0.0795048	1.1068556	0.8861583	0.4301591	0.2593218	0.7498298	0.607601	0.4113828	2.3845773	1.3780389	1.5745002	0.847093	0.5771119	1.3778739	0.9056177	0.6768236	0.0702362	0.741972	0.1787712	0.5825747	0.2371635	0.3246772	0.1908967	0.0043211	1.1447611	0.9335901	0.0060409	0.7717969	0.0348896	0.6637282	0.2581212	0.5724525	0.4644325	0.2898193	3.5523085	2.787411	1.9261193	1.4504639	1.1140285	0.4725488	2.5054123	2.0518739	1.7333092	1.3301882	2.2658204	1.8249228	0.9932164	1.6613922	0.8679818	3.2935759	3.1299376	2.1683668	1.1175539	0.1421724	1.5718504	0.8349442	1.2922409	0.532442	2.7633547	1.2605615	2.4287288	1.1280432	2.1754577	1.8320444	1.1394988	0.5560964	1.4963917	0.6949368	1.3234033	0.3603376	1.1104164	0.363018	0.9176025	0.3067788	2.9415673	1.5346287	0.8383213	1.4148648	1.0582425	0.7807351	0.5937232	0.1600528	1.2199473	0.9662404	0.4207421	0.2172623	0.1515266	0.9790968	0.798774	0.4305502	0.3353424	0.2494557	0.0599399	2.6819031	2.3838924	0.9301922	2.008114	0.706326	0.0191093	1.6983274	1.4357986	1.1002872	0.8610431	0.3387834	2.536496	2.3750414	1.966423	1.4518059	1.5701006	1.3223243	0.9305071	2.0606192	1.5586844	1.2879765	0.6695491	0.3802539	0.166786	0.1627003	2.1404561	1.6977711	1.0193316	0.8542405	0.2498241	1.2699023	0.6953913	0.0042617	0.9320459	0.5931508	0.2575559	0.5118708	0.4019287	0.3191139	0.0330755	0.0001221	0.1776525	0.0008632	0.0002632
run8	5.1594532	4.6129365	3.7093732	2.3577665	2.5894418	1.8239177	1.7671257	5.103866	4.2884234	3.2408278	1.0427608	4.0392975	1.130859	3.5681626	2.8617128	1.4291228	3.0433485	1.2888332	1.5879478	0.9324895	4.0434623	2.8757748	1.5315843	1.1488584	2.6595364	2.5728508	2.4514802	2.0911377	0.7467529	2.3330852	1.8693442	1.2706543	1.0186886	0.2458268	0.4771176	2.2379237	1.528336	1.0310515	0.3258751	0.0902988	0.9551519	0.6709251	0.4377679	2.0491136	1.9186946	1.6743098	1.2843441	1.4464836	1.1626355	0.9168053	0.6556137	0.0111514	1.6761986	0.8271471	0.6336196	0.4179107	0.2740299	0.0878185	1.3388658	0.4547042	0.1785847	0.0176282	0.0144198	0.0115008	1.0239814	0.2351308	0.210691	0.0023479	0.0929531	0.0049553	3.8932421	2.0237461	0.9095787	3.7774598	3.3223071	2.407266	1.6077545	0.4945506	0.1749065	1.3489051	0.0790881	1.107989	0.8859888	0.4303606	0.2591196	0.7503864	0.6101239	0.4100831	2.3876978	1.3733612	1.5775669	0.848279	0.5736719	1.380042	0.9033944	0.6755413	0.0716868	0.7404295	0.1791423	0.5839182	0.2353382	0.3269456	0.1902405	0.0043707	1.1440402	0.9354915	0.0059471	0.7705362	0.0348439	0.6659805	0.2585106	0.575846	0.4638851	0.2885291	3.5551987	2.794284	1.9237016	1.4553115	1.1111174	0.4748623	2.5127265	2.0573542	1.7345448	1.3367647	2.27217	1.8377375	0.9920322	1.6693287	0.8823724	3.2989963	3.1381296	2.1627576	1.1131069	0.1414824	1.5661358	0.8408324	1.2841887	0.5304575	2.7593352	1.2594954	2.4237975	1.1222895	2.176288	1.829627	1.1397567	0.5506484	1.498731	0.6989862	1.3282993	0.3653722	1.1120753	0.3672691	0.9212234	0.3092851	2.9383453	1.532499	0.8464337	1.4122962	1.0614772	0.7839265	0.596855	0.1580388	1.2213455	0.9713184	0.4182869	0.2178429	0.1506672	0.9799916	0.7995642	0.4304092	0.3334525	0.2501786	0.0599533	2.6731659	2.3852644	0.9297852	2.0110517	0.7067427	0.0190338	1.6976037	1.4407446	1.1019474	0.8566958	0.3379918	2.5309516	2.3701941	1.9637689	1.4443942	1.573008	1.3142088	0.9258957	2.0613494	1.5597571	1.2878422	0.668545	0.3820044	0.1695604	0.1608631	2.1370504	1.6991166	1.0180601	0.857752	0.2473142	1.2605035	0.6992774	0.004219	0.9316122	0.5934144	0.2595226	0.5136263	0.4031557	0.3197788	0.0334137	0.0001176	0.1763593	0.000885400000000001	0.0002703
run9	5.1601021	4.6091256	3.7003244	2.3433329	2.5904826	1.8419899	1.7706908	5.1033288	4.2942642	3.2470427	1.0423242	4.0477135	1.1236939	3.5767996	2.8734846	1.4348999	3.0442914	1.304788	1.5929529	0.9283584	4.0342574	2.878674	1.5199504	1.1360397	2.6644626	2.5736544	2.4578298	2.0913688	0.7510161	2.337896	1.8726837	1.2700401	1.0149096	0.2489897	0.474562	2.2423042	1.5306771	1.0271703	0.3224791	0.0919119	0.9518539	0.67127	0.4323585	2.0533358	1.9227996	1.6780023	1.2777203	1.4471892	1.160107	0.9131948	0.6553885	0.0111119	1.676689	0.8259671	0.6337252	0.415629	0.2713093	0.0870474	1.33992	0.4540825	0.1811134	0.0175828	0.0146301	0.0115319	1.027144	0.23595	0.2119799	0.0023966	0.0948887	0.0049185	3.8916938	2.0117584	0.9081847	3.774248	3.3188984	2.4157116	1.6042241	0.4930622	0.175783	1.3428801	0.0795033	1.1033258	0.8865404	0.42973	0.2591765	0.7489354	0.6077811	0.4083589	2.3885369	1.3747003	1.5806144	0.8457492	0.5735709	1.3820593	0.9019519	0.6719813	0.0709078	0.7401185	0.1783482	0.5829555	0.2363276	0.3255713	0.1914309	0.0044029	1.1467237	0.9313572	0.0060357	0.7687506	0.0353755	0.6625754	0.2573751	0.5742786	0.465053	0.28957	3.5570397	2.7950377	1.9188862	1.4486494	1.1121821	0.473884	2.5088314	2.0509279	1.7347138	1.3380822	2.2693984	1.8321563	0.9858475	1.6636189	0.882335	3.3049679	3.1410988	2.1627143	1.1132528	0.1429626	1.5684593	0.8405991	1.2854861	0.5351066	2.76783	1.2580259	2.4277434	1.1210408	2.1776451	1.8313146	1.1408733	0.5523254	1.501673	0.7072137	1.3273859	0.361653	1.1106475	0.3667576	0.9206247	0.3105023	2.9444882	1.5330558	0.8399637	1.4163445	1.0560162	0.7813563	0.5975025	0.1607675	1.2269834	0.9700774	0.4221422	0.2187275	0.1515434	0.9844388	0.8023026	0.4331547	0.3360639	0.250393	0.0594451	2.6878746	2.382411	0.9331273	2.0127882	0.7086121	0.0190289	1.6972691	1.4375279	1.1015358	0.8546436	0.3388704	2.537465	2.3757246	1.9684261	1.45074	1.5710973	1.3172175	0.9215923	2.0622308	1.5540968	1.2916688	0.6658158	0.3804542	0.1663762	0.1614731	2.1379959	1.6919774	1.0156112	0.8634202	0.2466256	1.265672	0.6927513	0.0042491	0.9336449	0.5936822	0.2568708	0.5125493	0.4020334	0.3207655	0.0329612	0.0001196	0.1780196	0.0008692	0.0002545
run10	5.1599137	4.6124463	3.7102608	2.3510926	2.5819825	1.851952	1.768116	5.103157	4.2909045	3.2537177	1.0370638	4.0498873	1.1295212	3.5711086	2.8808083	1.4379911	3.0373815	1.2795759	1.5849128	0.9356702	4.0397251	2.8842545	1.5202394	1.143291	2.6659352	2.5776804	2.4568595	2.1050204	0.7501685	2.3370772	1.8701068	1.2737929	1.0144726	0.2475842	0.4747066	2.241714	1.5324196	1.0291973	0.3228201	0.0914379	0.9549581	0.6708402	0.4389435	2.0543481	1.9241979	1.677485	1.2777158	1.4507363	1.1622822	0.9234086	0.6602858	0.01123	1.6759312	0.8270161	0.6308599	0.4180336	0.2731081	0.0874084	1.345724	0.4550558	0.1821213	0.0175073	0.0145895	0.0115274	1.0314023	0.2368563	0.2119355	0.0023915	0.0937156	0.004917	3.8914616	2.0090877	0.9023939	3.7773614	3.317377	2.4161957	1.6052339	0.4943302	0.1759693	1.3426909	0.0789695	1.1030766	0.8840497	0.4292685	0.258769	0.7472486	0.6076526	0.4066957	2.3898785	1.3794476	1.5778343	0.849038	0.5787634	1.3808494	0.9037806	0.6739793	0.0706615	0.7438318	0.1818441	0.5852487	0.2385938	0.3256606	0.1886597	0.0042966	1.1400722	0.9346881	0.0058761	0.7679077	0.0348682	0.6624822	0.2595412	0.5737524	0.4625785	0.2883977	3.5600164	2.8036884	1.9180311	1.4503796	1.1133071	0.4755985	2.5104644	2.0453396	1.7159149	1.3238262	2.2765368	1.8301352	0.9983013	1.6708502	0.8859997	3.3009898	3.1366972	2.166275	1.1231724	0.1429826	1.5726711	0.8408251	1.2868153	0.5327064	2.7659886	1.2616794	2.4240473	1.1225007	2.1774327	1.8288058	1.1411736	0.5450404	1.5038216	0.7064368	1.3275839	0.3635703	1.1094217	0.365289	0.9191206	0.3078544	2.9471255	1.535489	0.8360037	1.4171373	1.0554547	0.7777321	0.5951391	0.1612947	1.2305406	0.976435	0.4226608	0.2189637	0.1512277	0.9855872	0.8040112	0.432507	0.3349892	0.2506115	0.0603505	2.6888617	2.3949642	0.9280401	2.0120638	0.7087558	0.0189279	1.696544	1.4406272	1.0973056	0.8581754	0.3387634	2.5397145	2.3756564	1.9712837	1.4537169	1.5718842	1.3219791	0.9326081	2.0618778	1.5553226	1.2948517	0.6707299	0.3817203	0.1659997	0.162303	2.14779	1.6989363	1.017382	0.8660691	0.2455801	1.2676105	0.6977679	0.0042568	0.9327232	0.5956111	0.2572591	0.5167335	0.4042744	0.3209035	0.033163	0.0001209	0.1781502	0.000863000000000001	0.00027
