t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435
run1	5.5720956	5.4861455	5.072442	4.3362474	4.163	3.4656017	3.3583247	5.3891347	5.085378	4.6154473	2.5295001	4.9104895	3.0580235	4.5800798	4.137283	2.8573776	4.1721748	2.6903581	2.791659	2.0690873	4.7852229	3.7629856	3.0015936	2.5508353	3.4857628	3.3687575	3.206837	2.9857734	1.8923954	3.0512901	2.6065605	1.9478298	1.6523761	0.6662375	1.029729	2.9387347	2.3711294	2.000782	0.8549395	0.3053761	1.7101381	1.3339854	1.0471498	2.7264192	2.570181	2.3226051	2.0388337	2.0941782	1.8041765	1.5634706	1.3045383	0.050573	2.3453491	1.4366341	1.151441	0.8056323	0.5993369	0.2654173	2.0653311	1.0268408	0.5270067	0.0462382	0.0405134	0.0352114	1.8011809	0.5038017	0.4571324	0.0188805	0.2509095	0.0255352	4.6402744	3.5916905	2.4658434	4.5231297	4.1919819	3.521074	2.4175764	1.2506108	0.5558106	2.0537374	0.2636497	1.7228058	1.407701	0.8995273	0.6749478	1.2418209	1.0771163	0.8495336	3.3168769	2.5277217	2.2495722	1.6014075	1.300587	1.9759218	1.3975655	1.2354043	0.2273515	1.1851747	0.5469948	0.9779228	0.6020329	0.6441743	0.4611945	0.0234908	1.701235	1.4254473	0.0294301	1.202882	0.1316846	1.0644459	0.6402363	0.9615384	0.8381449	0.6434008	4.3094998	3.9671117	3.0286413	2.4556902	2.0529858	1.1534097	3.6358086	3.2244837	2.9244599	2.5884244	3.389673	2.8827003	2.2236232	2.7332431	1.9900588	4.0475694	3.8794692	3.062505	2.2428443	0.4347477	2.4382733	1.7422367	2.162905	1.2911345	3.514311	2.5027344	3.1507691	2.1873073	2.8820843	2.4976066	1.9220669	1.2765432	2.1277733	1.534645	1.9396827	0.9843938	1.6977497	0.9235563	1.5125109	0.7810458	3.7218854	2.231173	1.7903583	2.0604497	1.7717778	1.4676859	1.2752107	0.5154544	1.806922	1.5785558	1.0564073	0.4899009	0.3955407	1.532243	1.3108482	0.910722	0.6755819	0.5628302	0.1811147	3.4247434	3.136818	2.1355394	2.7563619	1.6864514	0.0728172	2.435351	2.162103	1.7804713	1.5041974	0.8147428	3.2630951	3.0993934	2.7774512	2.4151561	2.451804	2.2156055	1.8677065	2.8330399	2.3632481	2.0807099	1.255698	0.776196	0.4450296	0.5161005	2.8994911	2.5102128	1.9446372	1.7343403	0.7282044	2.0343948	1.5360601	0.0256566	1.5956924	0.9720347	0.647203	0.8703952	0.7180834	0.6121497	0.1229199	0.0060954	0.4286043	0.0137544	0.0058502
run2	5.5723312	5.4897575	5.070607	4.3253222	4.1761251	3.4759928	3.3643259	5.3895039	5.0911747	4.6254179	2.538679	4.9149281	3.0529085	4.5762296	4.1451731	2.8787856	4.1637326	2.6915178	2.7956328	2.0756277	4.7917068	3.7634964	3.0053987	2.5316588	3.485293	3.3686693	3.2042314	2.9857446	1.8878068	3.0491986	2.6085337	1.9543307	1.6531938	0.6720254	1.0358723	2.9356927	2.3735613	1.993353	0.8534225	0.3088245	1.6936668	1.3169742	1.0435551	2.7283141	2.5783449	2.3280749	2.0401768	2.103414	1.8091867	1.5678826	1.3123626	0.0497493	2.353666	1.4333516	1.1555337	0.8072988	0.5952072	0.2662819	2.0665392	1.0106813	0.5286887	0.0463735	0.0407561	0.0355025	1.8024066	0.5056624	0.4595779	0.0190555	0.2502552	0.0260871	4.650421	3.5824183	2.4539253	4.5297159	4.1985901	3.5251843	2.4238294	1.241544	0.5481586	2.0613533	0.2618492	1.7219421	1.4046838	0.8979456	0.6692931	1.243827	1.0765968	0.8457955	3.3258348	2.5303852	2.254682	1.6057002	1.3114444	1.9807715	1.400347	1.233399	0.2288255	1.1832889	0.5423453	0.9786368	0.6056019	0.640978	0.4583034	0.0231055	1.7065473	1.4230134	0.0293376	1.2091955	0.1307127	1.0654134	0.6424558	0.9598414	0.8363803	0.6400144	4.3135385	3.9780454	3.0337048	2.4589975	2.0573221	1.157807	3.6358527	3.224157	2.9157954	2.5783866	3.382127	2.8771917	2.2140935	2.7245972	1.98961	4.0490619	3.8842424	3.0598867	2.2478204	0.4403932	2.4321295	1.7499165	2.1648179	1.2932545	3.5200397	2.4947142	3.1521656	2.1917609	2.8887784	2.4945727	1.9124378	1.2685022	2.1305693	1.5419843	1.9373794	0.9851636	1.7048766	0.9238703	1.5195272	0.7801097	3.7232704	2.2332488	1.7868666	2.0691439	1.7787144	1.4854624	1.284537	0.5181606	1.8156802	1.5828556	1.0554035	0.4914388	0.4012564	1.5341855	1.3181784	0.9106624	0.6782356	0.5646959	0.1808776	3.4247521	3.1383295	2.1342938	2.7517843	1.6874926	0.0727881	2.4311573	2.1615978	1.7724297	1.4974553	0.8096406	3.2661306	3.0980793	2.7747215	2.4101954	2.4581949	2.2158127	1.8659224	2.8285152	2.3601856	2.0889053	1.2643148	0.7817225	0.447819	0.5117314	2.9050599	2.5122729	1.9516318	1.7314077	0.7309283	2.038753	1.5286021	0.0256742	1.5988445	0.9699697	0.644152	0.8649236	0.7160644	0.6086518	0.1221674	0.0061847	0.4274874	0.0136465	0.0057855
run3	5.5742738	5.4851535	5.0781413	4.339539	4.1708644	3.4806596	3.3456573	5.3895329	5.0881266	4.6221346	2.5127037	4.9153424	3.0608457	4.5780756	4.1365801	2.8686735	4.1647744	2.6906723	2.7893145	2.0634897	4.7924087	3.7688394	3.0094787	2.54148	3.4879952	3.3706648	3.2041156	2.9851561	1.8873041	3.0471902	2.6042558	1.9571563	1.6593467	0.6702904	1.0334342	2.9359331	2.3768138	2.0037552	0.8544828	0.3094071	1.7051205	1.3302607	1.050955	2.7292225	2.5766243	2.327617	2.0474305	2.101077	1.8088928	1.5586843	1.3088309	0.0496505	2.350262	1.4360283	1.1584092	0.8068589	0.5974679	0.2656792	2.0656279	1.021049	0.532616	0.0463162	0.0408216	0.0358171	1.8048541	0.5045674	0.4589704	0.0190129	0.2498811	0.0256731	4.6501913	3.5975853	2.4763771	4.5256816	4.1988052	3.5275192	2.4212702	1.2481157	0.5558411	2.0576632	0.2623659	1.7263388	1.404946	0.8978902	0.6706753	1.2462408	1.0779502	0.8451121	3.3265517	2.5298461	2.2562389	1.597174	1.2986436	1.9789023	1.4004792	1.2344409	0.2267183	1.1875665	0.5455846	0.9797481	0.6012606	0.6400069	0.4589422	0.0233637	1.7020875	1.4257569	0.0295346	1.2003778	0.1325328	1.0597953	0.6362295	0.9588228	0.839023	0.6402023	4.3118008	3.9644057	3.0137296	2.4586921	2.0654105	1.1553574	3.632737	3.2222594	2.9200352	2.5815782	3.3900013	2.8908726	2.2187054	2.7404009	1.9908223	4.0497436	3.8842465	3.0602143	2.2482965	0.4394259	2.4303569	1.7490421	2.1602247	1.288448	3.5183467	2.5034155	3.1551307	2.187731	2.8822608	2.4915369	1.9153921	1.2778209	2.1204938	1.5308103	1.935667	0.9841289	1.6977747	0.9246492	1.5137461	0.7815741	3.7253934	2.2438298	1.793997	2.0631228	1.7715705	1.4752792	1.2770815	0.515373	1.8100524	1.5786662	1.058559	0.4913517	0.3979529	1.5304256	1.3196498	0.9112969	0.6803293	0.5632219	0.1822297	3.4238729	3.1347243	2.1468326	2.7501965	1.6937712	0.0736056	2.4351032	2.1544272	1.7736907	1.5039211	0.8189284	3.2608251	3.0941661	2.7726015	2.417683	2.4477302	2.212821	1.8625861	2.8256625	2.3637358	2.086627	1.264287	0.7828607	0.4455728	0.5122502	2.9010682	2.5082655	1.9436979	1.7439371	0.7322288	2.0308178	1.5254848	0.0254356	1.5911753	0.9731187	0.64459	0.8690259	0.7151833	0.6093266	0.1222755	0.0061771	0.4282177	0.0136215	0.0057802
run4	5.5727526	5.4899928	5.075095	4.3321911	4.1674778	3.4852886	3.3670698	5.3892231	5.093114	4.6233625	2.5418977	4.9105755	3.0559677	4.5743784	4.1366299	2.8662426	4.1642956	2.678099	2.7903294	2.0757396	4.7923733	3.7699944	3.0093424	2.5447855	3.4887001	3.3707259	3.2059836	2.9856185	1.8957019	3.0572178	2.6107881	1.9531239	1.6571934	0.6716302	1.0258678	2.944824	2.3689211	1.9953414	0.8504019	0.3068393	1.6970948	1.3243158	1.0516393	2.7252091	2.5738125	2.319332	2.0290047	2.0944694	1.8107391	1.5647858	1.3138237	0.0498681	2.3416223	1.4344129	1.1575693	0.8055879	0.5961004	0.2633256	2.0546256	1.0166045	0.5287117	0.0462336	0.0408107	0.035441	1.8039835	0.5009923	0.4549111	0.0191886	0.2501576	0.026021	4.6504714	3.5877224	2.45363	4.533233	4.1937131	3.5302186	2.4280059	1.2505406	0.5559397	2.0596987	0.2622342	1.7275134	1.4026419	0.8997912	0.6766697	1.2387403	1.0748123	0.8458074	3.3310188	2.5374057	2.265481	1.6115532	1.3030703	1.9872656	1.3993861	1.2352797	0.229522	1.183227	0.542777	0.9787953	0.599229	0.6422932	0.4632283	0.0235114	1.7120112	1.4242815	0.0296607	1.2032117	0.1324035	1.0647897	0.64011	0.9630544	0.8397744	0.6427643	4.3192952	3.9737462	3.0292492	2.457246	2.0475346	1.1503108	3.6306982	3.2246236	2.9202021	2.5775179	3.384939	2.8894991	2.2116556	2.7402317	1.98595	4.0575824	3.8958093	3.0619126	2.2409253	0.4419196	2.4403542	1.7534513	2.1653689	1.2901467	3.5240965	2.4994998	3.1606913	2.186726	2.8967486	2.4995742	1.9230761	1.2828798	2.1315157	1.5380056	1.9357611	0.9880927	1.7031212	0.9210286	1.5163796	0.7817863	3.7321351	2.2390833	1.7893507	2.0649875	1.773407	1.4799202	1.274059	0.517681	1.8195676	1.583037	1.0628628	0.4898251	0.397327	1.5320763	1.3203109	0.9124591	0.6802328	0.5662006	0.181084	3.4323091	3.1358416	2.1307221	2.7544434	1.6925949	0.0720867	2.4348337	2.1673416	1.7803696	1.5055666	0.8157636	3.2642582	3.1013294	2.7707376	2.4132712	2.4440912	2.2108762	1.8677687	2.8252322	2.3604801	2.0872807	1.262468	0.7748361	0.4476067	0.5162506	2.9092419	2.5221579	1.948686	1.7344001	0.7320118	2.0341792	1.5252199	0.0257873	1.6002133	0.9720097	0.6441689	0.8709599	0.719959	0.6113088	0.1235035	0.0061784	0.4281517	0.0132075	0.0057225
run5	5.5712888	5.4869755	5.0746856	4.3273937	4.1738904	3.4851134	3.3583225	5.3897265	5.0911241	4.6248227	2.5280797	4.9180715	3.0744081	4.5760988	4.1423505	2.8600534	4.1612005	2.6741632	2.7784543	2.066321	4.7949695	3.7650373	3.0053288	2.5354968	3.4870044	3.3692423	3.204417	2.9795429	1.8834604	3.052692	2.6073608	1.9468081	1.651922	0.6669095	1.0318253	2.9383708	2.3654135	1.9891723	0.8537102	0.3091233	1.6978412	1.3129723	1.0474669	2.7290605	2.5724216	2.3236368	2.0452921	2.1024624	1.8052281	1.5608186	1.3066959	0.0496636	2.3462743	1.4330551	1.1535566	0.8101301	0.5984962	0.2644312	2.0638034	1.0190925	0.5299968	0.045981	0.0407036	0.035447	1.8010675	0.4986137	0.4553379	0.0188928	0.2516693	0.0259052	4.6512918	3.5917869	2.4457917	4.5342726	4.1996813	3.532439	2.4212268	1.2486864	0.5541898	2.0574433	0.2646369	1.72633	1.4075826	0.895315	0.6700062	1.2407688	1.0729631	0.8420575	3.3296102	2.5365675	2.2542676	1.6033605	1.303439	1.983016	1.4018174	1.23721	0.2298077	1.1861717	0.5472853	0.9794691	0.6023197	0.6423627	0.4596419	0.0233516	1.7069445	1.4264299	0.0294086	1.2006922	0.1315592	1.0620612	0.6398265	0.9618558	0.8410839	0.6428187	4.3150234	3.9648645	3.0315193	2.4696724	2.0553642	1.1512399	3.6403077	3.2147553	2.9163878	2.5821121	3.3906001	2.8918741	2.2133515	2.7391829	1.9945639	4.0533102	3.8901137	3.0583321	2.2449781	0.438524	2.4416138	1.7537081	2.1629394	1.2873313	3.5263545	2.5100886	3.1638818	2.1764143	2.8884984	2.4980157	1.9169583	1.2787738	2.1263923	1.5260149	1.9393823	0.9792421	1.6998381	0.9207395	1.5143465	0.7741178	3.7255774	2.2396845	1.7913569	2.0653298	1.7734226	1.471697	1.2719889	0.518067	1.8190294	1.5858527	1.0556857	0.4896204	0.3966572	1.5327733	1.3213809	0.9170959	0.6738727	0.5622684	0.1817507	3.4237258	3.1449202	2.1358881	2.7593748	1.6783665	0.0729011	2.4375856	2.1635793	1.7802005	1.5051422	0.8150583	3.2612601	3.0992602	2.7766507	2.417628	2.4560089	2.2144472	1.8628805	2.8281234	2.3620804	2.0903825	1.2586623	0.7836935	0.4449335	0.5158687	2.9060531	2.5152025	1.9489223	1.7324357	0.7288902	2.0320283	1.5292677	0.0256971	1.5973416	0.9687869	0.64237	0.8634576	0.7150555	0.6076043	0.1220319	0.0061565	0.4286673	0.0133072	0.0057583
run6	5.5712998	5.4904954	5.0798703	4.3355491	4.1643945	3.4721614	3.3674236	5.3895656	5.0867686	4.6184446	2.5392303	4.9078773	3.0686394	4.5776467	4.1461339	2.8656908	4.1685334	2.6797032	2.7866704	2.0721631	4.7937851	3.7697557	3.0079647	2.5507092	3.490104	3.3649192	3.2000249	2.9833529	1.8946635	3.0456662	2.6085176	1.9539683	1.6561469	0.6738216	1.029879	2.9342588	2.3757955	1.9913756	0.8608968	0.3115491	1.700439	1.3216061	1.0538813	2.7248274	2.574001	2.3223985	2.043004	2.0984018	1.8083529	1.5641672	1.3109595	0.0501856	2.3516565	1.4326227	1.1539721	0.8114276	0.6011697	0.265658	2.0666584	1.023622	0.5308947	0.0464364	0.0408407	0.0353496	1.8030741	0.5043413	0.4584806	0.0188079	0.2510629	0.0259641	4.6488378	3.5973514	2.4728494	4.5299211	4.2014092	3.5347819	2.4188898	1.2531251	0.5578709	2.0560296	0.2643263	1.7289068	1.4098938	0.9024744	0.6787893	1.2469395	1.0800645	0.8493713	3.3275362	2.5377546	2.2586233	1.6052377	1.2969887	1.9831681	1.3978789	1.2339252	0.226118	1.1818045	0.5433077	0.979528	0.6011321	0.6442473	0.4629958	0.023602	1.7014058	1.4282085	0.0296298	1.2054336	0.132821	1.0653012	0.6414436	0.961113	0.8392926	0.6444473	4.3121798	3.9717113	3.0279216	2.4709112	2.0680456	1.1581678	3.6313156	3.2302422	2.9142947	2.5791971	3.3861682	2.8852018	2.2140725	2.7293439	1.9968203	4.0535743	3.8879744	3.0649092	2.2487501	0.4400782	2.4343349	1.7510464	2.1670458	1.2926537	3.5196732	2.503832	3.1552341	2.1805656	2.882244	2.4959722	1.9215976	1.2733016	2.1290387	1.5386873	1.9379021	0.9868741	1.7058799	0.9273415	1.5191791	0.7775318	3.7273391	2.2403404	1.7935657	2.0644788	1.7678577	1.4739753	1.2813876	0.5137122	1.8157825	1.5785247	1.0579293	0.4900769	0.3970682	1.52632	1.3160519	0.9130024	0.6760194	0.5629822	0.1804253	3.4200576	3.1327676	2.130023	2.7547328	1.6831798	0.0721783	2.4336947	2.160135	1.7793219	1.5026743	0.8156983	3.2615087	3.1049298	2.7785719	2.4203352	2.4527234	2.2071582	1.8659832	2.8310912	2.3605313	2.0921274	1.2607281	0.7807896	0.4480457	0.5156595	2.9014125	2.5069944	1.9486443	1.7401225	0.7341249	2.0339006	1.5297431	0.0256778	1.5941064	0.968104	0.643287	0.8669386	0.7162122	0.61246	0.122269	0.0061948	0.4289511	0.0135162	0.0056218
run7	5.566777	5.4814897	5.0710752	4.3318581	4.1731248	3.480736	3.3702448	5.3897941	5.0880972	4.6196114	2.5428953	4.9119976	3.0707467	4.5770073	4.1385937	2.8739096	4.161931	2.6807762	2.7902327	2.0817757	4.7916076	3.76603	2.9948966	2.5406946	3.4786348	3.3631652	3.1988441	2.9773427	1.8974023	3.047341	2.6041777	1.9527933	1.6554815	0.6691824	1.0305447	2.9365962	2.3670578	1.9827268	0.8496779	0.3075963	1.6910719	1.3283793	1.0562497	2.7311232	2.5757052	2.3224267	2.0396181	2.0941134	1.8058611	1.5608392	1.3101206	0.0498484	2.3496689	1.4282254	1.1496705	0.8072843	0.5965347	0.2685965	2.0633586	1.0198478	0.5250871	0.0464669	0.0408798	0.0357092	1.8006113	0.5013819	0.4540497	0.0193028	0.251426	0.0259622	4.6464202	3.6004347	2.4429908	4.5256544	4.1934328	3.5239575	2.4178606	1.2502658	0.5523904	2.0616281	0.2632253	1.7252611	1.4034836	0.9042667	0.6726856	1.2411139	1.0748246	0.8439303	3.3200871	2.536815	2.2576427	1.5983928	1.3005048	1.9873211	1.3977934	1.2355451	0.2292959	1.1829932	0.5441859	0.9768669	0.6015332	0.6396149	0.4576694	0.0233683	1.7103142	1.4225621	0.029561	1.2000894	0.1320419	1.0604504	0.64223	0.9575768	0.8377342	0.6420612	4.3102283	3.9716772	3.0259142	2.4626238	2.0590921	1.1518513	3.6242764	3.217696	2.917064	2.5812377	3.38135	2.8811917	2.2084898	2.7277311	1.9870374	4.0496802	3.8827235	3.0587869	2.2432418	0.4391467	2.4251927	1.745864	2.1538037	1.2935138	3.5182903	2.5070478	3.1519503	2.1857741	2.8841321	2.4980387	1.9215767	1.2773959	2.1275562	1.5308847	1.9340382	0.9816362	1.7053188	0.9229011	1.518291	0.7786803	3.7188254	2.2314134	1.7909049	2.0536602	1.7626849	1.4731117	1.2789699	0.5191871	1.8055413	1.5759848	1.0541805	0.4911976	0.3964807	1.5312623	1.3132564	0.9099956	0.6789791	0.565172	0.180641	3.4209213	3.1251935	2.128467	2.7503155	1.6808438	0.0717704	2.4285076	2.1576243	1.774771	1.4975637	0.810027	3.2581618	3.0913665	2.7647508	2.4084704	2.4432118	2.2091839	1.8590236	2.8252749	2.3584968	2.0799105	1.2593745	0.7744855	0.4464292	0.5151662	2.9020339	2.5081392	1.9479836	1.734792	0.7285249	2.0384275	1.5228409	0.0256363	1.6073119	0.9735198	0.6468873	0.8703869	0.7193467	0.6133927	0.1219417	0.0061435	0.4306103	0.0136605	0.0057727
run8	5.5739982	5.4855941	5.0759926	4.3279199	4.1622853	3.4775505	3.3536239	5.3891968	5.093112	4.6317502	2.5456858	4.9149524	3.0773412	4.577979	4.1455976	2.8670296	4.1636622	2.6843177	2.8008754	2.0805549	4.7934718	3.7713195	3.0154913	2.545051	3.4881872	3.3665775	3.2072042	2.9818723	1.8897799	3.0545039	2.6031735	1.9476908	1.6573697	0.6670876	1.0316023	2.93893	2.3804403	2.0007417	0.8557014	0.3046365	1.697223	1.3298869	1.0502895	2.7278246	2.5763875	2.3278765	2.0440078	2.1007883	1.808831	1.5618178	1.3110937	0.0501967	2.3493688	1.4379604	1.1593324	0.8117833	0.6000023	0.2686184	2.0647126	1.0197617	0.5284246	0.0464322	0.0410459	0.0355832	1.8024871	0.5008117	0.454845	0.0191056	0.2505833	0.0255593	4.6508216	3.5994312	2.4543101	4.5348762	4.2053933	3.5303088	2.4210004	1.2483542	0.5489135	2.0636907	0.2638924	1.7322621	1.4104313	0.9062237	0.6779487	1.2451539	1.0816654	0.8510996	3.3288958	2.5296505	2.2512717	1.600491	1.2941465	1.9809566	1.4023921	1.2397765	0.2286071	1.183642	0.5490115	0.9826648	0.6013429	0.6416301	0.4596629	0.023042	1.7083325	1.4258394	0.0296767	1.2038003	0.131594	1.0648222	0.6378766	0.9623718	0.8417102	0.6416325	4.3188114	3.9774731	3.0307762	2.460334	2.0593891	1.1501489	3.642088	3.218803	2.9115579	2.5793471	3.3885688	2.8835462	2.2240829	2.7386843	1.9978799	4.055042	3.8884006	3.0623885	2.2415446	0.4422136	2.439884	1.7531351	2.1694625	1.2914056	3.521967	2.5023199	3.1587488	2.1859628	2.8876617	2.4960106	1.9191061	1.2728393	2.1300211	1.5332846	1.9349259	0.9860633	1.7025119	0.915886	1.5116747	0.7806019	3.7274496	2.2522897	1.7960492	2.0753259	1.7757745	1.4749711	1.2854322	0.5156861	1.8206127	1.5840276	1.0582343	0.4921887	0.3986781	1.5370076	1.3223146	0.9155399	0.6806641	0.5663299	0.1797328	3.4314871	3.1411355	2.1304387	2.7597384	1.6945782	0.0729201	2.4391158	2.1661505	1.7829963	1.5152767	0.8149216	3.2686233	3.1003095	2.7779229	2.4137784	2.4497121	2.209288	1.8606425	2.8321356	2.3605967	2.084046	1.2571337	0.7839031	0.4498035	0.5169237	2.9097439	2.5117086	1.9456457	1.7391057	0.7345165	2.0320229	1.5255881	0.0254548	1.6016315	0.9720785	0.6487905	0.867965	0.717934	0.6112876	0.1232375	0.0063007	0.4273613	0.0139129	0.0058173
run9	5.570674	5.4901499	5.0827151	4.32683	4.1680094	3.478577	3.3461014	5.3893468	5.0886882	4.6247515	2.534625	4.9178611	3.0690669	4.5815282	4.1386469	2.8695681	4.1676479	2.6879052	2.793282	2.0739061	4.7878784	3.7675537	2.996742	2.542443	3.4812369	3.3628375	3.1999402	2.983606	1.8911249	3.0487081	2.599886	1.9500528	1.6580134	0.6699929	1.0299609	2.9326183	2.3686573	1.9851047	0.8485697	0.3073604	1.6982486	1.322117	1.0474349	2.7240166	2.5681786	2.318985	2.0330483	2.0921199	1.8014494	1.5586818	1.304032	0.0502724	2.3459479	1.4301844	1.1520388	0.8089251	0.5985845	0.2651749	2.0555241	1.0226289	0.5331707	0.0465057	0.0408747	0.0355186	1.798652	0.4983793	0.4561462	0.01903	0.2508654	0.0257357	4.6457698	3.5899498	2.455932	4.5249458	4.1927513	3.5291929	2.4154767	1.2470438	0.551845	2.0576571	0.2609443	1.7205026	1.4058336	0.9026207	0.6708711	1.2401053	1.0736494	0.8474917	3.3215574	2.5423234	2.2534254	1.5999467	1.3030189	1.9846882	1.4061288	1.237203	0.2277669	1.1877921	0.5470489	0.9858679	0.6036137	0.6418153	0.4620987	0.0237335	1.7072271	1.4259819	0.0295714	1.2021249	0.1318976	1.0653741	0.6386254	0.9617713	0.8404261	0.6430647	4.3128525	3.9677167	3.0233891	2.4490559	2.0434769	1.1480755	3.6299528	3.2196743	2.916151	2.5889442	3.3877491	2.8824654	2.2152083	2.7285502	1.9860848	4.0494639	3.8837693	3.0531339	2.236287	0.4395913	2.435658	1.7548639	2.1601974	1.289581	3.5141825	2.4975317	3.1558845	2.1842087	2.8850205	2.5010043	1.9225875	1.2782834	2.1338452	1.5406533	1.9412182	0.983557	1.7057094	0.922398	1.517422	0.7775174	3.7208046	2.2331621	1.7860641	2.0650559	1.7737051	1.4742972	1.2800811	0.5192542	1.8116594	1.5804109	1.0545165	0.49006	0.3987254	1.532822	1.3186864	0.9102092	0.6771644	0.5623768	0.1821027	3.4205711	3.1336738	2.1188364	2.7498711	1.6837901	0.071821	2.4351694	2.1580094	1.7756237	1.5005778	0.8135921	3.2601132	3.0967552	2.7754775	2.4162668	2.4463463	2.2071947	1.8619781	2.8191243	2.3559006	2.0804104	1.2601051	0.7781867	0.4439679	0.5137299	2.9020081	2.5133663	1.9519294	1.7309536	0.7229577	2.0392106	1.5314339	0.0256572	1.6023445	0.9737725	0.6475525	0.8701862	0.7181336	0.6126585	0.1229691	0.0063095	0.4321119	0.0135383	0.0056859
run10	5.568559	5.4856643	5.0774167	4.3323963	4.1714145	3.469097	3.3573389	5.3894174	5.086161	4.618314	2.5393398	4.9091143	3.065312	4.5791824	4.1393115	2.8718371	4.1701831	2.6852932	2.7890995	2.0775285	4.7915646	3.7677268	3.0113762	2.5407497	3.4896741	3.3715786	3.2062036	2.9794845	1.8945074	3.0521253	2.6039681	1.9532828	1.6570368	0.6681717	1.031657	2.9395218	2.374443	1.9969088	0.8512937	0.3111937	1.6953918	1.3231021	1.0498104	2.7336294	2.5751467	2.3302402	2.040964	2.1032018	1.8134639	1.5646195	1.3096809	0.0502034	2.3492385	1.4294078	1.157445	0.8088828	0.601036	0.2638577	2.067552	1.0207843	0.5290458	0.0461531	0.0407102	0.035463	1.8056957	0.5066204	0.4617538	0.0189334	0.2519374	0.0260616	4.6466637	3.5847464	2.4536392	4.5279803	4.195641	3.5301287	2.4185134	1.2558615	0.5545464	2.0621356	0.2611021	1.7213648	1.409689	0.8985834	0.6731628	1.2448244	1.0747056	0.8493147	3.3236118	2.5318023	2.2601145	1.6097567	1.3032601	1.984452	1.4011947	1.2385571	0.2281949	1.1850562	0.5465146	0.980389	0.5975614	0.6422209	0.4615977	0.0234473	1.7113198	1.4291307	0.0297948	1.2035955	0.1312087	1.0635947	0.6370893	0.9610641	0.8393381	0.6420683	4.3159846	3.9714703	3.0263742	2.4551565	2.0573358	1.1509464	3.6373922	3.2274948	2.9168866	2.5824901	3.391779	2.8944609	2.2296347	2.740667	1.9871772	4.0513203	3.8824913	3.0570917	2.2351268	0.442659	2.4327425	1.740983	2.1574276	1.2942593	3.5203218	2.5120006	3.1516933	2.188777	2.8864211	2.4952318	1.9236704	1.2782891	2.1299187	1.5359199	1.9404215	0.9810937	1.6988317	0.9202605	1.515761	0.7774848	3.7274041	2.2379027	1.7924368	2.0663127	1.7742845	1.4829318	1.2891027	0.517444	1.8117977	1.5793166	1.0582942	0.4914528	0.3964007	1.5323551	1.3157024	0.9152287	0.6780246	0.5631307	0.1822709	3.4318941	3.1435909	2.1327582	2.7613908	1.6928086	0.0723088	2.4390374	2.1639656	1.7783166	1.5042203	0.8118657	3.2677396	3.101586	2.77441	2.4116804	2.4516504	2.2161366	1.8597839	2.8328971	2.366867	2.0916283	1.2751868	0.7779374	0.4474242	0.5159827	2.9081908	2.512955	1.9521618	1.7354294	0.7276864	2.0351205	1.5345054	0.026007	1.595161	0.9710767	0.6439398	0.8650819	0.7159462	0.6110013	0.1228167	0.0061494	0.4287567	0.013367	0.0057522
