Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	534.449	516.05	556.06	B(5.14,6.361,1e-300,0.025)
t_n220	519.092	489.04	550.48	0
t_n221	479.208	435.46	516.99	0
t_n222	385.615	305.03	445.68	0
t_n223	378.159	296.96	440.93	0
t_n224	306.965	226.21	381.57	0
t_n225	291.275	211.87	367	0
t_n226_Chelicerata	525.537	510.29	538.96	B(5.09,5.388,1e-300,0.025)
t_n227	476.925	443.82	502.6	0
t_n228	417.08	364.83	456.8	0
t_n229	146.703	81.54	220.26	0
t_n230	451.228	411.52	482.1	0
t_n231	254.498	171.96	336.19	0
t_n232	398.216	344.98	440.2	0
t_n233	349.963	292.26	399.33	0
t_n234	209.942	147.8	268.29	0
t_n235	347.633	290.68	396.47	0
t_n236	164.682	105.44	227.23	0
t_n237	176.255	117.21	236.15	0
t_n238	121.87	77.23	172.86	0
t_n239	395.408	359.05	427.11	0
t_n240_Nymphonoidea	276.49	238.26	313.66	0
t_n241	194.51	152.51	236.28	0
t_n242	160.112	115.5	206.15	0
t_n243	252.23	216.27	287.8	0
t_n244	240.85	205.04	276.54	0
t_n245	226.059	190.03	262.18	0
t_n246	237.498	202.87	271.97	0
t_n247	217.454	184.3	251.05	0
t_n248	118.38	85.54	153.18	0
t_n249	169.707	139.36	201.5	0
t_n250	82.396	59.98	108.4	0
t_n251	66.647	47.85	89.01	0
t_n252	15.655	10.04	23.41	0
t_n253	30.814	21	43.52	0
t_n254	227.025	193.48	260.66	0
t_n255	198.493	166.91	230.74	0
t_n256	160.758	129.96	192.76	0
t_n257	109.291	80.22	141.02	0
t_n258	32.868	19.55	50.72	0
t_n259	133.767	103.45	165.74	0
t_n260	97.407	72.68	125.06	0
t_n261	75.733	54.49	100.49	0
t_n262	209.516	177.66	241.88	0
t_n263	185.148	154.39	216.93	0
t_n264	115.252	89.33	143.58	0
t_n265	78.582	57.82	102.6	0
t_n266	60.345	43.03	80.97	0
t_n267	20.609	12.44	31.81	0
t_n268	41.263	28.65	56.73	0
t_n269	199.071	168.34	230.36	0
t_n270	174.603	146.1	204.16	0
t_n271	152.948	125.86	181.55	0
t_n272	156.93	130.21	185.11	0
t_n273	131.972	107.73	158.11	0
t_n274	112.038	89.75	136.55	0
t_n275	93.316	72.67	116.45	0
t_n276	0.517	0.06	1.43	0
t_n277	173.37	144.78	203.16	0
t_n278	103.148	77.91	130.83	0
t_n279	53.096	36.03	74.08	0
t_n280	3.414	1.62	6.31	0
t_n281	2.84	1.27	5.38	0
t_n282	1.96	0.73	3.97	0
t_n283	147.773	120.73	176.51	0
t_n284	87.855	53.14	126.79	0
t_n285	54.418	37.72	74.57	0
t_n286	1.047	0.32	2.26	0
t_n287	24.664	15.73	36.56	0
t_n288	1.485	0.56	2.95	0
t_n289	380.733	343.88	413.06	0
t_n290_Ausctrodecidae	345.241	288.43	392.19	0
t_n291	263.279	208.46	319.23	0
t_n292	176.831	117.47	237.77	0
t_n293	370.359	333.66	402.86	0
t_n294	340.842	303.65	374.76	0
t_n295_Pycnogonidae	203.8	162.28	244.95	0
t_n296	116.755	81.96	155.66	0
t_n297	54.813	34.54	81.13	0
t_n298	161.946	124.64	200.82	0
t_n299	23.166	12.6	38.81	0
t_n300	118.658	87.82	153.1	0
t_n301	95.483	69.88	124.98	0
t_n302	60.938	42.69	83.23	0
t_n303	42.554	28.91	59.82	0
t_n304	81.552	59.12	107.81	0
t_n305	69.288	49.8	92.51	0
t_n306	51.93	36.77	70.48	0
t_n307_Colossendeidae	259.946	223.19	296.2	B(1.605,5.388,1e-300,0.025)
t_n308	182.943	143.5	222.98	0
t_n309	167.093	133.73	202.1	0
t_n310	107.988	80.34	139.1	0
t_n311	85.735	61.98	113.69	0
t_n312	150.185	118.92	183.66	0
t_n313	100.259	75.83	127.82	0
t_n314	83.904	62.01	109.21	0
t_n315	12.415	7.53	19.45	0
t_n316	84.668	63.12	109.41	0
t_n317	34.074	22.71	48.75	0
t_n318	67.884	49.84	89.06	0
t_n319	36.752	25.55	50.85	0
t_n320	37.927	26.67	52.02	0
