Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	533.563	515.85	554.31	B(5.14,6.361,1e-300,0.025)
t_n220	519.119	490.66	548.94	0
t_n221	479.866	436.66	516.62	0
t_n222	387.002	294.02	448.41	0
t_n223	382.244	298.56	447.15	0
t_n224	307.708	227.59	388.41	0
t_n225	294.37	214.72	377.31	0
t_n226_Chelicerata	525.403	510.3	538.93	B(5.09,5.388,1e-300,0.025)
t_n227	477.312	441.66	503.15	0
t_n228	418.679	362.05	459	0
t_n229	155.227	83.2	235.18	0
t_n230	457.104	414.86	487.04	0
t_n231	260.335	171.55	342.37	0
t_n232	410.236	349.31	450.19	0
t_n233	363.083	293.75	411.17	0
t_n234	219.161	147.28	283.26	0
t_n235	362.338	294.13	409.78	0
t_n236	177.083	109.1	246.01	0
t_n237	190.335	122.59	255.92	0
t_n238	133.992	82.04	191.99	0
t_n239	403.156	366.5	434.83	0
t_n240_Nymphonoidea	296.727	256.8	334.82	0
t_n241	234.934	186.09	280.96	0
t_n242	194.501	149.69	239.76	0
t_n243	273.86	235.16	311.58	0
t_n244	265.14	227	302.39	0
t_n245	252.2	215.08	288.69	0
t_n246	234.495	196.99	272.01	0
t_n247	127.154	88.85	167.89	0
t_n248	238.922	203.09	274.52	0
t_n249	175.751	142.42	210.45	0
t_n250	87.656	62.33	116.94	0
t_n251	71.659	50.17	97.2	0
t_n252	17.703	10.98	27.27	0
t_n253	34.172	22.68	49.24	0
t_n254	231.667	196.63	266.72	0
t_n255	188.262	155.77	221.87	0
t_n256	156.51	125.1	189.93	0
t_n257	74.147	49.92	102.86	0
t_n258	30.774	17.95	48.35	0
t_n259	120.981	91.26	153.49	0
t_n260	92.245	67.56	120.51	0
t_n261	70.584	49.89	95.34	0
t_n262	214.972	181.48	248.99	0
t_n263	203.218	171.07	236.18	0
t_n264	178.913	148.88	210.43	0
t_n265	155.706	127.09	186.33	0
t_n266	160.763	132.63	190.83	0
t_n267	136.653	110.82	164.66	0
t_n268	118.261	94.32	144.6	0
t_n269	99.099	76.97	124.11	0
t_n270	2.752	1.23	5.21	0
t_n271	188.393	157.69	220.26	0
t_n272	101.55	74.86	131.17	0
t_n273	81.484	58.44	108.21	0
t_n274	54.845	38.08	75.47	0
t_n275	39.456	26.73	55.59	0
t_n276	13.884	8.24	21.85	0
t_n277	168.45	139.5	198.99	0
t_n278	80.704	56.79	108.42	0
t_n279	38.024	24.22	56.2	0
t_n280	4.44	2.23	8.1	0
t_n281	3.998	1.97	7.37	0
t_n282	3.536	1.67	6.64	0
t_n283	147.556	120.02	177.19	0
t_n284	53.084	35.54	74.79	0
t_n285	50.083	33.74	70.26	0
t_n286	1.026	0.28	2.3	0
t_n287	24.369	15.35	36.52	0
t_n288	1.785	0.73	3.47	0
t_n289	391.791	354.88	424.08	0
t_n290_Ausctrodecidae	283.011	222.66	336.89	0
t_n291	181.416	116.38	248.06	0
t_n292	382.899	345.97	415.42	0
t_n293	355.579	318.09	389.52	0
t_n294	291.167	245.93	333.65	0
t_n295_Pycnogonidae	194.886	153.9	236.82	0
t_n296	117.232	82.27	157.07	0
t_n297	57.455	35.93	85.76	0
t_n298	158.246	121.16	198.09	0
t_n299	22.585	11.94	38.65	0
t_n300	123.452	91.5	159.64	0
t_n301	93.764	68.08	124	0
t_n302	59.144	40.93	81.89	0
t_n303	41.671	28.01	59.42	0
t_n304	79.865	57.38	106.83	0
t_n305	67.707	48.17	91.49	0
t_n306	51.196	35.82	70.37	0
t_n307_Colossendeidae	281.162	241.87	319.9	B(1.605,5.388,1e-300,0.025)
t_n308	202.524	157.54	247.74	0
t_n309	192.018	154.65	231.34	0
t_n310	125.587	92.55	162.67	0
t_n311	99.239	70.65	132.86	0
t_n312	172.8	137.37	210.79	0
t_n313	121.155	92.07	154.29	0
t_n314	104.802	77.88	136.09	0
t_n315	16.204	9.38	26.3	0
t_n316	101.042	75.34	130.85	0
t_n317	41.713	27.3	60.7	0
t_n318	80.549	58.95	106.43	0
t_n319	43.705	29.95	61.33	0
t_n320	45.332	31.47	63.03	0
t_n321	30.374	20.55	43.42	0
t_n322	0.93	0.38	1.81	0
t_n323	148.66	115.94	184.75	0
t_n324	121.969	92.89	155.17	0
t_n325	3.046	1.21	6.22	0
t_n326	100.034	74.73	129.74	0
t_n327	16.065	8.92	26.89	0
t_n328	87.148	64.5	114.21	0
t_n329	43.727	30.09	61.36	0
t_n330	78.205	57.48	103.28	0
t_n331	67.429	49.04	89.96	0
t_n332	49.288	34.95	67.32	0
t_n333	363.794	326.93	396.8	0
t_n334_Ascorhynchidae	343.325	306.16	377.31	0
t_n335	233.999	184.94	279.1	0
t_n336	175.165	130.54	220.31	0
t_n337	140.116	101.17	182.34	0
t_n338	55.807	35.14	82.89	0
t_n339	324.562	287.19	359.09	0
t_n340	289.853	250.83	326.95	0
t_n341	259.917	219.65	298.91	0
t_n342	222.459	180.14	264.21	0
t_n343	302.175	263.36	338.55	0
t_n344	260.398	221.73	297.56	0
t_n345	188.333	145.91	230.47	0
t_n346	244.463	204.86	282.81	0
t_n347	163.19	122.34	204.79	0
t_n348	331.166	294.87	364.72	0
t_n349_Phoxichilidioidea	314.589	278.79	348.17	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	211.277	168.08	252.25	0
t_n351	142.707	104.02	183.74	0
t_n352	20.8	11.36	35.16	0
t_n353	153.156	115.42	192.35	0
t_n354	97.689	68.76	130.93	0
t_n355	135.158	100.26	172.42	0
t_n356	65.157	43.23	92.28	0
t_n357_Phoxichilidiidae	266.374	230.64	301.12	0
t_n358	159.273	115.1	202.89	0
t_n359	226.515	191.52	261.58	0
t_n360	124.769	89.2	162.54	0
t_n361	204.118	170.32	238.57	0
t_n362	163.253	131.92	196.29	0
t_n363	113.406	86.47	143.39	0
t_n364	66.901	47.25	90.81	0
t_n365	131.914	104.11	162.11	0
t_n366	86.874	64.39	112.85	0
t_n367	118.765	92.88	147.26	0
t_n368	47.003	31.52	66.48	0
t_n369	102.077	78.85	128.16	0
t_n370	42.052	28.71	58.83	0
t_n371	90.476	69.06	114.97	0
t_n372	34.003	23	48.06	0
t_n373	308.917	273.59	342.2	0
t_n374_Pallenopsidae	224.892	188.58	260.64	0
t_n375	172.897	135.85	210.88	0
t_n376	210.672	175.38	245.88	0
t_n377	185.242	151.52	219.79	0
t_n378	156.143	124.52	189.6	0
t_n379	133.324	103.78	165.53	0
t_n380	58.765	38.45	84.03	0
t_n381	181.694	148.66	215.62	0
t_n382	156.661	125.83	189.48	0
t_n383	97.188	70.46	127.36	0
t_n384	34.876	21.17	53.25	0
t_n385	28.405	17.27	43.52	0
t_n386	146.686	117.11	178.35	0
t_n387	122.508	95.73	152.04	0
t_n388	70.873	51.21	94.26	0
t_n389	59.51	41.62	81.22	0
t_n390	48.658	33.53	67.52	0
t_n391	11.558	7.1	17.91	0
