Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	534.125	515.86	557.05	B(5.14,6.361,1e-300,0.025)
t_n220	510.501	461.45	548.54	0
t_n221	450.147	372.81	507.66	0
t_n222	337.445	234.96	432.96	0
t_n223	336.819	260.21	417.2	0
t_n224	263.539	185.01	348.19	0
t_n225	254.459	177.77	336.57	0
t_n226_Chelicerata	525.434	510.31	538.93	B(5.09,5.388,1e-300,0.025)
t_n227	475.642	429.23	508.9	0
t_n228	406.035	324.3	462.56	0
t_n229	171.794	103.94	253.03	0
t_n230	454.075	405.07	491.3	0
t_n231	204.036	113.5	307.26	0
t_n232	412.598	357.06	457.49	0
t_n233	355.066	286.75	413.83	0
t_n234	215.401	143.4	286.68	0
t_n235	363.189	304.32	416.23	0
t_n236	197.239	129.84	268.15	0
t_n237	217.833	158.94	278.77	0
t_n238	146.383	93.59	207.16	0
t_n239	443.209	403.33	478.79	0
t_n240_Nymphonoidea	332.176	289.3	376.76	0
t_n241	230.46	152.84	301.46	0
t_n242	184.589	114.75	254.99	0
t_n243	307.031	267.33	349.04	0
t_n244	296.663	258.37	337.49	0
t_n245	282.459	246.32	321.21	0
t_n246	255.937	210.25	299.08	0
t_n247	127.923	75.3	189.74	0
t_n248	268.843	234.4	305.76	0
t_n249	223.632	187.79	261.19	0
t_n250	160.237	127.65	195.97	0
t_n251	132.275	101.95	166.15	0
t_n252	42.726	24.81	67.27	0
t_n253	73.199	47.8	103.68	0
t_n254	258.527	224.99	294.38	0
t_n255	194.795	153.58	237.66	0
t_n256	150.529	102.98	199.81	0
t_n257	53.75	32.24	85.23	0
t_n258	17.681	9.1	30.76	0
t_n259	130.007	95.22	169.79	0
t_n260	96.617	66.93	132.27	0
t_n261	70.985	43.84	104.85	0
t_n262	238.646	205.93	273.5	0
t_n263	224.378	192.87	258.09	0
t_n264	199.535	168.14	233.14	0
t_n265	167.014	128.81	204.68	0
t_n266	176.814	145.39	210.44	0
t_n267	147.695	116.53	181.23	0
t_n268	123.058	92.22	156.72	0
t_n269	96.907	65.69	131.18	0
t_n270	2.597	1.12	5.02	0
t_n271	200.803	167.94	235.34	0
t_n272	110.417	82.81	143.47	0
t_n273	86.704	63.32	115.63	0
t_n274	59.039	41.72	81	0
t_n275	41.391	27.34	59.93	0
t_n276	16.026	8.71	26.62	0
t_n277	170.1	134.44	206.89	0
t_n278	69.895	45.4	102.2	0
t_n279	32.558	18.26	53.01	0
t_n280	2.962	1.76	4.63	0
t_n281	2.545	1.46	4.08	0
t_n282	2.133	1.15	3.55	0
t_n283	141.249	102.8	180.74	0
t_n284	35.064	23.6	50.36	0
t_n285	31.659	21.14	45.84	0
t_n286	0.845	0.24	1.91	0
t_n287	15.921	9.38	25.13	0
t_n288	1.276	0.49	2.57	0
t_n289	428.222	388.33	464.46	0
t_n290_Ausctrodecidae	279.065	201.55	358.61	0
t_n291	161.211	90.66	246.23	0
t_n292	416.155	376.59	452.41	0
t_n293	377.491	331.53	419.53	0
t_n294	296.573	241.8	353.08	0
t_n295_Pycnogonidae	198.701	160.95	242.33	0
t_n296	80.622	49.39	125.43	0
t_n297	32.778	17.64	55.63	0
t_n298	167.639	134.76	206.08	0
t_n299	15.1	7.95	26.2	0
t_n300	139.157	110.74	172.82	0
t_n301	112.772	88.93	140.91	0
t_n302	64.372	43.05	90.17	0
t_n303	43.987	25.92	67.38	0
t_n304	97.798	75.23	124.51	0
t_n305	82.409	61.05	107.8	0
t_n306	60.891	41.1	84.76	0
t_n307_Colossendeidae	285.772	240.66	330.75	B(1.605,5.388,1e-300,0.025)
t_n308	195.988	138.44	252.87	0
t_n309	189.624	158.2	225.71	0
t_n310	120.686	84.84	160.48	0
t_n311	91.194	57.65	130.45	0
t_n312	166.098	138.27	198.26	0
t_n313	113.54	90.57	140.22	0
t_n314	94.837	67.72	123.79	0
t_n315	13.329	7.09	22.87	0
t_n316	94.649	74.26	118.64	0
t_n317	33.118	18.02	54.61	0
t_n318	76.501	58.36	98.08	0
t_n319	39.899	23.58	60.36	0
t_n320	46.867	32.65	64.36	0
t_n321	30.873	19.1	46.08	0
t_n322	1.148	0.43	2.34	0
t_n323	140.826	114.78	170.76	0
t_n324	116.264	93.4	142.71	0
t_n325	1.482	0.6	2.95	0
t_n326	97.081	77.06	120.34	0
t_n327	7.286	3.55	13.23	0
t_n328	84.897	66.48	106.39	0
t_n329	42.937	25.88	64.06	0
t_n330	75.312	57.48	96.1	0
t_n331	63.751	46.59	83.85	0
t_n332	45.049	29.04	64.33	0
t_n333	393.864	354.48	430.78	0
t_n334_Ascorhynchidae	342.02	284.71	394.21	0
t_n335	246.83	194.06	301.23	0
t_n336	193.648	146.42	245.23	0
t_n337	155.826	112.35	205.29	0
t_n338	77.275	47.57	115.51	0
t_n339	306.737	253.55	360.21	0
t_n340	264.083	206.73	320.5	0
t_n341	233.251	174.2	290.85	0
t_n342	196.525	134.09	257.63	0
t_n343	281.077	228.75	335.7	0
t_n344	235.109	184.33	287.46	0
t_n345	158.895	99.38	221.27	0
t_n346	219.231	167.94	272.32	0
t_n347	140.651	88.35	198.72	0
t_n348	367.824	329.42	404.59	0
t_n349_Phoxichilidioidea	351.182	313.34	387.88	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	260.554	216.27	305.5	0
t_n351	166.582	112.07	224.08	0
t_n352	26.145	14.28	44.01	0
t_n353	198.865	157.49	243.53	0
t_n354	126.971	83.85	174.87	0
t_n355	171.069	129.29	216.26	0
t_n356	87.293	53.43	129.17	0
t_n357_Phoxichilidiidae	314.317	276.42	352.02	0
t_n358	188.417	126.35	250.47	0
t_n359	278.674	242.77	315.5	0
t_n360	164.452	112.31	218.52	0
t_n361	252.662	217.92	288.55	0
t_n362	215.568	183.34	249.82	0
t_n363	152.223	114.06	191.94	0
t_n364	88.259	55.12	127.63	0
t_n365	180.306	150.18	212.93	0
t_n366	110.641	70.31	153.31	0
t_n367	161.986	132.82	193.77	0
t_n368	63.135	36.2	98.36	0
t_n369	139.326	111.19	170.37	0
t_n370	61.395	36.67	92.7	0
t_n371	120.486	92.08	151.7	0
t_n372	51.51	30.89	78	0
t_n373	334.067	294.96	372.4	0
t_n374_Pallenopsidae	185.872	153.42	224.1	0
t_n375	131.798	83.99	179.15	0
t_n376	171.501	141.51	206.72	0
t_n377	140.31	105.92	177.38	0
t_n378	110.587	77.94	147.57	0
t_n379	90.98	59.63	128.02	0
t_n380	30.255	16.1	51.65	0
t_n381	149.755	122.52	181.66	0
t_n382	125.753	97.09	158.1	0
t_n383	71.136	42.16	105.62	0
t_n384	33.398	21.74	49	0
t_n385	25.435	15.17	39.7	0
t_n386	123.635	98.16	153.36	0
t_n387	103.928	80.23	131.99	0
t_n388	64.995	43.14	91	0
t_n389	48.579	33.48	67.84	0
t_n390	38.563	25.13	56.36	0
t_n391	10.915	5.99	18.15	0
t_n392_Ammotheidae	305.678	268.88	343.35	0
t_n393	276.184	239.35	314.35	0
t_n394	151.407	93.5	213.76	0
t_n395	238.062	201.32	276.17	0
