Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	534.264	515.89	557.1	B(5.14,6.361,1e-300,0.025)
t_n220	510.741	461.3	548.67	0
t_n221	449.926	370.98	507.52	0
t_n222	337.242	234.61	432.83	0
t_n223	336.23	258.93	416.94	0
t_n224	262.804	184.15	347.88	0
t_n225	253.831	177.16	335.82	0
t_n226_Chelicerata	525.536	510.33	538.94	B(5.09,5.388,1e-300,0.025)
t_n227	475.62	428.83	508.89	0
t_n228	405.57	324.12	462.38	0
t_n229	171.772	104.03	253.64	0
t_n230	454.104	404.52	491.3	0
t_n231	203.77	113.2	306.73	0
t_n232	412.654	356.82	457.68	0
t_n233	355.402	286.67	414.04	0
t_n234	215.471	143.31	286.91	0
t_n235	363.433	303.8	416.44	0
t_n236	197.502	129.88	268.23	0
t_n237	217.694	158.85	278.94	0
t_n238	146.312	93.52	207.36	0
t_n239	443.531	403.59	479.02	0
t_n240_Nymphonoidea	331.333	287.86	376.65	0
t_n241	229.724	152.29	300.67	0
t_n242	183.914	113.8	254.33	0
t_n243	306.034	266.11	348.61	0
t_n244	295.693	257.37	336.76	0
t_n245	281.596	245.33	320.46	0
t_n246	255.151	209.52	298.39	0
t_n247	127.579	75.04	189.22	0
t_n248	268.048	233.48	305.03	0
t_n249	222.959	187.24	260.66	0
t_n250	159.731	127.23	195.3	0
t_n251	131.827	101.66	165.66	0
t_n252	42.605	24.71	67.03	0
t_n253	72.976	47.66	103.28	0
t_n254	257.777	224.15	293.77	0
t_n255	194.32	153.18	237.2	0
t_n256	150.172	102.7	199.45	0
t_n257	53.694	32.21	85.34	0
t_n258	17.658	9.1	30.82	0
t_n259	129.762	95.4	169.82	0
t_n260	96.458	66.87	132.27	0
t_n261	70.834	43.72	104.85	0
t_n262	237.961	205.18	272.87	0
t_n263	223.718	192.16	257.46	0
t_n264	198.926	167.39	232.46	0
t_n265	166.413	128.03	204.02	0
t_n266	176.307	144.71	209.79	0
t_n267	147.276	116.06	180.66	0
t_n268	122.737	91.79	156.24	0
t_n269	96.661	65.46	130.97	0
t_n270	2.59	1.12	5	0
t_n271	200.213	167.44	234.79	0
t_n272	110.21	82.57	143.27	0
t_n273	86.533	63.23	115.45	0
t_n274	58.938	41.71	80.87	0
t_n275	41.296	27.29	59.86	0
t_n276	15.998	8.71	26.59	0
t_n277	169.575	133.99	206.4	0
t_n278	69.75	45.36	102.09	0
t_n279	32.514	18.21	52.98	0
t_n280	2.96	1.76	4.63	0
t_n281	2.541	1.45	4.08	0
t_n282	2.131	1.15	3.55	0
t_n283	140.842	102.48	180.28	0
t_n284	35.002	23.59	50.28	0
t_n285	31.603	21.12	45.75	0
t_n286	0.844	0.24	1.9	0
