Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	581.999	523.57	636.4	B(5.14,6.361,1e-300,0.025)
t_n220	322.858	122.71	533.14	0
t_n221	224.213	81.22	481.73	0
t_n222	99.784	3.92	292.01	0
t_n223	154.412	39.54	348.27	0
t_n224	72.307	2.61	225.76	0
t_n225	72.248	2.43	225.6	0
t_n226_Chelicerata	524.069	509.76	538.75	B(5.09,5.388,1e-300,0.025)
t_n227	374.86	157.99	527.91	0
t_n228	186.939	32.59	455.57	0
t_n229	84.264	2.66	269.72	0
t_n230	279.441	126.5	506.55	0
t_n231	117.785	4.58	333.47	0
t_n232	222.054	96.03	438.51	0
t_n233	137.121	24.39	319.32	0
t_n234	64.88	2.02	211.62	0
t_n235	167.706	56.45	346.87	0
t_n236	78.548	2.99	231.84	0
t_n237	106.258	17.32	261.85	0
t_n238	50.816	1.51	170.13	0
t_n239	510.566	453.65	536.06	0
t_n240_Nymphonoidea	457.954	240.54	531.05	0
t_n241	205.414	35.12	487.95	0
t_n242	89.945	2.75	289.03	0
t_n243	409.502	186	526.02	0
t_n244	367.84	170.17	520.48	0
t_n245	334.084	162.31	513.66	0
t_n246	181.58	32.54	411.73	0
t_n247	83.384	2.58	263.88	0
t_n248	306.814	156.97	503.13	0
t_n249	226.749	95.08	432.03	0
t_n250	171.851	56.62	350.84	0
t_n251	123.599	29.25	280.89	0
t_n252	58.626	2.05	185.55	0
t_n253	58.937	2.09	187.67	0
t_n254	283.931	150.73	484.5	0
t_n255	230.272	110.19	420.14	0
t_n256	162.921	46.96	337.04	0
t_n257	103.739	15.65	257.4	0
t_n258	49.69	1.41	169.1	0
t_n259	162.991	46.64	336.42	0
t_n260	103.787	15.38	256.44	0
t_n261	49.582	1.46	168.52	0
t_n262	263.383	142.82	456.68	0
t_n263	247.497	135.28	429.58	0
t_n264	208.382	100.22	376.71	0
t_n265	97.139	3.86	266.72	0
t_n266	167.869	65.56	323.9	0
t_n267	130.202	40.7	271.8	0
t_n268	94.906	21.58	220.19	0
t_n269	61.494	7.91	165.45	0
t_n270	29.838	0.76	107.4	0
t_n271	229.537	124.44	399.71	0
