Mean_time	Mean_qlow	Mean_qup	Priors
t_n219_Arthropoda	581.96	523.68	636.37	B(5.14,6.361,1e-300,0.025)
t_n220	316.938	117.54	534.23	0
t_n221	212.388	77.36	482.75	0
t_n222	93.117	3.58	270.84	0
t_n223	143.868	37.46	327.17	0
t_n224	67.366	2.37	207.52	0
t_n225	67.533	2.39	207.79	0
t_n226_Chelicerata	524.28	509.8	538.79	B(5.09,5.388,1e-300,0.025)
t_n227	373.62	152.63	529.07	0
t_n228	176.873	31.15	454.67	0
t_n229	78.719	2.46	249.26	0
t_n230	269.581	121.94	508.62	0
t_n231	110.146	4.45	312.4	0
t_n232	208.268	91.51	433.8	0
t_n233	127.124	23.23	295.2	0
t_n234	60.049	1.88	191.63	0
t_n235	155.494	53.5	325.73	0
t_n236	72.942	2.79	212.07	0
t_n237	98.895	16.06	239.92	0
t_n238	47.296	1.38	155.97	0
t_n239	512.969	464.08	536.41	0
t_n240_Nymphonoidea	464.641	248.26	531.97	0
t_n241	194.975	32.54	490.66	0
t_n242	84.064	2.54	268.4	0
t_n243	415.157	188.31	527.28	0
t_n244	369.36	168.76	521.54	0
t_n245	330.644	159.76	513.99	0
t_n246	169.605	31.69	397.01	0
t_n247	77.399	2.45	242.14	0
t_n248	298.634	153.25	502.63	0
t_n249	212.109	90.87	416.95	0
t_n250	159.156	53.92	327.12	0
t_n251	114.522	27.68	258.58	0
t_n252	54.742	1.9	171.27	0
t_n253	54.689	1.94	170.81	0
t_n254	271.444	147.12	481.08	0
t_n255	214.93	106.63	403.29	0
t_n256	150.971	44.06	313.98	0
t_n257	96.278	14.72	236.13	0
t_n258	46.123	1.32	156.01	0
t_n259	151.38	44.77	313.76	0
t_n260	96.437	14.85	237.31	0
t_n261	46.295	1.31	156	0
t_n262	248.041	139.42	446.82	0
t_n263	230.808	131.95	412.45	0
t_n264	192.926	96.66	354.09	0
t_n265	89.863	3.73	244.71	0
t_n266	155.436	63.61	300.74	0
t_n267	120.865	38.95	251.23	0
t_n268	87.976	20.76	202.35	0
t_n269	57.01	7.57	152.82	0
t_n270	27.816	0.74	99.64	0
t_n271	212.819	121.02	377.88	0
t_n272	170.648	74.59	320.79	0
t_n273	132.202	44.83	268.53	0
t_n274	96.086	23.03	215.9	0
t_n275	62.198	8.57	163.13	0
t_n276	30.228	0.84	106.01	0
t_n277	191.993	104.74	343.15	0
t_n278	155.2	66.95	294.25	0
t_n279	73.478	2.94	204.34	0
t_n280	112.537	31.69	239.09	0
t_n281	72.8	10.76	182.3	0
t_n282	35.216	1.03	119.94	0
t_n283	160.162	73.96	299.47	0
t_n284	130.126	50.13	257.55	0
t_n285	101.549	31.7	214.7	0
t_n286	48.79	1.8	145.13	0
t_n287	65.696	10.4	162.91	0
t_n288	31.916	0.94	107.39	0
t_n289	498.884	417.65	533.83	0
t_n290_Ausctrodecidae	202.179	33.6	501.15	0
t_n291	85.363	2.66	274.57	0
t_n292	484.983	379.74	531.68	0
t_n293	433.826	236.48	527	0
t_n294	310.388	147.65	510.45	0
t_n295_Pycnogonidae	248.053	126.38	466.95	0
t_n296	146.298	27.38	329.77	0
t_n297	68.811	2.22	214.79	0
t_n298	207.593	102.7	393.74	0
t_n299	95.136	3.89	260.29	0
t_n300	174.719	79.12	334.17	0
t_n301	145.703	58.91	288.01	0
t_n302	93.269	16.65	219.53	0
t_n303	44.884	1.41	145.62	0
t_n304	105.634	28.54	232.28	0
t_n305	68.233	9.92	174.32	0
t_n306	32.961	0.93	114.21	0
t_n307_Colossendeidae	347.051	170.49	516.51	B(1.605,5.388,1e-300,0.025)
t_n308	124.189	4.98	347.36	0
t_n309	283.288	154.87	478.11	0
t_n310	160.605	30.08	356.86	0
t_n311	74.776	2.35	232.91	0
t_n312	250.718	142.84	439.4	0
t_n313	215.661	116.63	388.78	0
t_n314	134.592	25.42	296.07	0
